key,node,second,interval_seconds,write_MB,write_ops,disk_inflight_max,bw_in_allowance_exceeded,bw_out_allowance_exceeded,pps_allowance_exceeded,conntrack_allowance_exceeded,linklocal_allowance_exceeded,ena_srd_mode,ena_srd_tx_pkts,ena_srd_eligible_tx_pkts,ena_srd_rx_pkts,ena_srd_resource_utilization
01-original-60s-r0,use1-az1,-3,1.000647226,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,-2,1.000645486,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,-1,1.000648955,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,0,1.0006715729999998,426.04544000000004,26812.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,1,1.0006674230000001,428.167168,26934.0,0,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,2,1.0006692739999998,428.02790400000004,26902.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,3,0.9006009429999999,385.52371200000005,24254.0,0,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,4,1.000638821,428.699648,26958.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,5,1.000630618,428.50304000000006,26921.0,4,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,6,1.00068185,429.010944,26972.0,0,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,7,1.000663351,426.541056,26806.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,8,1.000665677,429.305856,26968.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,9,1.0008029999999999,429.256704,26927.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,10,1.000977874,430.41177600000003,27025.0,1,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,11,1.000999791,426.99980800000003,26811.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,12,1.0008968999999999,428.42521600000003,26897.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,13,1.001012044,427.48723199999995,26865.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,14,1.000926261,427.5159039999999,26836.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,15,1.000948278,427.311104,26851.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,16,1.000981491,427.78623999999996,26885.0,3,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,17,1.000959203,427.7248,26909.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,18,1.000991998,427.93779200000006,26931.0,3,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,19,1.00095732,424.8494079999999,26747.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,20,1.000946616,427.757568,26894.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,21,1.0009736,428.0279039999999,26905.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,22,1.000997677,430.882816,27095.0,1,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,23,1.001002908,427.94598399999995,26912.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,24,1.0010222979999999,429.088768,26953.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,25,1.0009868960000001,425.488384,26532.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,26,1.001069496,413.302784,25226.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,27,1.0009936869999998,413.384704,25231.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,28,1.001091227,413.23724799999997,25222.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,29,1.000780921,413.188096,25219.0,1,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,30,1.0006696249999998,413.20447999999993,25220.0,1,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,31,1.0006670919999998,413.08979199999993,25213.0,3,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,32,1.000670722,413.20448,25220.0,1,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,33,1.000667296,413.20448,25220.0,0,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,34,1.000670203,413.20448,25220.0,0,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,35,1.000660973,413.17171199999996,25218.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,36,1.0006591269999998,413.1225600000001,25215.0,3,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,37,1.000664348,413.171712,25218.0,1,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,38,1.000660338,413.138944,25216.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,39,1.000816306,413.417472,25233.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,40,1.000958824,413.302784,25226.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,41,1.0009668489999999,413.30278400000003,25226.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,42,1.00097777,413.319168,25227.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,43,1.000926904,413.220864,25221.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,44,1.0008705900000001,158.18751999999998,9655.0,2,0,0,0,0,0,0,0,0,0,0
