profile,pad,width,payload,head,carrier,count,arm,median_ns_per_value,min_ns_per_value,max_ns_per_value,control,control_ns_per_value,ratio
avx2,16,10,2,8,32,65536,region32_avx2,0.07457815100000001,0.074445479,0.075422175,tile8_avx2,0.10306942999999999,0.7235719747358651
avx2,16,10,2,8,64,65536,tile8_avx2,0.206786424,0.206261687,0.207136758,tile8_avx2,0.206786424,1.0
avx2,16,10,2,8,64,65536,region32_avx2,0.103507355,0.103034988,0.103925928,tile8_avx2,0.206786424,0.5005519849794394
avx2,16,17,1,16,32,65536,tile8_avx2,0.0604791045,0.060301594,0.060775639,tile8_avx2,0.0604791045,1.0
avx2,16,17,1,16,32,65536,region32_avx2,0.0709499865,0.070777746,0.071168549,tile8_avx2,0.0604791045,1.1731322261889643
avx2,16,18,2,16,32,65536,tile8_avx2,0.125178289,0.124662317,0.125976119,tile8_avx2,0.125178289,1.0
avx2,16,18,2,16,32,65536,region32_avx2,0.104528483,0.103900675,0.105179239,tile8_avx2,0.125178289,0.8350368409333347
avx2,16,21,5,16,32,65536,tile8_avx2,0.182226285,0.181393564,0.182933606,tile8_avx2,0.182226285,1.0
avx2,16,21,5,16,32,65536,region32_avx2,0.1271189005,0.126833424,0.12787845,tile8_avx2,0.182226285,0.6975881690174389
avx2,16,23,7,16,32,65536,tile8_avx2,0.18182480350000002,0.181312568,0.184069373,tile8_avx2,0.18182480350000002,1.0
avx2,16,23,7,16,32,65536,region32_avx2,0.1269738675,0.126771435,0.128074326,tile8_avx2,0.18182480350000002,0.6983308385646075
avx2,16,18,2,16,64,65536,tile8_avx2,0.2503600495,0.250039004,0.251045801,tile8_avx2,0.2503600495,1.0
avx2,16,18,2,16,64,65536,region32_avx2,0.13550492749999998,0.135390379,0.135801867,tile8_avx2,0.2503600495,0.5412402169220691
avx2,32,10,2,8,16,256,tile8_avx2,0.1132503505,0.11309905,0.114755616,tile8_avx2,0.1132503505,1.0
avx2,32,10,2,8,16,256,region32_avx2,0.058749465,0.058584582,0.059190504,tile8_avx2,0.1132503505,0.5187574673334013
avx2,32,9,1,8,16,256,tile8_avx2,0.057244033,0.057055738,0.057399321,tile8_avx2,0.057244033,1.0
avx2,32,9,1,8,16,256,region32_avx2,0.026178821999999997,0.02610833,0.026229216,tile8_avx2,0.057244033,0.45731966509068284
avx2,32,13,5,8,16,256,tile8_avx2,0.174848836,0.17444706,0.175202101,tile8_avx2,0.174848836,1.0
avx2,32,13,5,8,16,256,region32_avx2,0.076963667,0.076765709,0.077209614,tile8_avx2,0.174848836,0.4401726014349904
avx2,32,15,7,8,16,256,tile8_avx2,0.1849588265,0.184738368,0.186530456,tile8_avx2,0.1849588265,1.0
avx2,32,15,7,8,16,256,region32_avx2,0.0770131795,0.076791935,0.07759846,tile8_avx2,0.1849588265,0.41638012609254954
avx2,32,10,2,8,32,256,tile8_avx2,0.102817394,0.102572791,0.102955416,tile8_avx2,0.102817394,1.0
avx2,32,10,2,8,32,256,region32_avx2,0.074908363,0.074624028,0.075078443,tile8_avx2,0.102817394,0.7285573003338326
avx2,32,10,2,8,64,256,tile8_avx2,0.205599137,0.205234617,0.206011266,tile8_avx2,0.205599137,1.0
avx2,32,10,2,8,64,256,region32_avx2,0.10378827900000001,0.10317193,0.105494142,tile8_avx2,0.205599137,0.5048089233954325
avx2,32,17,1,16,32,256,tile8_avx2,0.059988427,0.059851186,0.060255121,tile8_avx2,0.059988427,1.0
avx2,32,17,1,16,32,256,region32_avx2,0.070858297,0.070778102,0.071030507,tile8_avx2,0.059988427,1.1811994503539824
avx2,32,18,2,16,32,256,tile8_avx2,0.12508092999999998,0.124668688,0.125517461,tile8_avx2,0.12508092999999998,1.0
avx2,32,18,2,16,32,256,region32_avx2,0.1042119245,0.103825349,0.104719684,tile8_avx2,0.12508092999999998,0.8331559774939314
avx2,32,21,5,16,32,256,tile8_avx2,0.1779372245,0.177596733,0.180722781,tile8_avx2,0.1779372245,1.0
avx2,32,21,5,16,32,256,region32_avx2,0.126964409,0.126699015,0.127441771,tile8_avx2,0.1779372245,0.7135348399232787
avx2,32,23,7,16,32,256,tile8_avx2,0.1789358295,0.177232698,0.180351295,tile8_avx2,0.1789358295,1.0
avx2,32,23,7,16,32,256,region32_avx2,0.12804325649999998,0.12703228,0.129498586,tile8_avx2,0.1789358295,0.7155819874520993
avx2,32,18,2,16,64,256,tile8_avx2,0.25020652649999997,0.249726675,0.252695583,tile8_avx2,0.25020652649999997,1.0
avx2,32,18,2,16,64,256,region32_avx2,0.136204831,0.135698237,0.136849433,tile8_avx2,0.25020652649999997,0.5443696169931843
avx2,32,10,2,8,16,8192,tile8_avx2,0.1136943885,0.1134401,0.11493022,tile8_avx2,0.1136943885,1.0
avx2,32,10,2,8,16,8192,region32_avx2,0.059831461,0.059637167,0.060205985,tile8_avx2,0.1136943885,0.5262481446039002
avx2,32,9,1,8,16,8192,tile8_avx2,0.057552554,0.057417091,0.057650222,tile8_avx2,0.057552554,1.0
avx2,32,9,1,8,16,8192,region32_avx2,0.0266992655,0.026591223,0.026739527,tile8_avx2,0.057552554,0.4639110455463019
avx2,32,13,5,8,16,8192,tile8_avx2,0.1877744125,0.186317667,0.188926876,tile8_avx2,0.1877744125,1.0
avx2,32,13,5,8,16,8192,region32_avx2,0.0771887155,0.076868072,0.077467702,tile8_avx2,0.1877744125,0.4110715324432183
avx2,32,15,7,8,16,8192,tile8_avx2,0.18821124350000001,0.187953524,0.188451603,tile8_avx2,0.18821124350000001,1.0
avx2,32,15,7,8,16,8192,region32_avx2,0.077082023,0.076849751,0.077262886,tile8_avx2,0.18821124350000001,0.40955057501652387
avx2,32,10,2,8,32,8192,tile8_avx2,0.1034169995,0.10319823,0.10390969,tile8_avx2,0.1034169995,1.0
avx2,32,10,2,8,32,8192,region32_avx2,0.0748412515,0.074634347,0.075064063,tile8_avx2,0.1034169995,0.7236842285295659
avx2,32,10,2,8,64,8192,tile8_avx2,0.206647992,0.206466869,0.207281448,tile8_avx2,0.206647992,1.0
avx2,32,10,2,8,64,8192,region32_avx2,0.10372387250000001,0.103522107,0.104522943,tile8_avx2,0.206647992,0.5019350611449446
avx2,32,17,1,16,32,8192,tile8_avx2,0.062024556,0.061783483,0.062230632,tile8_avx2,0.062024556,1.0
avx2,32,17,1,16,32,8192,region32_avx2,0.0716838045,0.07138769,0.071872817,tile8_avx2,0.062024556,1.155732650468308
avx2,32,18,2,16,32,8192,tile8_avx2,0.125450274,0.125256091,0.125853665,tile8_avx2,0.125450274,1.0
avx2,32,18,2,16,32,8192,region32_avx2,0.10462562,0.104285236,0.105038863,tile8_avx2,0.125450274,0.834000729245119
avx2,32,21,5,16,32,8192,tile8_avx2,0.1857941075,0.185682505,0.186862834,tile8_avx2,0.1857941075,1.0
