machine,input_bits,values,arm,repetitions,median_ns_per_value,ratio_to_current32,samples,entry_mod64,input_page_offset,output_page_offset
gnr,16,256,projected64_grain_control,20,0.066904785,0.891401298669478,"[0.066898648,0.066900026,0.066940494,0.066972017,0.06686914,0.066902261,0.067062944,0.066907309,0.066869929,0.066860121,0.066875245,0.066964872,0.066895019,0.06688346,0.066979367,0.066924095,0.066955958,0.066874262,0.066951834,0.066936243]",0,1600,1280
gnr,32,256,current32,20,0.1033415345,1.0,"[0.103360545,0.103297453,0.103343628,0.103331465,0.103406262,0.103424136,0.103363641,0.103270225,0.103376545,0.103389792,0.103372216,0.103302173,0.103298932,0.1033669,0.103321917,0.103272136,0.103330024,0.103636988,0.103289932,0.103339441]",48,2176,1280
gnr,32,256,projected32,20,0.096385578,0.9326896340986692,"[0.096350305,0.09637934,0.096299101,0.096391816,0.097992096,0.096348908,0.096532308,0.096357271,0.096413206,0.096398115,0.096371204,0.096436225,0.096335396,0.096428681,0.096306041,0.096415162,0.096426327,0.096411891,0.096336797,0.096323095]",16,2176,1280
gnr,32,256,current64_grain_control,20,0.1034217385,1.000776106145395,"[0.103397787,0.103378609,0.103476413,0.103392869,0.103486162,0.103575181,0.10345808,0.103455503,0.103619903,0.103400432,0.1033682,0.103432775,0.103342693,0.103473034,0.103601828,0.103391256,0.103378031,0.103390068,0.103410702,0.103442043]",0,2176,1280
gnr,32,256,projected64_grain_control,20,0.0962918495,0.9317826560820035,"[0.096306082,0.096303087,0.096277133,0.096269131,0.096522167,0.09645449,0.096296899,0.096299957,0.096286088,0.096258316,0.096342538,0.096222825,0.096292701,0.096219458,0.09632086,0.096276298,0.096231617,0.096293755,0.096290998,0.096235815]",16,2176,1280
gnr,64,256,current32,20,0.1329407635,1.0,"[0.133086722,0.134276707,0.133016482,0.132978324,0.132906437,0.132897761,0.132923808,0.13298193,0.13290105,0.132941041,0.132903267,0.133019425,0.132924378,0.132929411,0.132953942,0.132940486,0.132838432,0.133100554,0.132953212,0.132925589]",32,3264,1280
gnr,64,256,projected32,20,0.1225230005,0.9216360525866846,"[0.122516226,0.123298496,0.122676786,0.122598141,0.122507222,0.122916892,0.122508429,0.122443233,0.122508038,0.122464694,0.122523092,0.122497384,0.122858066,0.12250128,0.122490194,0.122525252,0.123809796,0.122578446,0.122522909,0.12295045]",48,3264,1280
gnr,64,256,current64_grain_control,20,0.1331430175,1.0015213843720703,"[0.133071162,0.133085977,0.134199079,0.133295596,0.133007728,0.133149371,0.133068591,0.133025125,0.133243419,0.133162331,0.133394152,0.133003283,0.13323988,0.133059341,0.133035265,0.13319061,0.133358493,0.133441292,0.133114647,0.133136664]",0,3264,1280
gnr,64,256,projected64_grain_control,20,0.12555529399999998,0.9444454108314188,"[0.125604894,0.125560869,0.125714138,0.125543624,0.125536699,0.125531241,0.125555836,0.125460345,0.125533924,0.125560842,0.125629358,0.125598591,0.125509154,0.125548989,0.125554752,0.125492625,0.125626016,0.125559699,0.12573985,0.125513904]",32,3264,1280
gnr,8,8192,current32,20,0.060181577,1.0,"[0.060181173,0.06019997,0.06019894,0.060181096,0.060181981,0.0601584,0.06018634,0.060173478,0.06015639,0.060228435,0.06028617,0.060183384,0.060332945,0.060177304,0.060140684,0.060152002,0.060246892,0.060207829,0.060174679,0.060175013]",16,3264,3328
gnr,8,8192,projected32,20,0.0527709545,0.8768622746459436,"[0.052554019,0.052764129,0.052717302,0.052854091,0.052598828,0.052773712,0.052717716,0.05279609,0.052717037,0.052743021,0.052860152,0.052901281,0.052703304,0.052777126,0.052819034,0.052768197,0.052827584,0.0528,0.052673878,0.052892638]",16,3264,3328
gnr,8,8192,current64_grain_control,20,0.058846336,0.9778131270970184,"[0.058864104,0.058904612,0.058853999,0.058858324,0.058884095,0.058806289,0.05883546,0.058833085,0.05881314,0.058845628,0.05881902,0.058891349,0.058850819,0.058837328,0.05884289,0.058842132,0.058832718,0.058847044,0.058859244,0.058896236]",32,3264,3328
