input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:logical_values,counter:active_values,counter:selected_values,counter:encoded_bytes,counter:native_fragment_values
zen,composition/avx512/local/k12/h0/u16/prefilter75/grouped32-authored-probe,1,5,"[653.6308762999541,653.8128650472871,652.1491327431978,650.8556102495226,652.5063581740171]",652.5063581740171,"[652.1905610947493,652.3986258143565,650.7183804371051,649.4187398320739,651.0658215520311]",651.0658215520311,"[0.07978892532958425,0.07981114075284268,0.07960804843056614,0.07945014773553742,0.07965165505053921]",0.07965165505053921,8192.0,6144.0,4435.0,12288.0,32.0
zen,composition/avx512/local/k12/h0/u16/prefilter75/grouped32-authored-u64-carrier-probe,1,5,"[503.62595709413995,503.33534744832286,502.412729374502,503.78885411180113,504.42542171468887]",503.62595709413995,"[502.53132545090824,502.22415284005814,501.30581888073027,502.6935752668287,503.3195161809464]",502.53132545090824,"[0.06147777796559325,0.06144230315531284,0.06132967887872339,0.06149766285544447,0.061575368861656356]",0.06147777796559325,8192.0,6144.0,4435.0,12288.0,32.0
zen,composition/avx512/local/k12/h0/u16/prefilter75/materialized,1,5,"[809.2765361270827,811.5608710864869,810.766763730362,811.2568872335661,810.4882265680799]",810.766763730362,"[807.4899673532494,809.7732497446829,808.9832688007588,809.4976447354659,808.7174347423036]",808.9832688007588,"[0.09878863966395053,0.09906748914629966,0.09897055221317895,0.09903038174237867,0.09893655109473629]",0.09897055221317895,8192.0,6144.0,4435.0,12288.0,
zen,composition/avx512/local/k31/h0/u32/all/authored,1,5,"[1705.4184084896729,1698.585483625761,1704.3949341685454,1706.9828564478582,1708.627147505114]",1705.4184084896729,"[1701.677343631678,1694.8454586918158,1700.7173837688756,1703.214558943745,1704.855219387277]",1701.677343631678,"[0.20818095806758705,0.2073468607941603,0.2080560222373713,0.2083719307187327,0.20857264984193283]",0.20818095806758705,8192.0,8192.0,5844.0,31744.0,8.0
zen,composition/avx512/local/k31/h0/u32/all/authored-u64-carrier,1,5,"[1207.1718459004092,1208.6816932545828,1209.2793216315097,1209.259106490777,1214.22825044411]",1209.259106490777,"[1204.5748626877917,1206.0132903796136,1206.6161359832086,1206.594630514422,1211.6099682145211]",1206.594630514422,"[0.14735984447026476,0.14754415200861606,0.1476171046913464,0.14761463702279995,0.14822122197804075]",0.14761463702279995,8192.0,8192.0,5844.0,31744.0,8.0
zen,composition/avx512/local/k31/h0/u32/all/direct,1,5,"[1710.6076386562497,1707.71163159016,1713.5713519934222,1709.9523345414561,1713.6969329637905]",1710.6076386562497,"[1706.9163768158376,1704.008363536684,1709.8028325165615,1706.1845460363706,1709.9665702191799]",1706.9163768158376,"[0.20881440901565548,0.20846089252809571,0.20917619042888458,0.2087344158375801,0.20919152013718145]",0.20881440901565548,8192.0,8192.0,5844.0,31744.0,8.0
zen,composition/avx512/local/k31/h0/u32/all/grouped16-authored-probe,1,5,"[1058.153847615079,1058.6866060064795,1060.4994168265275,1060.323123682144,1059.443751305968]",1059.443751305968,"[1055.8177611460662,1056.3571718933351,1058.1929867216759,1057.9822464531533,1057.1088083883456]",1057.1088083883456,"[0.12916917085145008,0.1292342048347753,0.12945549521808197,0.12943397505885545,0.12932662979809179]",0.12932662979809179,8192.0,8192.0,5844.0,31744.0,16.0
zen,composition/avx512/local/k31/h0/u32/all/grouped16-authored-u64-carrier-probe,1,5,"[743.4227123577698,746.0222281026706,743.879745964557,747.6406880127009,746.163373908432]",746.0222281026706,"[741.808025932762,744.3809790951968,742.23748346098,746.0166128602664,744.51622122269]",744.3809790951968,"[0.09074984281711056,0.09106716651643929,0.09080563305231408,0.09126473242342542,0.09108439622905665]",0.09106716651643929,8192.0,8192.0,5844.0,31744.0,16.0
zen,composition/avx512/local/k31/h0/u32/all/materialized,1,5,"[889.7897210440067,889.5381170313111,888.9178587457509,887.2674608241816,887.8580630479568]",888.9178587457509,"[887.8254454887887,887.5941168290927,886.9929929140029,885.3176292850188,885.8980796097501]",886.9929929140029,"[0.10861690930712972,0.10858619592667372,0.10851048080392467,0.10830901621388939,0.10838111121190878]",0.10851048080392467,8192.0,8192.0,5844.0,31744.0,
zen,composition/avx512/local/k31/h0/u32/prefilter75/authored,1,5,"[1701.0490628311,1697.597693310122,1702.9283513378493,1700.006905454956,1697.788220536141]",1700.006905454956,"[1697.293652340412,1693.86324276336,1699.22300235035,1696.2538089604955,1694.046353018424]",1696.2538089604955,"[0.2076475906776245,0.20722628092164574,0.20787699601292106,0.20752037420104444,0.20724953863966566]",0.20752037420104444,8192.0,6144.0,4401.0,31744.0,8.0
zen,composition/avx512/local/k31/h0/u32/prefilter75/authored-u64-carrier,1,5,"[1205.6028494257155,1202.9844110007448,1206.7614965094274,1205.2291880603589,1204.0106055245328]",1205.2291880603589,"[1202.9412856068482,1200.3378191790791,1204.1098004017174,1202.611854197748,1201.3623956929503]",1202.611854197748,"[0.14716831658028753,0.14684868298348935,0.14730975299187343,0.14712270362064928,0.14697395086969395]",0.14712270362064928,8192.0,6144.0,4401.0,31744.0,8.0
zen,composition/avx512/local/k31/h0/u32/prefilter75/direct,1,5,"[1700.6995186756276,1704.1041107045821,1702.2536555127585,1700.2087258274098,1708.4515029232132]",1702.2536555127585,"[1696.9614211230503,1700.3419651653985,1698.5030690505089,1696.5029414271876,1704.6797552044302]",1698.5030690505089,"[0.20760492171333345,0.2080205213262429,0.20779463568270978,0.20754501047697876,0.20855120885293132]",0.20779463568270978,8192.0,6144.0,4401.0,31744.0,8.0
zen,composition/avx512/local/k31/h0/u32/prefilter75/grouped16-authored-probe,1,5,"[1065.722575559076,1068.2584737371217,1067.4423862043752,1067.4749025044023,1067.6136128206838]",1067.4749025044023,"[1063.3774602404899,1065.9132060805662,1065.1318246907076,1065.1407782886029,1065.2624192614985]",1065.1407782886029,"[0.13009308783680126,0.13040264571986349,0.13030302565971377,0.13030699493461942,0.1303239273462749]",0.13030699493461942,8192.0,6144.0,4401.0,31744.0,16.0
zen,composition/avx512/local/k31/h0/u32/prefilter75/grouped16-authored-u64-carrier-probe,1,5,"[788.5992712426755,791.7615117609055,793.2612484569959,792.4193638803547,790.394650117223]",791.7615117609055,"[786.882761802991,790.0136719856565,791.5142353993585,790.698072501899,788.6571075070267]",790.0136719856565,"[0.09626455947786566,0.09665057516612616,0.09683364849328563,0.0967308793799261,0.09648372193813756]",0.09665057516612616,8192.0,6144.0,4401.0,31744.0,16.0
zen,composition/avx512/local/k31/h0/u32/prefilter75/materialized,1,5,"[988.4982573255629,983.7023048274889,983.6363502213576,985.398777317115,984.5499789192593]",984.5499789192593,"[986.326705782764,981.5833216221242,981.4950284583712,983.2233152969274,982.3900534044466]",982.3900534044466,"[0.12066629117743688,0.12008084775726184,0.12007279665788056,0.12028793668421815,0.12018432359854239]",0.12018432359854239,8192.0,6144.0,4401.0,31744.0,
