input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:items_per_iteration
avx512,point/2/write/body,1,3,"[18498.12654867255,18470.529203539914,18431.56460176983]",18470.529203539914,"[18501.133628314088,18474.531415929145,18451.288495568297]",18474.531415929145,"[2.258072088461005,2.254703271916494,2.2499468508019818]",2.254703271916494,8192.0
avx512,point/2/write/control,1,3,"[16584.477093206897,16600.116903633625,16580.59913112169]",16584.477093206897,"[16585.313191150453,16616.964454978333,16581.928515014108]",16585.313191150453,"[2.0244723014168575,2.026381457963089,2.023998917373253]",2.0244723014168575,8192.0
avx512,point/2/write/control_effects,1,3,"[18173.71570748602,18169.656425789624,18160.582431847793]",18169.656425789624,"[18183.67113804105,18170.784508866065,18160.694071834918]",18170.784508866065,"[2.218471155698977,2.2179756379137725,2.2168679726376705]",2.2179756379137725,8192.0
avx512,point/2/write/ordinary,1,3,"[25899.307028360065,25901.329223181303,25890.497533908976]",25899.307028360065,"[25935.668310723257,25904.946979037257,25890.649198521343]",25904.946979037257,"[3.1615365024853594,3.1617833524391235,3.160461124744748]",3.1615365024853594,8192.0
avx512,point/4/read/body,1,3,"[14277.929323819204,14274.653754672141,14272.82942575602]",14274.653754672141,"[14282.916411817178,14283.997281691243,14297.126741421258]",14283.997281691243,"[1.7429112944115241,1.7425114446621264,1.742288748261233]",1.7425114446621264,8192.0
avx512,point/4/read/control,1,3,"[14571.317140874404,14578.811936155442,14584.717557251914]",14578.811936155442,"[14575.03920888028,14579.460097154444,14584.80013879765]",14579.460097154444,"[1.7787252369231448,1.7796401289252248,1.7803610299379777]",1.7796401289252248,8192.0
avx512,point/4/read/ordinary,1,3,"[14231.834688346946,14222.159891598956,14318.43360433603]",14231.834688346946,"[14232.799457988567,14241.234417347674,14319.811991862854]",14241.234417347674,"[1.737284507854852,1.7361035023924507,1.7478556645918006]",1.737284507854852,8192.0
avx512,point/4/write/body,1,3,"[21926.96713615013,21924.901408450874,21921.60459050582]",21924.901408450874,"[21929.955138239784,21925.96452790343,21922.536776208006]",21925.96452790343,"[2.6766317304870766,2.6763795664612884,2.6759771228644795]",2.6763795664612884,8192.0
avx512,point/4/write/control,1,3,"[22253.20233050837,22209.40995762713,22238.67372881355]",22238.67372881355,"[22255.31991525552,22210.435911020933,22247.09904659927]",22247.09904659927,"[2.7164553626108856,2.711109613968156,2.7146818516618096]",2.7146818516618096,8192.0
avx512,point/4/write/control_effects,1,3,"[23899.83817663797,23896.47635327659,23913.22905982926]",23899.83817663797,"[23900.88490028704,23898.953276345397,23918.34358974894]",23900.88490028704,"[2.9174607149216274,2.917050336093334,2.919095344217439]",2.9174607149216274,8192.0
