scope,case,eligible_for_new_reader,before,after,ratio,before_min,before_max,after_min,after_max,separated_win,separated_loss,both_edges_agree,block_medians
transition,transition/series/avx512/local/k1/h0/u64/dense/o1-n38,True,9.923290911424283,8.819858284187797,0.8888037610621544,9.907871604779187,9.93439707241933,8.812276761735278,8.83214066876788,True,False,True,"[9.915441454166602, 8.825516624918711, 8.814496555750628, 9.930103370921618]"
transition,transition/series/avx512/local/k1/h0/u64/dense/o1-n39,True,8.026844358650408,6.583395588920995,0.8201723236138458,8.011562698645903,8.04845410605919,6.565494885139706,6.61067582619191,True,False,True,"[8.0130659105924, 6.604393266251946, 6.568147969509204, 8.047204825398556]"
transition,transition/series/avx512/local/k1/h0/u64/dense/o1-n40,True,8.548776397933603,7.9221000865273945,0.9266940340657772,8.543419815309882,8.55142088417581,7.914394561436661,7.930742927093338,True,False,True,"[8.547712663670671, 7.923221172922857, 7.920979000131932, 8.549840132196534]"
transition,transition/series/avx512/local/k10/h8/u32/independentlygapped/o0-n31,True,10.060765305633561,8.380528741621362,0.8329911778111606,10.03300125068793,10.076425088925454,8.368154649969563,8.390402779197977,True,False,True,"[10.042546355791607, 8.383890031077351, 8.371332200774246, 10.066545673372513]"
transition,transition/series/avx512/local/k10/h8/u32/independentlygapped/o0-n32,True,4.788594238223653,5.428790041348227,1.1336918041654866,4.766921087147877,4.797665266616669,5.392544557768735,5.461074960673211,False,True,True,"[4.775744589769775, 5.459972284182332, 5.393482899837791, 4.7972772096427265]"
transition,transition/series/avx512/local/k10/h8/u32/independentlygapped/o0-n33,True,7.212344947484278,7.190375121323851,0.9969538580974153,7.195637349773998,7.221751042403753,7.14855916561248,7.274292807538949,False,False,False,"[7.200758359742207, 7.226863844716045, 7.15801466257971, 7.219712084694567]"
transition,transition/series/avx512/local/k10/h8/u32/independentlygapped/o0-n38,True,10.096994433898857,9.69818894352952,0.960502554202623,10.068006464195518,10.130039622188647,9.694868319527842,9.708848040665822,True,False,True,"[10.070813196706421, 9.701192076952879, 9.697923588959796, 10.123661086492206]"
transition,transition/series/avx512/local/k10/h8/u32/independentlygapped/o0-n39,True,10.679563839774216,9.715384907873212,0.909717386742885,10.650689944293118,10.718105507021026,9.694822546354835,10.004097350445717,True,False,True,"[10.65275815305667, 9.73088164697233, 9.699888168774091, 10.704626010370868]"
transition,transition/series/avx512/local/k10/h8/u32/independentlygapped/o0-n40,True,5.4745730517181475,5.98094439368673,1.0924951292429395,5.453040446318297,5.492327470586063,5.958589403251436,5.986559547369417,False,True,True,"[5.45346828794528, 5.9865395971655015, 5.969037226353555, 5.485232319834939]"
transition,transition/series/avx512/local/k10/h8/u32/independentlygapped/o1-n31,True,11.178953801861072,7.0257169482164,0.6284771430978414,11.147842510037929,11.212569018601123,6.992916142478263,7.055545968520643,True,False,True,"[11.148254589771756, 7.052898716156325, 6.999786104950278, 11.202734268243189]"
