input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:items_per_iteration
avx2,shape/4/spread/update/all/point,1,3,"[19891.89481132061,19863.389622641535,19883.828301886613]",19883.828301886613,"[19891.895283013317,19864.144811326707,19890.88537736155]",19890.88537736155,"[19.425678526680283,19.397841428360877,19.417801076061146]",19.417801076061146,1024.0
avx2,shape/4/spread/update/half/packet,1,3,"[30272.544011543705,30250.141414140762,30227.96248196269]",30250.141414140762,"[30273.68470418522,30251.224386717215,30243.12265511929]",30251.224386717215,"[29.56303126127315,29.54115372474684,29.519494611291694]",29.54115372474684,1024.0
avx2,shape/4/spread/update/half/point,1,3,"[9451.420934411408,9440.531446540735,9445.72461814916]",9445.72461814916,"[9461.645777177033,9441.436882300446,9450.464285713046]",9450.464285713046,"[9.229903256261142,9.219268990762437,9.22434044741129]",9.22434044741129,1024.0
avx512,shape/2/compact/sum/all/packet,1,3,"[1481.579250618587,1492.7852951572982,1489.1903852951684]",1489.1903852951684,"[1481.7307175681074,1515.2885825377834,1489.3157652879552]",1489.3157652879552,"[1.4468547369322138,1.457798139802049,1.4542874856398127]",1.4542874856398127,1024.0
avx512,shape/2/compact/sum/all/point,1,3,"[2251.669490616619,2252.71345844505,2253.591742627328]",2252.71345844505,"[2251.9459517434493,2252.8055227875684,2255.0258445036507]",2252.8055227875684,"[2.198895986930292,2.1999154867627446,2.2007731861595]",2.1999154867627446,1024.0
avx512,shape/2/compact/sum/half/packet,1,3,"[1055.941068510371,1055.2587303582588,1055.3313890634809]",1055.3313890634809,"[1056.443042111946,1055.366511628311,1056.211741043591]",1056.211741043591,"[1.0311924497171592,1.0305261038654874,1.0305970596323055]",1.0305970596323055,1024.0
avx512,shape/2/compact/sum/half/point,1,3,"[1365.3856357902403,1365.4730955554708,1365.6109503527666]",1365.4730955554708,"[1365.724290405488,1368.261631498402,1432.729362421086]",1368.261631498402,"[1.3333844099514063,1.3334698198783894,1.3336044437038737]",1.3334698198783894,1024.0
avx512,shape/2/compact/update/all/packet,1,3,"[3869.081375994084,3862.3197706676415,3854.743480673241]",3862.3197706676415,"[3869.8059922324155,3864.823562049704,3855.2184205660924]",3864.823562049704,"[3.7783997812442225,3.7717966510426186,3.7643979303449617]",3.7717966510426186,1024.0
avx512,shape/2/compact/update/all/point,1,3,"[31125.622501850386,31135.962990377673,31067.250925240547]",31125.622501850386,"[31125.686158405377,31137.278312359445,31093.16210214198]",31125.686158405377,"[30.39611572446327,30.4062138577907,30.339112231680218]",30.39611572446327,1024.0
avx512,shape/2/compact/update/half/packet,1,3,"[2522.839037817113,2510.2756103398865,2502.5722235519506]",2510.2756103398865,"[2523.2121828628774,2510.3741622793536,2502.669459071278]",2510.3741622793536,"[2.4637099978682744,2.451441025722546,2.443918187062452]",2.451441025722546,1024.0
avx512,shape/2/compact/update/half/point,1,3,"[15836.234363225303,15829.482290881713,15847.666164280447]",15836.234363225303,"[15855.619065566141,15830.275810092699,15856.14657120809]",15855.619065566141,"[15.46507262033721,15.458478799689171,15.476236488555125]",15.46507262033721,1024.0
avx512,shape/2/spread/sum/all/packet,1,3,"[42528.26209677396,42561.2157258065,42508.83669354847]",42528.26209677396,"[42534.771169365806,42586.73689513847,42532.059475786446]",42534.771169365806,"[41.53150595388082,41.5636872322329,41.512535833543424]",41.53150595388082,1024.0
avx512,shape/2/spread/sum/all/point,1,3,"[2557.32405263798,2559.404532715975,2557.8217375411386]",2557.8217375411386,"[2558.3436700391453,2561.2508833923744,2557.9190325319078]",2558.3436700391453,"[2.4973867701542773,2.4994184889804445,2.4978727905675187]",2.4978727905675187,1024.0
avx512,shape/2/spread/sum/half/packet,1,3,"[20667.334318069927,20664.006400787734,20663.602166420435]",20664.006400787734,"[20675.673559819174,20665.18562285441,20664.37321515872]",20665.18562285441,"[20.182943669990163,20.17969375076927,20.179298990644952]",20.17969375076927,1024.0
avx512,shape/2/spread/sum/half/point,1,3,"[1528.7149097262798,1529.5361094933035,1529.2682003494435]",1529.2682003494435,"[1529.6539385557523,1529.7001310424612,1529.35468841009]",1529.6539385557523,"[1.49288565402957,1.4936876069270542,1.4934259769037532]",1.4934259769037532,1024.0
avx512,shape/2/spread/update/all/packet,1,3,"[109151.03124999972,109150.19791666685,109182.85677083186]",109151.03124999972,"[109255.63020832326,109155.60416665155,109186.90885416046]",109186.90885416046,"[106.59280395507787,106.59199015299495,106.62388356526547]",106.59280395507787,1024.0
avx512,shape/2/spread/update/all/point,1,3,"[31574.08276899906,31561.757712565704,31549.10233258088]",31561.757712565704,"[31575.637321295657,31562.88412339253,31559.858540272315]",31562.88412339253,"[30.83406520410064,30.822029016177442,30.80967024666101]",30.822029016177442,1024.0
avx512,shape/2/spread/update/half/packet,1,3,"[59734.645803698644,59751.17496443769,59773.7069701271]",59751.17496443769,"[59734.726884771284,59753.45945949012,59825.479374106944]",59753.45945949012,"[58.334615042674464,58.35075680120868,58.37276071301475]",58.35075680120868,1024.0
avx512,shape/2/spread/update/half/point,1,3,"[16080.46174445315,16076.693190512597,16081.582249426323]",16080.46174445315,"[16087.9812547883,16077.364957923484,16081.61132364449]",16081.61132364449,"[15.70357592231753,15.699895693859956,15.704670165455395]",15.70357592231753,1024.0
avx512,shape/4/compact/sum/all/packet,1,3,"[826.2210672890103,814.3904763772568,815.0164937535637]",815.0164937535637,"[827.1857263328762,814.5917943086496,815.0501284587534]",815.0501284587534,"[0.8068565110244241,0.7953031995871649,0.7959145446812147]",0.7959145446812147,1024.0
avx512,shape/4/compact/sum/all/point,1,3,"[2151.850015367269,2152.092357340415,2152.822251818458]",2152.092357340415,"[2151.8529351505927,2152.332342997597,2154.181077758295]",2152.332342997597,"[2.1014160306320986,2.1016526927152492,2.102365480291463]",2.1016526927152492,1024.0
avx512,shape/4/compact/sum/half/packet,1,3,"[638.5035804965528,638.4657230170538,638.5555775166013]",638.5035804965528,"[639.4083134418513,638.6356407645811,638.5868365441794]",638.6356407645811,"[0.6235386528286648,0.6235016826338418,0.6235894311685558]",0.6235386528286648,1024.0
avx512,shape/4/compact/sum/half/point,1,3,"[1137.141614623436,1145.2663472780805,1158.4286080930867]",1145.2663472780805,"[1137.2699974340019,1145.3115179518077,1158.8789745343497]",1145.3115179518077,"[1.1104898580306992,1.1184241672637503,1.1312779375909052]",1.1184241672637503,1024.0
avx512,shape/4/compact/update/all/packet,1,3,"[2077.0197381472144,2118.128149176776,2083.2427097798]",2083.2427097798,"[2077.1370759764113,2118.9915195399212,2083.3779012099812]",2083.3779012099812,"[2.028339588034389,2.0684845206804447,2.034416708769336]",2.034416708769336,1024.0
avx512,shape/4/compact/update/all/point,1,3,"[18206.507991360395,18206.79308855319,18250.23196544304]",18206.79308855319,"[18231.98401727454,18209.067818578842,18250.96889849259]",18231.98401727454,"[17.779792960312886,17.780071375540224,17.822492153752968]",17.780071375540224,1024.0
avx512,shape/4/compact/update/half/packet,1,3,"[1285.6985026181208,1282.2912698655819,1284.8729522001527]",1284.8729522001527,"[1286.3123373238589,1282.342621795989,1285.7602351718438]",1285.7602351718438,"[1.2555649439630083,1.2522375682281073,1.2547587423829618]",1.2547587423829618,1024.0
avx512,shape/4/compact/update/half/point,1,3,"[8459.91059202575,8461.410793395064,8499.441401530332]",8461.410793395064,"[8460.487716471087,8461.810914215775,8504.883809907611]",8461.810914215775,"[8.261631437525146,8.263096477924869,8.300235743681965]",8.263096477924869,1024.0
avx512,shape/4/spread/sum/all/packet,1,3,"[21023.10955477738,21017.17658829421,21006.466733367008]",21017.17658829421,"[21024.32866433395,21017.934967480793,21007.315157576893]",21017.934967480793,"[20.530380424587285,20.524586512006064,20.51412766930372]",20.524586512006064,1024.0
avx512,shape/4/spread/sum/all/point,1,3,"[2454.1128486404227,2442.875831485601,2442.4936398646328]",2442.875831485601,"[2455.9221029283362,2444.5747461780647,2442.596102229829]",2444.5747461780647,"[2.396594578750413,2.3856209291851576,2.3852476951803054]",2.3856209291851576,1024.0
avx512,shape/4/spread/sum/half/packet,1,3,"[10452.398805078503,10451.02713467764,10450.97485685847]",10451.02713467764,"[10458.549414983441,10456.542693552421,10451.38212596751]",10456.542693552421,"[10.207420708084475,10.206081186208634,10.206030133650849]",10.206081186208634,1024.0
avx512,shape/4/spread/sum/half/point,1,3,"[1360.7487147984075,1364.2951922144346,1367.3544569821443]",1364.2951922144346,"[1360.8630411583908,1364.3464709496811,1367.356978887275]",1364.3464709496811,"[1.3288561667953198,1.332319523646909,1.3353070868966253]",1.332319523646909,1024.0
avx512,shape/4/spread/update/all/packet,1,3,"[55328.213720316926,55318.00263852152,55325.707124010856]",55325.707124010856,"[55331.176780979775,55320.55672822114,55353.82849606565]",55331.176780979775,"[54.031458711247,54.02148695168117,54.02901086329185]",54.02901086329185,1024.0
avx512,shape/4/spread/update/all/point,1,3,"[18533.18606701931,18466.629629629493,18561.056437389867]",18533.18606701931,"[18533.215167555907,18467.31569664888,18565.592151672176]",18533.215167555907,"[18.098814518573544,18.033817997685055,18.126031677138542]",18.098814518573544,1024.0
avx512,shape/4/spread/update/half/packet,1,3,"[30383.9450469991,30410.206796817998,30465.846710050395]",30410.206796817998,"[30383.99349240265,30432.127259584064,30467.91250904077]",30432.127259584064,"[29.671821334960057,29.697467575017576,29.751803427783592]",29.697467575017576,1024.0
avx512,shape/4/spread/update/half/point,1,3,"[8690.710955229995,8699.231689705,8671.234990716035]",8690.710955229995,"[8691.029915411187,8702.468124612891,8676.3509387231]",8691.029915411187,"[8.48702241721679,8.49534344697754,8.468002920621128]",8.48702241721679,1024.0
