input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:logical_values,counter:active_values,counter:selected_values
current,composition/avx2/local/k64/h0/u64/prefilter75/direct,1,5,"[1940.6385589755982,1940.071011821365,1943.7687681028578,1940.9451889629272,1940.4796831908022]",1940.6385589755982,"[1941.0723699699595,1940.3459747479756,1944.378119933634,1941.8734010570286,1940.840535220924]",1941.0723699699595,"[0.23689435534370096,0.2368250746852252,0.2372764609500559,0.23693178576207607,0.23687496132700223]",0.23689435534370096,8192.0,6144.0,4453.0
current,composition/avx2/local/k64/h0/u64/prefilter75/materialized,1,5,"[1923.3035870996002,1917.7460303312464,1918.1622147871658,1924.0144526108559,1914.9346958643798]",1918.1622147871658,"[1923.912550735395,1918.1968379759828,1918.4891262620931,1924.423061102932,1917.8822400197942]",1918.4891262620931,"[0.23477826990961914,0.23409985721816973,0.23415066098476145,0.2348650454847236,0.2337566767412573]",0.23415066098476145,8192.0,6144.0,4453.0
current,composition/avx2/local/k7/h0/u8/all/authored,1,5,"[1481.0823020456555,1481.3547735398038,1482.6065399505057,1480.8839933574575,1481.6762021112315]",1481.3547735398038,"[1482.6223847591916,1481.9454633923406,1509.3615324400882,1482.5832857366524,1482.5986387002436]",1482.5986387002436,"[0.18079617944893256,0.18082944012937058,0.18098224364630197,0.18077197184539276,0.1808686770155312]",0.18082944012937058,8192.0,8192.0,5902.0
current,composition/avx2/local/k7/h0/u8/all/authored-u64-carrier,1,5,"[931.0692634358396,930.9788631458554,931.2511980100282,932.7388687326865,931.0093812249123]",931.0692634358396,"[931.2288639782197,931.598768901095,931.5573465193429,933.0056566681402,931.2167358931233]",931.5573465193429,"[0.11365591594675778,0.11364488075510928,0.11367812475708353,0.11385972518709551,0.11364860610655668]",0.11365591594675778,8192.0,8192.0,5902.0
current,composition/avx2/local/k7/h0/u8/all/dense32-authored,1,5,"[320.64325851385337,320.46062268229923,320.4257172348331,320.31522016815,320.5489305201838]",320.46062268229923,"[320.89097503617717,320.5422619517734,320.47463114364126,320.46771397914,320.6996807199913]",320.5422619517734,"[0.03914102276780437,0.03911872835477285,0.03911446743589272,0.03910097902443238,0.03912950812013962]",0.03911872835477285,8192.0,8192.0,5902.0
current,composition/avx2/local/k7/h0/u8/all/direct,1,5,"[1479.0382183831966,1478.5801807053401,1479.7524177949729,1479.2245038552242,1479.033581516122]",1479.0382183831966,"[1479.485053390647,1478.7342677723457,1481.4943377242473,1479.5768580571907,1479.248080337328]",1479.485053390647,"[0.18054665751748006,0.1804907447150073,0.1806338400628629,0.18056939744326464,0.18054609149366724]",0.18054665751748006,8192.0,8192.0,5902.0
current,composition/avx2/local/k7/h0/u8/all/materialized,1,5,"[1173.000783065681,1174.2510960825741,1173.5050229266612,1173.6273570486342,1172.5079458135301]",1173.5050229266612,"[1174.0164443797917,1174.6070434023552,1173.786319382426,1174.1477942250303,1173.8291618672072]",1174.0164443797917,"[0.1431885721515724,0.14334119825226735,0.1432501248689772,0.14326505823347585,0.1431284113541907]",0.1432501248689772,8192.0,8192.0,5902.0
current,composition/avx2/local/k7/h0/u8/prefilter75/authored,1,5,"[1479.0383657463872,1478.8981823962713,1479.6434317206188,1479.1414604419347,1478.5102220338094]",1479.0383657463872,"[1479.4617614337712,1479.0483440215448,1480.274813206037,1479.4873244641417,1478.7018282029092]",1479.4617614337712,"[0.18054667550615078,0.18052956328079484,0.18062053609870832,0.18055926030785338,0.18048220483811148]",0.18054667550615078,8192.0,6144.0,4423.0
current,composition/avx2/local/k7/h0/u8/prefilter75/authored-u64-carrier,1,5,"[932.4441514277546,932.4607111303749,932.1189684775522,932.5153611495421,932.7766423844373]",932.4607111303749,"[932.8487889448057,932.7130607275972,932.2177399203804,932.6827418350211,933.0633916220593]",932.7130607275972,"[0.11382374895358334,0.11382577040165708,0.11378405376923244,0.11383244154657497,0.11386433622856902]",0.11382577040165708,8192.0,6144.0,4423.0
current,composition/avx2/local/k7/h0/u8/prefilter75/dense32-authored,1,5,"[359.0177631486148,358.9172942261117,358.8940609560794,359.0075525117572,358.7881590977023]",358.9172942261117,"[359.3423480493655,358.9583509109717,359.0227921727186,359.11598811602255,358.82172866597006]",359.0227921727186,"[0.04382541054060239,0.043813146267835903,0.04381031017530265,0.04382416412497036,0.04379738270235624]",0.043813146267835903,8192.0,6144.0,4423.0
current,composition/avx2/local/k7/h0/u8/prefilter75/direct,1,5,"[1480.8655104383154,1483.030889174513,1479.8384453859192,1480.148458450367,1479.9413158576847]",1480.148458450367,"[1481.1878157018875,1483.9688992566018,1480.2025885549278,1480.5414438574485,1480.3056282823263]",1480.5414438574485,"[0.18076971562967717,0.18103404408868567,0.18064434147777336,0.18068218486942958,0.18065689890840878]",0.18068218486942958,8192.0,6144.0,4423.0
current,composition/avx2/local/k7/h0/u8/prefilter75/materialized,1,5,"[1218.6903648147222,1218.9695769961188,1219.411544626221,1220.7572780013643,1218.2136099932054]",1218.9695769961188,"[1218.927990904123,1219.1989843033255,1220.0041464140293,1221.1536612145362,1218.325828847874]",1219.1989843033255,"[0.14876591367367215,0.14879999719190903,0.1488539483186305,0.1490182224122759,0.1487077160636237]",0.14879999719190903,8192.0,6144.0,4423.0
current,composition/avx2/striped/k12/h0/u16/all/authored,1,5,"[1030.8545196180326,1030.735246909481,1032.2378533195204,1030.8055279452662,1030.6898335284461]",1030.8055279452662,"[1031.1878676780866,1030.8453824579678,1032.8548398977714,1031.1942069972504,1030.851467761936]",1031.1878676780866,"[0.1258367333518106,0.12582217369500498,0.126005597329043,0.12583075292300613,0.12581663006939042]",0.12583075292300613,8192.0,8192.0,5945.0
current,composition/avx2/striped/k12/h0/u16/all/authored-u64-carrier,1,5,"[750.3562257142437,749.6298397542284,749.2916831693808,749.3106916152042,749.3573416542563]",749.3573416542563,"[750.7140892113371,749.9337019234653,749.418806667173,749.3844185874581,749.546160309574]",749.546160309574,"[0.09159621895925825,0.09150754879812359,0.0914662699181373,0.0914685902850591,0.09147428486990433]",0.09147428486990433,8192.0,8192.0,5945.0
current,composition/avx2/striped/k12/h0/u16/all/direct,1,5,"[1030.7378901648642,1030.6986012956768,1030.661012956378,1032.0146790341817,1030.6771937574038]",1030.6986012956768,"[1031.031492933764,1030.913350266645,1030.789899882114,1032.1430064780761,1031.0761888989496]",1031.031492933764,"[0.12582249635801565,0.12581770035347617,0.12581311193315162,0.12597835437428975,0.12581508712858933]",0.12581770035347617,8192.0,8192.0,5945.0
current,composition/avx2/striped/k12/h0/u16/all/materialized,1,5,"[1329.8685912371577,1329.77353564938,1330.3570694918656,1330.2174343074932,1329.7764077642234]",1329.8685912371577,"[1330.1695593871002,1330.4998050404593,1331.1424026861253,1330.524037317101,1329.9793816395113]",1330.4998050404593,"[0.16233747451625458,0.16232587105094973,0.16239710320945624,0.16238005789886392,0.1623262216509062]",0.16233747451625458,8192.0,8192.0,5945.0
current,composition/avx2/striped/k12/h0/u16/prefilter75/authored,1,5,"[1091.077311350205,1091.0635095104315,1092.6661053944588,1091.224208762085,1091.1831930152803]",1091.1831930152803,"[1091.2523932028068,1091.1747622378375,1093.1012550672447,1091.4832358901274,1091.3429568130505]",1091.3429568130505,"[0.13318814835817933,0.1331864635632851,0.1333820929436595,0.13320608017115296,0.13320107336612308]",0.13320107336612308,8192.0,6144.0,4435.0
current,composition/avx2/striped/k12/h0/u16/prefilter75/authored-u64-carrier,1,5,"[811.0533723305346,809.67857411491,809.4399767405682,809.5868381617014,809.9157047554395]",809.67857411491,"[811.4060075334755,809.8498232394754,809.5622884520752,809.7369107757158,810.3089861320693]",809.8498232394754,"[0.09900553861456722,0.09883771656676148,0.0988085909107139,0.09882651833028581,0.09886666317815423]",0.09883771656676148,8192.0,6144.0,4435.0
current,composition/avx2/striped/k12/h0/u16/prefilter75/direct,1,5,"[1092.1403156429262,1091.3431242176212,1091.3661169368715,1093.0038139211863,1091.702182670411]",1091.702182670411,"[1092.6912049720565,1091.5853628101415,1091.5544458690526,1093.1474950171848,1092.2503382995228]",1092.2503382995228,"[0.13331790962438064,0.13322059621797133,0.13322340294639545,0.13342331712905106,0.13326442659550916]",0.13326442659550916,8192.0,6144.0,4435.0
