input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:logical_values,counter:active_values,counter:selected_values,counter:encoded_bytes
gnr,composition/avx512/local/k23/h0/u32/prefilter75/grouped16-authored-u64-carrier,1,3,"[1298.9077277111953,1299.5696310594337,1298.0469527131695]",1298.9077277111953,"[1299.213096658457,1301.3555879295984,1298.1712846135315]",1299.213096658457,"[0.15855807223037052,0.15863887097893478,0.1584529971573693]",0.15855807223037052,8192.0,6144.0,4426.0,23552.0
gnr,composition/avx512/local/k23/h0/u32/prefilter75/materialized,1,3,"[1987.9839998861155,1986.7374442560729,1986.9526550501344]",1986.9526550501344,"[1988.4398677754596,1987.1352529636083,1987.3831336213811]",1987.3831336213811,"[0.24267382811109808,0.24252166067579015,0.2425479315246746]",0.2425479315246746,8192.0,6144.0,4426.0,23552.0
gnr,composition/avx512/local/k24/h0/u32/all/authored,1,3,"[2030.114533471179,2031.0440849108977,2031.6266895577712]",2031.0440849108977,"[2030.4488222107184,2031.2193187939486,2031.9183192564517]",2031.2193187939486,"[0.2478167155116185,0.24793018614634982,0.24800130487765765]",0.24793018614634982,8192.0,8192.0,5866.0,24576.0
gnr,composition/avx512/local/k24/h0/u32/all/authored-u64-carrier,1,3,"[1265.0691151346207,1263.9008379508998,1264.0127636110767]",1264.0127636110767,"[1265.6975964275575,1264.0927260105773,1264.3038950730654]",1264.3038950730654,"[0.15442738221858163,0.15428477025767817,0.1542984330579928]",0.1542984330579928,8192.0,8192.0,5866.0,24576.0
gnr,composition/avx512/local/k24/h0/u32/all/grouped16-authored,1,3,"[1101.9602365802057,1102.0414566534355,1101.9469112272877]",1101.9602365802057,"[1102.3980988568842,1102.201085247157,1102.226357740932]",1102.226357740932,"[0.13451663044191964,0.13452654500164005,0.13451500381192477]",0.13451663044191964,8192.0,8192.0,5866.0,24576.0
gnr,composition/avx512/local/k24/h0/u32/all/grouped16-authored-u64-carrier,1,3,"[665.1187327574513,665.9614338149992,665.6857867321719]",665.6857867321719,"[665.3600776834992,666.0594019917646,665.781318999784]",665.781318999784,"[0.08119125155730607,0.08129412033874502,0.08126047201320458]",0.08126047201320458,8192.0,8192.0,5866.0,24576.0
gnr,composition/avx512/local/k24/h0/u32/all/materialized,1,3,"[1689.0317699179773,1688.9145137601017,1688.2420484915235]",1688.9145137601017,"[1689.8302915788238,1689.2240748303466,1688.377470932811]",1689.2240748303466,"[0.20618063597631558,0.20616632248048117,0.20608423443500043]",0.20616632248048117,8192.0,8192.0,5866.0,24576.0
gnr,composition/avx512/local/k24/h0/u32/prefilter75/authored,1,3,"[2025.7100931498273,2026.1683204119222,2033.1445411941813]",2026.1683204119222,"[2025.9801695111128,2026.6850989296613,2033.3378992182631]",2026.6850989296613,"[0.24727906410520353,0.2473350000502835,0.24818658950124287]",0.2473350000502835,8192.0,6144.0,4395.0,24576.0
gnr,composition/avx512/local/k24/h0/u32/prefilter75/authored-u64-carrier,1,3,"[1306.5283242940427,1309.5526089395441,1307.52345240331]",1307.52345240331,"[1306.8283897546414,1310.2699738202894,1307.7153450532253]",1307.7153450532253,"[0.1594883208366751,0.15985749620844045,0.15960979643595094]",0.15960979643595094,8192.0,6144.0,4395.0,24576.0
gnr,composition/avx512/local/k24/h0/u32/prefilter75/grouped16-authored,1,3,"[1139.3599870456771,1137.102769006715,1136.0709578172523]",1137.102769006715,"[1139.6114889432497,1137.2848838162922,1136.3427252871913]",1137.2848838162922,"[0.13908202966866176,0.138806490357265,0.13868053684292628]",0.138806490357265,8192.0,6144.0,4395.0,24576.0
gnr,composition/avx512/local/k24/h0/u32/prefilter75/grouped16-authored-u64-carrier,1,3,"[733.617634610832,733.9805731901857,733.6054445228019]",733.617634610832,"[733.9363743276641,734.0778587659463,733.7138856250831]",733.9363743276641,"[0.08955293391245508,0.0895972379382551,0.08955144586459986]",0.08955293391245508,8192.0,6144.0,4395.0,24576.0
gnr,composition/avx512/local/k24/h0/u32/prefilter75/materialized,1,3,"[1778.5399589124324,1779.7576214872633,1778.2169651009651]",1778.5399589124324,"[1778.743050624987,1780.0094222314406,1780.974548549804]",1780.0094222314406,"[0.21710692857817782,0.21725556902920698,0.2170675006226764]",0.21710692857817782,8192.0,6144.0,4395.0,24576.0
gnr,composition/avx512/local/k25/h0/u32/all/authored,1,3,"[2728.484475082127,2724.450710826288,2730.293333073153]",2728.484475082127,"[2728.734260266453,2725.346977045577,2731.78694735233]",2728.734260266453,"[0.3330669525246738,0.33257454966141203,0.3332877603849064]",0.3330669525246738,8192.0,8192.0,5835.0,25600.0
gnr,composition/avx512/local/k25/h0/u32/all/authored-u64-carrier,1,3,"[1956.5161181435078,1960.2786216596935,1950.8608860758304]",1956.5161181435078,"[1956.7958509158623,1960.5024894479232,1951.3358649736622]",1956.7958509158623,"[0.23883253395306492,0.23929182393306805,0.2381421980073035]",0.23883253395306492,8192.0,8192.0,5835.0,25600.0
gnr,composition/avx512/local/k25/h0/u32/all/grouped16-authored,1,3,"[1660.067526322227,1654.6948184075422,1654.0514965103914]",1654.6948184075422,"[1660.5787294448064,1655.8501715383102,1654.193244998901]",1655.8501715383102,"[0.20264496170925625,0.20198911357513943,0.20191058307011614]",0.20198911357513943,8192.0,8192.0,5835.0,25600.0
gnr,composition/avx512/local/k25/h0/u32/all/grouped16-authored-u64-carrier,1,3,"[1247.332079121821,1250.646196987984,1246.9270013399346]",1247.332079121821,"[1247.7143503638151,1251.2952159512383,1247.0340234440528]",1247.7143503638151,"[0.15226221668967538,0.15266677209325977,0.15221276871825373]",0.15226221668967538,8192.0,8192.0,5835.0,25600.0
gnr,composition/avx512/local/k25/h0/u32/all/materialized,1,3,"[2028.5124579904846,2026.7339349865395,2026.4611194809129]",2026.7339349865395,"[2028.9962915715057,2026.9102590192113,2026.9750840208637]",2026.9750840208637,"[0.24762114965704157,0.24740404479816153,0.24737074212413487]",0.24740404479816153,8192.0,8192.0,5835.0,25600.0
gnr,composition/avx512/local/k25/h0/u32/prefilter75/authored,1,3,"[2721.367513046391,2727.9914128825158,2734.361574110096]",2727.9914128825158,"[2722.9741802224617,2728.3547394731618,2734.667146972814]",2728.3547394731618,"[0.3321981827449208,0.3330067642678852,0.33378437183961135]",0.3330067642678852,8192.0,6144.0,4392.0,25600.0
gnr,composition/avx512/local/k25/h0/u32/prefilter75/authored-u64-carrier,1,3,"[1959.8728895761028,1951.0189639417358,1955.6079707598356]",1955.6079707598356,"[1960.6564700919305,1951.3279820056778,1956.0217192672678]",1956.0217192672678,"[0.2392422960908328,0.23816149462179395,0.23872167611814396]",0.23872167611814396,8192.0,6144.0,4392.0,25600.0
