scope,case,before_ns_per_value,after_ns_per_value,ratio,before_min,before_max,after_min,after_max,separated_win,separated_loss,both_edges_agree,block_medians
placement,head-placement/avx512/local/k56/h16/n257/headgap0-17/encode-bound,0.10761373058327037,0.13165146010156742,1.2233704694374192,0.1047598168118693,0.14346090740044787,0.1292698340817752,0.1361815583248053,False,False,True,"[0.104877555057525, 0.13497046278904526, 0.12936920167126562, 0.10766539374303064]"
placement,head-placement/avx512/local/k56/h16/n257/headgap13-0/encode-bound,0.15479423715868368,0.1529018976475891,0.9877751294503639,0.1489149153261006,0.15877881889193268,0.15125885522294402,0.15427669625833934,False,False,True,"[0.15474592609212334, 0.151729728897893, 0.15422604588274857, 0.15861815194956003]"
placement,head-placement/avx512/local/k56/h16/n257/headgap13-17/encode-bound,0.14702346854997383,0.13945991205858976,0.9485554478752268,0.14078779575244302,0.1502744429935082,0.12791198272960397,0.15006419015646105,False,False,True,"[0.14697675093355372, 0.12938525940558787, 0.14979505068902485, 0.15021803834691289]"
placement,head-placement/avx512/local/k56/h16/n8193/headgap0-0/encode-bound,0.15425279410266138,0.11479672635150015,0.7442116495802232,0.15401662654703724,0.1544294041843953,0.1144444438997972,0.11527267115183623,True,False,True,"[0.15412554363050993, 0.11500760491314212, 0.11457175515738595, 0.15439104601342135]"
placement,head-placement/avx512/local/k56/h16/n8193/headgap0-17/encode-bound,0.16653921120608206,0.12627766168369,0.758245825527714,0.16637987291332978,0.16698112598240636,0.12589616432257644,0.12670345321403595,True,False,True,"[0.16677116621861354, 0.12668568739406297, 0.12593777350751548, 0.16647076439890118]"
placement,head-placement/avx512/local/k56/h16/n8193/headgap13-0/encode-bound,0.16267340279408377,0.1259037104439335,0.7739661695237647,0.16236849730557598,0.1631726078000533,0.1257413286324551,0.1262010693184828,True,False,True,"[0.16290922138175304, 0.126110136682516, 0.12580320793033964, 0.1624430529784277]"
placement,head-placement/avx512/local/k56/h16/n8193/headgap13-17/encode-bound,0.17095091584407293,0.13279537309304523,0.7768041044844125,0.17077254434057185,0.17122817634684598,0.13256759734439685,0.13293399387156787,True,False,True,"[0.17083286384247456, 0.13280905600873388, 0.13256791291245773, 0.17109833880896294]"
placement,head-placement/avx512/striped/k23/h16/n257/headgap0-0/encode-bound,0.2044739238689176,0.17033169948961485,0.8330240661826867,0.20143458992532967,0.20727917443738084,0.16981347633762445,0.17086924281978375,True,False,True,"[0.20700115174560646, 0.17076896963262858, 0.1699430446507342, 0.2015768529875301]"
placement,head-placement/avx512/striped/k23/h16/n257/headgap0-17/encode-bound,0.20500685419074832,0.14741006242844779,0.7190494337876641,0.2041800573716184,0.20592858190829805,0.14529660260354552,0.1501891051633921,True,False,True,"[0.20540305784033114, 0.14726218141303593, 0.1500813096363604, 0.20420510196033245]"
placement,head-placement/avx512/striped/k23/h16/n257/headgap13-0/encode-bound,0.2056586633202117,0.14479613008996245,0.704060445362878,0.20554502491047794,0.20578531272604703,0.1444837752639125,0.14524207504163236,True,False,True,"[0.20569979216451326, 0.14496647150879843, 0.14455582068527248, 0.2056175344759102]"
placement,head-placement/avx512/striped/k23/h16/n257/headgap13-17/encode-bound,0.1942136147671641,0.16725616370683777,0.8611969037667896,0.1925860869820918,0.1957623473721822,0.16374483835914658,0.16980527320816122,True,False,True,"[0.19575550892957494, 0.1650216526288819, 0.1696863441837333, 0.19267979142539857]"
placement,head-placement/avx512/striped/k23/h16/n8193/headgap0-0/encode-bound,0.1922438392893238,0.11733494558475675,0.6103443731591814,0.19190717120617945,0.19246959747022513,0.11719612534096081,0.1177111990230379,True,False,True,"[0.19201641027400881, 0.11767789026466072, 0.11726062980459162, 0.1923832845683783]"
placement,head-placement/avx512/striped/k23/h16/n8193/headgap0-17/encode-bound,0.19266621483094498,0.11791655591279625,0.6120250819079108,0.19241791608320705,0.1927591730546887,0.11758221782036482,0.11828525674944973,True,False,True,"[0.1926824726935826, 0.11824319867367027, 0.11759116445140035, 0.1926574406735591]"
placement,head-placement/avx512/striped/k23/h16/n8193/headgap13-0/encode-bound,0.18656342251168068,0.11755193400957076,0.6300910029789514,0.18609949218292177,0.18687475530168698,0.1173333256899402,0.11775786966753096,True,False,True,"[0.1861442498227209, 0.11770478465299883, 0.11737601066118412, 0.1867101736533772]"
placement,head-placement/avx512/striped/k23/h16/n8193/headgap13-17/encode-bound,0.19267444627931685,0.11823200313748602,0.613636138162749,0.19245809507291306,0.1929532321124606,0.11769502982269273,0.11884122139699395,True,False,True,"[0.19250985849831578, 0.11880310749145877, 0.11775573293623434, 0.19294445805824684]"
placement,head-placement/avx512/striped/k28/h16/n257/headgap0-0/encode-bound,0.16109676085767455,0.11916707026310602,0.739723565071476,0.15281714249558745,0.16894138476203893,0.11375863876848027,0.1246806656158046,True,False,True,"[0.1689370871359455, 0.124621857913626, 0.11378018910739449, 0.15295070623204016]"
placement,head-placement/avx512/striped/k28/h16/n257/headgap0-17/encode-bound,0.1488948977837919,0.12652088941310743,0.8497328739687681,0.12713143795294132,0.16261895481696273,0.12165149860480963,0.13141871012632503,False,False,False,"[0.12848790963090728, 0.13123791783027178, 0.12184995931789218, 0.14900797080544798]"
placement,head-placement/avx512/striped/k28/h16/n257/headgap13-0/encode-bound,0.1309402637059368,0.13706191348346788,1.0467514697486708,0.11490505574007558,0.1654095012211968,0.11322774503578345,0.15995538653682542,False,False,False,"[0.13109324833717292, 0.1598814384965199, 0.11385937921038784, 0.11510165681798551]"
placement,head-placement/avx512/striped/k28/h16/n257/headgap13-17/encode-bound,0.1470261773501189,0.12058105753246079,0.820133255898483,0.1305079950527935,0.17010318757694606,0.11991643960975773,0.12114167246523963,True,False,True,"[0.13121675808823513, 0.12103049712261786, 0.1201281686890847, 0.14703682965430512]"
placement,head-placement/avx512/striped/k28/h16/n8193/headgap0-0/encode-bound,0.13309648198068075,0.09673919757538775,0.7268351209270104,0.13294410189351294,0.13318116081199444,0.09636070240308758,0.09722360040791093,True,False,True,"[0.1330563612878782, 0.09717720953126559, 0.09640439490699752, 0.13317031137145796]"
placement,head-placement/avx512/striped/k28/h16/n8193/headgap0-17/encode-bound,0.13478618761618505,0.09950391024422815,0.7382352153736543,0.13437419607455478,0.13484539972262458,0.09889505539367381,0.1000254144176938,True,False,True,"[0.13479512828756043, 0.10001539294088296, 0.09900612633844932, 0.13464772263724845]"
placement,head-placement/avx512/striped/k28/h16/n8193/headgap13-0/encode-bound,0.13398989614751716,0.10032098490535904,0.7487205213959559,0.13391543052082175,0.13409065363501607,0.09909391484067091,0.10171741528011456,True,False,True,"[0.1339728202143485, 0.10159882207051964, 0.09913166369399358, 0.13400697208068582]"
placement,head-placement/avx512/striped/k28/h16/n8193/headgap13-17/encode-bound,0.13503500990519626,0.10190732085420831,0.7546733319437245,0.13471010685186838,0.1359070521069911,0.10072512980216873,0.10316773395133155,True,False,True,"[0.13543608993581774, 0.10074045296294502, 0.10315588780949468, 0.13477980700111875]"
small-repeat,bulk/calico/local/k43/h0/u64/encode,0.10806490186337225,0.11160247369036716,1.0327356224453663,0.10795640109213121,0.10823718017303317,0.11107327933501125,0.11220478254954912,False,True,True,"[0.10801252383563253, 0.11214932419439107, 0.11114001170804946, 0.1081816260806302]"
small-repeat,bulk/calico/local/k44/h0/u64/encode,0.1148957056601567,0.11167564119288191,0.9719740224512896,0.11394362498937931,0.11567086023075933,0.11150374579691798,0.11193080299198495,True,False,True,"[0.11412563650160287, 0.1118228359715917, 0.11152706847064588, 0.1156363047130231]"
small-repeat,bulk/calico/local/k51/h0/u64/encode,0.0921504128754634,0.08946591154625898,0.970868265855386,0.0916052815520036,0.09266928833018902,0.08925620241922134,0.08959192401771306,True,False,True,"[0.09168989426920746, 0.08933030272786419, 0.08955791454038829, 0.09262863629567172]"
small-repeat,bulk/calico/striped/k43/h0/u64/encode,0.10625267510896245,0.1093539593036151,1.0291878222498612,0.1059667935518508,0.10638953509235372,0.10914226762665447,0.1094586732043556,False,True,True,"[0.1061118997658973, 0.1094068042626507, 0.10920708346232144, 0.1063579204903568]"
small-repeat,bulk/calico/striped/k44/h0/u64/encode,0.10783943309720335,0.1081279537906178,1.0026754655985106,0.10700529633868354,0.10875447232014084,0.10802653377823764,0.10824352108942806,False,False,False,"[0.10704774117082207, 0.10821338609454156, 0.10802730755474152, 0.10871680723873008]"
small-repeat,bulk/calico/striped/k51/h0/u64/encode,0.08738748601159138,0.0868532693459256,0.9938868058797925,0.08711910664757873,0.08760605430113654,0.08654377134988242,0.08720106608078373,False,False,True,"[0.08715254744428742, 0.08655791498735177, 0.08714695070436902, 0.08748765098294758]"
small-repeat,bulk/series/avx2/local/k17/h16/u64/encode,0.14070631844028758,0.10104855215226423,0.7181522000744184,0.14028043470300583,0.1411216311335503,0.09967073698300319,0.10239300683663037,True,False,True,"[0.14033360071812737, 0.09973028217190412, 0.10236483026668257, 0.14105901879578658]"
small-repeat,bulk/series/avx2/local/k24/h8/u64/encode,0.11576649549260241,0.10895148555747486,0.9411314136605005,0.11509444757457729,0.11676276029012507,0.10885117798294688,0.10909752676369937,True,False,True,"[0.11509587191168627, 0.10886258960436322, 0.10899662104144502, 0.1164892271066525]"
small-repeat,bulk/series/avx2/local/k25/h16/u64/encode,0.2095544561518462,0.1726274857034092,0.8237834158884257,0.20906806892340035,0.20997142636646546,0.17224704205897026,0.17293042020432595,True,False,True,"[0.20909375530582622, 0.17233201796028194, 0.1728899202011643, 0.20993864351226674]"
small-repeat,bulk/series/avx2/local/k26/h16/u64/encode,0.1990720474374446,0.15910912900497914,0.7992539939841468,0.19883795617008324,0.1997902743074088,0.15902671112066558,0.1592076292376702,True,False,True,"[0.19901861665039747, 0.15910987906744276, 0.1591083789425155, 0.19939597256925906]"
small-repeat,bulk/series/avx2/local/k28/h16/u64/encode,0.19552857229584936,0.15984646737715785,0.8175095102484469,0.19543653513943537,0.19566864114489102,0.15883128057951304,0.16067901960212486,True,False,True,"[0.19544807989841237, 0.1606423412702684, 0.15904307360347703, 0.19556488422544782]"
small-repeat,bulk/series/avx2/local/k33/h16/u64/encode,0.21151595341204665,0.17309930696559497,0.8183747096767988,0.21140253359743777,0.2117173846606411,0.1727182777466634,0.17316922319932504,True,False,True,"[0.2116355750567724, 0.17297318347266497, 0.1731358788436455, 0.21145684691997835]"
