dataset,mask,operation,configuration,policy,repetitions,median_ns,min_ns,max_ns,cycles_per_call,relative_to_plain
census-income_srt,none,union,local-frame,complete,5,62.0126,61.6758,62.8129,171.93999481201172,1.0100528704104867
census-income_srt,none,union,local-frame,selected,5,4.26222,4.23238,4.27181,11.86174726486206,1.8617436237916982
census-income_srt,none,union,local-inline,complete,5,55.3621,55.1759,56.2158,154.51901245117188,0.9017304228004052
census-income_srt,none,union,local-point,complete,5,61.3866,61.1952,61.9281,170.85389709472656,0.999856666786111
census-income_srt,none,union,mixed-frame,complete,5,61.7291,61.5014,62.608,171.83252716064453,1.0054352606221313
census-income_srt,none,union,mixed-frame-point,complete,5,61.908,61.6285,62.8601,171.4000701904297,1.0083491597090335
census-income_srt,none,union,mixed-point-frame,complete,5,61.987,61.5219,62.5415,172.05435943603516,1.0096359010609914
census-income_srt,none,union,plain,complete,5,61.3954,60.4884,62.4361,170.86426544189453,1.0
census-income_srt,none,union,plain,selected,5,2.28937,2.28321,2.29548,6.375333786010742,1.0
census-income_srt,single255,intersection,bec-plain-frame,complete,5,119.556,118.388,121.063,332.7210998535156,1.9989433134480081
census-income_srt,single255,intersection,local-frame,complete,5,91.4036,87.7149,95.082,253.27752685546875,1.5282429576522831
census-income_srt,single255,intersection,local-frame,selected,5,23.885,23.6451,24.1201,65.96471786499023,7.085266442801713
census-income_srt,single255,intersection,local-inline,complete,5,75.7182,74.5321,80.3293,209.869140625,1.2659874000160507
census-income_srt,single255,intersection,local-point,complete,5,84.5775,80.9311,85.5996,233.6160125732422,1.4141124501752227
census-income_srt,single255,intersection,mixed-frame,complete,5,91.0859,90.8085,92.6612,253.12669372558594,1.5229311013616542
census-income_srt,single255,intersection,mixed-frame-point,complete,5,91.5542,91.3387,91.873,254.01148986816406,1.5307609480752251
census-income_srt,single255,intersection,mixed-point-frame,complete,5,86.2216,85.8492,87.6419,239.39849853515625,1.441601348278537
census-income_srt,single255,intersection,plain,complete,5,59.8096,59.184,61.5113,165.52397918701172,1.0
census-income_srt,single255,intersection,plain,selected,5,3.37108,3.35827,3.39387,9.375779151916504,1.0
census-income_srt,single255,union,bec-plain-frame,complete,5,122.047,120.775,122.862,339.71180725097656,2.1068304067724046
census-income_srt,single255,union,local-frame,complete,5,136.455,134.68,137.411,379.83729553222656,2.3555478066329245
census-income_srt,single255,union,local-frame,selected,5,69.6365,69.3207,69.9552,193.78573608398438,20.649679148825125
census-income_srt,single255,union,local-inline,complete,5,125.76,122.514,126.302,349.54563903808594,2.170925888843623
census-income_srt,single255,union,local-point,complete,5,126.251,124.834,128.675,350.45458984375,2.179401752484067
census-income_srt,single255,union,mixed-frame,complete,5,134.668,132.749,135.611,374.7258605957031,2.324699805970046
census-income_srt,single255,union,mixed-frame-point,complete,5,132.952,131.034,133.91,370.1144714355469,2.295077439357008
census-income_srt,single255,union,mixed-point-frame,complete,5,128.608,125.704,130.29,357.77223205566406,2.2200893504484784
census-income_srt,single255,union,plain,complete,5,57.9292,57.3455,60.192,161.2515869140625,1.0
census-income_srt,single255,union,plain,selected,5,3.37228,3.35723,3.3956,9.377592086791992,1.0
msmarco,all,intersection,bec-plain-frame,complete,5,22436.9,22288.7,22560.4,62249.5625,56.543039381468766
msmarco,all,intersection,local-frame,complete,5,35106.9,35098.9,35276.7,97704.24609375,88.47259778584768
msmarco,all,intersection,local-frame,selected,5,35128.4,34971.6,35268.6,97680.97265625,88.89462483140126
msmarco,all,intersection,local-inline,complete,5,35199.2,35099.8,35372.7,97952.0546875,88.70520222473671
msmarco,all,intersection,local-point,complete,5,37726.5,37718.4,37790.9,104994.47265625,95.07422929303875
msmarco,all,intersection,mixed-frame,complete,5,35091.0,35049.1,35378.6,97593.17578125,88.43252833212789
msmarco,all,intersection,mixed-frame-point,complete,5,35283.8,35168.6,35455.7,98197.68359375,88.91840195962311
msmarco,all,intersection,mixed-point-frame,complete,5,37384.0,37298.0,37555.2,104088.62109375,94.21109797863467
msmarco,all,intersection,plain,complete,5,396.811,390.937,404.167,1095.11962890625,1.0
msmarco,all,intersection,plain,selected,5,395.169,392.436,398.434,1097.5922241210938,1.0
msmarco,all,union,bec-plain-frame,complete,5,22341.8,22254.5,22364.1,62081.53515625,56.5021559627227
msmarco,all,union,local-frame,complete,5,38724.1,38612.8,38865.2,107783.05859375,97.93280477473034
msmarco,all,union,local-frame,selected,5,38714.1,38636.7,39244.5,107804.93359375,98.25913705583756
msmarco,all,union,local-inline,complete,5,38964.5,38835.1,39114.4,108445.80078125,98.54077361759164
msmarco,all,union,local-point,complete,5,41281.7,41141.1,41668.0,114697.8671875,104.4009458417106
msmarco,all,union,mixed-frame,complete,5,38691.0,38687.9,38781.1,107730.765625,97.84909525435302
msmarco,all,union,mixed-frame-point,complete,5,38682.9,38574.8,38864.2,107703.78125,97.82861044725162
msmarco,all,union,mixed-point-frame,complete,5,41288.0,41080.0,41818.4,114666.3984375,104.41687846945614
msmarco,all,union,plain,complete,5,395.415,394.126,400.625,1098.9840087890625,1.0
msmarco,all,union,plain,selected,5,394.0,392.433,397.587,1096.1549072265625,1.0
msmarco,cluster32,intersection,bec-plain-frame,complete,5,2896.31,2893.01,2961.4,8034.84765625,28.222540536326786
msmarco,cluster32,intersection,local-frame,complete,5,4531.88,4518.62,4550.7,12615.19091796875,44.16004053632679
msmarco,cluster32,intersection,local-frame,selected,5,4465.47,4462.21,4481.38,12425.32177734375,91.45118679473265
msmarco,cluster32,intersection,local-inline,complete,5,4534.44,4522.69,4586.21,12619.9287109375,44.184985968194574
msmarco,cluster32,intersection,local-point,complete,5,4857.28,4840.28,4874.3,13520.39697265625,47.33083879014655
msmarco,cluster32,intersection,mixed-frame,complete,5,4533.36,4519.95,4554.3,12615.53564453125,44.17446211412535
msmarco,cluster32,intersection,mixed-frame-point,complete,5,4543.23,4531.52,4567.25,12648.81640625,44.270638447146865
msmarco,cluster32,intersection,mixed-point-frame,complete,5,4828.16,4816.56,4850.68,13445.1142578125,47.047084502650456
msmarco,cluster32,intersection,plain,complete,5,102.624,102.066,104.336,284.02537536621094,1.0
msmarco,cluster32,intersection,plain,selected,5,48.829,48.7686,48.896,135.76687622070312,1.0
msmarco,cluster32,union,bec-plain-frame,complete,5,2886.15,2870.7,2903.13,8020.71240234375,28.095340076124096
msmarco,cluster32,union,local-frame,complete,5,5000.56,4976.43,5035.4,13890.06640625,48.678146933133455
msmarco,cluster32,union,local-frame,selected,5,4940.15,4909.58,4941.73,13714.3876953125,100.13702545308601
msmarco,cluster32,union,local-inline,complete,5,5015.06,4997.19,5018.05,13928.109375,48.819297750348014
msmarco,cluster32,union,local-point,complete,5,5312.15,5283.6,5351.28,14753.3583984375,51.711331976987545
msmarco,cluster32,union,mixed-frame,complete,5,5000.09,4971.83,5033.31,13885.6005859375,48.673571699747875
msmarco,cluster32,union,mixed-frame-point,complete,5,4974.04,4948.71,5018.61,13815.419921875,48.419986955717576
msmarco,cluster32,union,mixed-point-frame,complete,5,5311.65,5277.39,5409.88,14749.90234375,51.706464707428424
msmarco,cluster32,union,plain,complete,5,102.727,100.881,109.102,287.00389099121094,1.0
msmarco,cluster32,union,plain,selected,5,49.3339,48.8369,49.6394,135.95348358154297,1.0
msmarco,dispersed32,intersection,bec-plain-frame,complete,5,3120.65,3110.48,3140.58,8678.2939453125,24.4566963690938
msmarco,dispersed32,intersection,local-frame,complete,5,4699.0,4684.61,4720.81,13079.119140625,36.82630741620232
