trial,case,repetition,cpu_ns,real_ns
01-candidate,overwrite/striped/k12/all/ikea2-coverage,4,492.5084658040702,492.4952627407927
01-candidate,overwrite/striped/k12/all/ikea2-coverage,5,492.59854238182794,492.63971481346744
01-candidate,overwrite/striped/k12/all/ikea2-coverage,6,492.32262652935503,492.30914884286744
01-candidate,overwrite/striped/k12/all/control-coverage,0,309.30448686052387,309.30198568306423
01-candidate,overwrite/striped/k12/all/control-coverage,1,309.3565825642935,309.35796031341016
01-candidate,overwrite/striped/k12/all/control-coverage,2,309.31460656763676,309.5952426764513
01-candidate,overwrite/striped/k12/all/control-coverage,3,309.38552191902755,309.37702322275857
01-candidate,overwrite/striped/k12/all/control-coverage,4,309.34980660655634,309.349645168892
01-candidate,overwrite/striped/k12/all/control-coverage,5,309.291538677583,309.30375043911937
01-candidate,overwrite/striped/k12/all/control-coverage,6,309.28903086555016,309.28060735930495
01-candidate,placed/k63h16/substituted/all/sum-native,0,7790.5537700177865,7790.338411935293
01-candidate,placed/k63h16/substituted/all/sum-native,1,7765.742660142387,7770.2867548856175
01-candidate,placed/k63h16/substituted/all/sum-native,2,7766.61988434156,7766.510787364357
01-candidate,placed/k63h16/substituted/all/sum-native,3,7767.743216192191,7767.533585413065
01-candidate,placed/k63h16/substituted/all/sum-native,4,7766.627947064054,7767.090636105938
01-candidate,placed/k63h16/substituted/all/sum-native,5,7770.761176601448,7770.550822934974
01-candidate,placed/k63h16/substituted/all/sum-native,6,7771.016292259783,7770.898409694665
01-candidate,placed/k63h16/substituted/all/sum-materialized,0,5388.13345134107,5387.984530735513
01-candidate,placed/k63h16/substituted/all/sum-materialized,1,5389.611421095109,5389.840843492447
01-candidate,placed/k63h16/substituted/all/sum-materialized,2,5384.170508331111,5384.089775661543
01-candidate,placed/k63h16/substituted/all/sum-materialized,3,5386.308577365628,5386.280794245578
01-candidate,placed/k63h16/substituted/all/sum-materialized,4,5386.987763112286,5387.268364956976
01-candidate,placed/k63h16/substituted/all/sum-materialized,5,5387.688844422215,5387.589871859023
01-candidate,placed/k63h16/substituted/all/sum-materialized,6,5386.067418324576,5385.920113904958
01-candidate,decode/striped/k5/ikea2,0,213.79912836834322,213.79332259440346
01-candidate,decode/striped/k5/ikea2,1,211.15552263027183,211.16656091667886
01-candidate,decode/striped/k5/ikea2,2,210.89846443814284,210.892684179466
01-candidate,decode/striped/k5/ikea2,3,213.30608322006734,213.30362006071266
01-candidate,decode/striped/k5/ikea2,4,208.39105880111364,208.38541633046054
01-candidate,decode/striped/k5/ikea2,5,218.74364945574038,218.75272810182264
01-candidate,decode/striped/k5/ikea2,6,212.11464575930202,212.10898457665354
01-candidate,decode/striped/k5/prior,0,160.8722105567016,160.87000716970468
01-candidate,decode/striped/k5/prior,1,160.55335734206247,160.5489354373059
01-candidate,decode/striped/k5/prior,2,160.74124581554454,160.74467485760368
01-candidate,decode/striped/k5/prior,3,161.02700749128113,161.0242407452399
01-candidate,decode/striped/k5/prior,4,160.99305112601976,160.9947062849233
01-candidate,decode/striped/k5/prior,5,161.86201305503747,161.87412527968135
01-candidate,decode/striped/k5/prior,6,161.17661663166925,161.1722354655593
01-candidate,decode/striped/k7/ikea2,0,255.55855107712037,255.5515770188939
01-candidate,decode/striped/k7/ikea2,1,254.47822290054012,254.47136106371917
01-candidate,decode/striped/k7/ikea2,2,249.98915123790695,249.9953540281747
01-candidate,decode/striped/k7/ikea2,3,250.84183904574894,250.83744200190677
01-candidate,decode/striped/k7/ikea2,4,252.36042293237097,252.35792549323637
01-candidate,decode/striped/k7/ikea2,5,261.40600732092463,261.4135710522141
01-candidate,decode/striped/k7/ikea2,6,251.39944338117357,251.39265703867017
01-candidate,decode/striped/k7/prior,0,175.47860615518576,175.47386322183596
01-candidate,decode/striped/k7/prior,1,175.67436815069212,175.67178223259276
01-candidate,decode/striped/k7/prior,2,175.72522745574653,175.72720440761694
01-candidate,decode/striped/k7/prior,3,175.11772554256896,175.11451565293032
01-candidate,decode/striped/k7/prior,4,174.9228288542427,174.9180484069817
01-candidate,decode/striped/k7/prior,5,175.22006062152187,175.21862136094492
01-candidate,decode/striped/k7/prior,6,175.31169190062647,175.31819796012073
01-candidate,get16-ends/striped/k7/prior,0,1216.32859137021,1216.2949204691292
01-candidate,get16-ends/striped/k7/prior,1,1206.463354998175,1206.4312400545332
01-candidate,get16-ends/striped/k7/prior,2,1201.7035947043914,1201.6700216043812
01-candidate,get16-ends/striped/k7/prior,3,1196.9453370202307,1196.9904508696586
01-candidate,get16-ends/striped/k7/prior,4,1193.8399320713922,1193.8266486457426
01-candidate,get16-ends/striped/k7/prior,5,1192.4857163179918,1192.4536991745358
01-candidate,get16-ends/striped/k7/prior,6,1191.324092432732,1191.4001120306043
01-candidate,get16-ends/striped/k7/ikea2-range,0,1864.55023730455,1864.4980706422562
01-candidate,get16-ends/striped/k7/ikea2-range,1,1854.9804375008127,1854.9611976825136
01-candidate,get16-ends/striped/k7/ikea2-range,2,1847.9634026647818,1847.9129031845896
01-candidate,get16-ends/striped/k7/ikea2-range,3,1846.292187100837,1846.3194804873756
01-candidate,get16-ends/striped/k7/ikea2-range,4,1843.4307917769906,1843.401306855382
01-candidate,get16-ends/striped/k7/ikea2-range,5,1843.0598168788558,1843.0563346235658
01-candidate,get16-ends/striped/k7/ikea2-range,6,1842.0404829449935,1842.0913454414285
02-candidate,overwrite-all/striped/k4/ikea2,0,130.16770007450944,130.16426911082561
02-candidate,overwrite-all/striped/k4/ikea2,1,130.21225057461442,130.2142991192637
02-candidate,overwrite-all/striped/k4/ikea2,2,129.64555907147516,129.64198410608114
02-candidate,overwrite-all/striped/k4/ikea2,3,129.78022230191368,129.78725981858943
