name,repetition_index,threads,iterations,real_time,cpu_time,time_unit,drain_ns_per_update,flush_ns_per_update,read_ns_per_update,reset_ns_per_update,updates,write_ns_per_update
points/t4/append_scan/manual_time,3,1,33,1691787.606060606,3648158.121212112,ns,59.1534090909091,59.366898970170446,86.33691406250001,0.21348987926136365,8192.0,60.813228722774625
points/t4/append_scan/manual_time,4,1,33,1716308.121212121,3645934.39393938,ns,58.774125532670446,58.96815074573864,87.98513331557766,0.19402521306818177,8192.0,62.5569846413352
points/t4/append_flush/manual_time,0,1,45,1207736.1555555558,3166754.577777751,ns,84.76441786024309,85.15095214843745,2.360392252604165,0.3865342881944445,8192.0,59.9173855251736
points/t4/append_flush/manual_time,1,1,45,1219735.5777777773,3137942.555555521,ns,85.25494791666665,85.5431939019097,2.206005859375,0.2882459852430555,8192.0,61.14430338541667
points/t4/append_flush/manual_time,2,1,45,1246170.3555555556,3240640.511111121,ns,87.60407714843751,87.90313856336807,2.248263888888888,0.2990614149305556,8192.0,61.969002278645846
points/t4/append_flush/manual_time,3,1,45,1237248.7555555555,3160839.8888888843,ns,86.88560384114581,87.14941134982638,2.3216579861111097,0.2638075086805555,8192.0,61.56027289496529
points/t4/append_flush/manual_time,4,1,45,1275661.3111111112,3208656.3555555614,ns,89.02902018229166,89.42044813368055,2.3858208550347237,0.39142795138888903,8192.0,63.91410590277778
hot4096/t4/eager_atomic/manual_time,0,1,17,3202811.7647058824,2396798.4117647405,ns,0.0,0.0,0.2561896829044118,0.0,32768.0,97.48586856617648
hot4096/t4/eager_atomic/manual_time,1,1,17,3159364.8823529417,2303794.2941176645,ns,0.0,0.0,0.2516910328584559,0.0,32768.0,96.16447358972887
hot4096/t4/eager_atomic/manual_time,2,1,17,3229314.7058823523,2364828.2352941325,ns,0.0,0.0,0.3012049057904412,0.0,32768.0,98.24965892118566
hot4096/t4/eager_atomic/manual_time,3,1,17,3807353.294117647,2479272.5882353457,ns,0.0,0.0,0.3320994657628677,0.0,32768.0,115.85910213694854
hot4096/t4/eager_atomic/manual_time,4,1,17,3254391.2352941167,2376706.2352941795,ns,0.0,0.0,0.3004042681525735,0.0,32768.0,99.0157345042509
hot4096/t4/eager_striped/manual_time,0,1,23,2330445.6086956514,2392834.695652121,ns,0.0,0.0,0.30910326086956524,0.0,32768.0,70.81045266856317
hot4096/t4/eager_striped/manual_time,1,1,23,2318070.260869565,2346353.0869565303,ns,0.0,0.0,0.27516771399456524,0.0,32768.0,70.46672257133153
hot4096/t4/eager_striped/manual_time,2,1,23,2321628.0000000005,2433706.347826127,ns,0.0,0.0,0.351837158203125,0.0,32768.0,70.49862670898438
hot4096/t4/eager_striped/manual_time,3,1,23,2295526.52173913,2421945.478260868,ns,0.0,0.0,0.2946127186650815,0.0,32768.0,69.75929724651833
hot4096/t4/eager_striped/manual_time,4,1,23,2423035.8260869565,2438885.739130454,ns,0.0,0.0,0.27311507515285327,0.0,32768.0,73.67207004712975
hot4096/t4/word_check_span/manual_time,0,1,58,981089.7586206897,2665391.5517241564,ns,5.327577788254311,6.160024708714978,1.4678002719221444,0.8324469204606681,32768.0,22.312658375707162
hot4096/t4/word_check_span/manual_time,1,1,58,959402.0862068966,2658163.1379310526,ns,5.304969524515086,6.199885401232488,1.4347449993265082,0.8949158767174034,32768.0,21.64399771854796
hot4096/t4/word_check_span/manual_time,2,1,58,1008142.2586206899,2826865.534482786,ns,5.542757231613686,6.287556089203931,1.4994617330616913,0.7447988575902479,32768.0,22.979042316305232
hot4096/t4/word_check_span/manual_time,3,1,58,988006.1551724137,2757339.1896551736,ns,5.35855997019801,6.184518222151133,1.480887051286368,0.8259582519531249,32768.0,22.486149755017504
hot4096/t4/word_check_span/manual_time,4,1,58,957374.1724137928,2733331.3103448036,ns,5.25836760422279,6.125982876481681,1.4445037841796875,0.86761527225889,32768.0,21.64625444083378
hot4096/t4/read_flush_span/manual_time,0,1,59,959623.881355932,2785797.8644067724,ns,5.5315334514035985,6.202601028701005,0.3090872037208686,0.6710675772974044,32768.0,22.77370853747351
hot4096/t4/read_flush_span/manual_time,1,1,59,922501.0508474577,2656507.6271186364,ns,5.438788979740467,6.222988322629769,0.2816094867253708,0.7841993428893008,32768.0,21.64790008027675
hot4096/t4/read_flush_span/manual_time,2,1,59,960996.5423728814,2785704.71186443,ns,5.524827342922405,6.310387045650158,0.2813922429488877,0.7855597027277543,32768.0,22.735507771120233
hot4096/t4/read_flush_span/manual_time,3,1,59,951079.1355932206,2837494.338983022,ns,5.527678926112289,6.357869293730136,0.2935475494902012,0.8301903676178498,32768.0,22.373214980303228
hot4096/t4/read_flush_span/manual_time,4,1,59,979789.3898305083,2830649.169491572,ns,5.634418552204714,6.471044508077331,0.3247504800052965,0.8366259558726167,32768.0,23.10500426211599
hot4096/t4/append_scan/manual_time,0,1,68,886091.7500000002,2945102.308823532,ns,5.311918370863973,5.346243016860064,3.8982310575597428,0.03432464599609375,32768.0,17.796900132123163
hot4096/t4/append_scan/manual_time,1,1,68,857108.6323529413,2881968.1323529417,ns,5.296716577866499,5.3352158490349275,3.978703667135799,0.0384992711684283,32768.0,16.84296013327206
hot4096/t4/append_scan/manual_time,2,1,68,827745.661764706,2803366.470588209,ns,5.223336612477021,5.258846507352941,3.7950870289522065,0.035509894875919115,32768.0,16.206859364229093
hot4096/t4/append_scan/manual_time,3,1,68,816628.1176470586,2755117.249999968,ns,5.2318923052619475,5.254951477050781,3.7065245684455426,0.02305917178883271,32768.0,15.960036333869478
hot4096/t4/append_scan/manual_time,4,1,68,803627.1323529412,2746037.485294117,ns,5.213878407197839,5.244023042566635,3.748975417193245,0.030144635368795955,32768.0,15.531755335190716
hot4096/t4/append_flush/manual_time,0,1,79,711299.2405063293,2595823.5316455765,ns,5.358217263523536,5.409099337420885,0.2567273876335047,0.050882073897349674,32768.0,16.04130341735067
hot4096/t4/append_flush/manual_time,1,1,79,719140.810126582,2581466.708860743,ns,5.322793308692642,5.3706835010383704,0.25273344788370244,0.04789019234572786,32768.0,16.323018906991692
hot4096/t4/append_flush/manual_time,2,1,79,701480.7468354433,2595233.3924050354,ns,5.348694620253164,5.417796460888055,0.25531237638449356,0.06910184063488924,32768.0,15.734384657461426
hot4096/t4/append_flush/manual_time,3,1,79,728768.658227848,2649747.455696226,ns,5.393474723719342,5.444247861451741,0.265415626236155,0.05077313773239713,32768.0,16.530590974831888
hot4096/t4/append_flush/manual_time,4,1,79,739297.0253164554,2733074.4936709064,ns,5.449031008949762,5.493811112415943,0.26683025118670883,0.044780103466178785,32768.0,16.800913364072393
hot_roots/t4/eager_atomic/manual_time,0,1,47,1244796.0000000002,2593479.510638261,ns,0.0,0.0,1.8357349152260636,0.0,8192.0,150.116901803524
