machine,profile,width,head_bits,input_bits,values,scope,arm,median_ns_per_value,ratio_to_separate,samples,input_page_offset,head0_page_offset,head1_page_offset,entry_mod64
zen,avx2,56,16,64,65536,heads_only,joint_compact16_avx2,0.07445773650000001,0.620060661447542,"[0.076270908,0.073951967,0.075906459,0.075397171,0.075395156,0.073947869,0.076654468,0.074455671,0.075248901,0.073273327,0.073845532,0.074120127,0.073862001,0.07411309,0.074459802,0.076416455]",2048,2176,2240,32
zen,avx2,56,16,64,65536,heads_only,joint_fulltile_control_avx2,0.11828122099999999,0.9850088866196314,"[0.122036502,0.117739186,0.118491106,0.118711572,0.118691083,0.120491978,0.117100593,0.11967222,0.119998414,0.118071336,0.11715785,0.117634691,0.116512142,0.116840787,0.11664059,0.122226343]",2048,2176,2240,0
zen,avx2,56,16,64,65536,with_payload,separate_avx2,0.27065875,1.0,"[0.265970916,0.268151715,0.269557282,0.277048245,0.268259905,0.278660268,0.279481702,0.269335255,0.27109383,0.27443254,0.270288415,0.266824536,0.271029085,0.272542387,0.269700408,0.27462969]",2048,2176,2240,48
zen,avx2,56,16,64,65536,with_payload,joint_tile_avx2,0.268127285,0.9906470232349776,"[0.264353752,0.272981383,0.264606029,0.267496735,0.276820555,0.271004125,0.268757835,0.264981315,0.270245425,0.263943814,0.265975758,0.269000128,0.269323856,0.280409679,0.2658941,0.263915725]",2048,2176,2240,16
zen,avx2,56,16,64,65536,with_payload,joint_compact16_avx2,0.2244080525,0.8291180407062398,"[0.225625932,0.216942489,0.220003143,0.222558267,0.226192184,0.219290271,0.229174152,0.227059953,0.227107488,0.2241785,0.224637605,0.219217777,0.228504859,0.229222432,0.220830537,0.221981965]",2048,2176,2240,48
zen,avx2,56,16,64,65536,with_payload,joint_fulltile_control_avx2,0.26946046599999995,0.9955727128718357,"[0.269411698,0.269509234,0.26817847,0.268522911,0.265888803,0.271486633,0.27995757,0.26099395,0.269776486,0.278140359,0.274823032,0.267965078,0.281483695,0.276553519,0.268098004,0.269100711]",2048,2176,2240,32
zen,avx512,17,16,64,256,heads_only,separate_avx2,0.0852281935,1.0,"[0.084194824,0.080638554,0.085739195,0.087259166,0.08443008,0.087670851,0.087447815,0.085954335,0.084275179,0.086784296,0.082811985,0.084717192,0.086261634,0.081969764,0.086530007,0.084553685]",704,2944,3264,48
zen,avx512,17,16,64,256,heads_only,joint_tile_avx2,0.083983133,0.985391447960234,"[0.081825964,0.080934606,0.086873334,0.084043764,0.083566099,0.082942817,0.08423141,0.086120967,0.085188594,0.085568722,0.084437232,0.083922502,0.083840102,0.083405502,0.08609597,0.083591137]",704,2944,3264,16
zen,avx512,17,16,64,256,heads_only,joint_compact16_avx2,0.037803136,0.44355200371576575,"[0.037236422,0.036380455,0.036521081,0.037979808,0.037706558,0.038228847,0.037078466,0.038440149,0.037547711,0.038638745,0.036804248,0.037911899,0.037899714,0.036959443,0.03823112,0.038328651]",704,2944,3264,0
zen,avx512,17,16,64,256,heads_only,joint_fulltile_control_avx2,0.08339130850000001,0.9784474488480155,"[0.083489846,0.082687669,0.083140559,0.087231785,0.084687348,0.085141022,0.082553148,0.085500106,0.082535379,0.08545544,0.08112821,0.082589544,0.08487425,0.084426951,0.082927171,0.083292771]",704,2944,3264,48
zen,avx512,17,16,64,256,heads_only,separate_avx512,0.042347679,1.0,"[0.042640079,0.041524269,0.04222247,0.044302732,0.043667082,0.043267723,0.041239955,0.042947568,0.040518768,0.041650373,0.041148163,0.042721774,0.043456893,0.042290829,0.042404529,0.042100135]",704,2944,3264,0
zen,avx512,17,16,64,256,heads_only,joint_tile_avx512,0.0418784395,0.9889193573040922,"[0.04186406,0.040912945,0.042196583,0.042166032,0.042162567,0.043432347,0.041134339,0.041545581,0.040108275,0.041892819,0.040822942,0.042139698,0.042565871,0.042326968,0.041644674,0.041774239]",704,2944,3264,0
zen,avx512,17,16,64,256,heads_only,joint_compact32_avx512,0.037720824,0.8907412375540109,"[0.037556797,0.036445871,0.037587978,0.038874336,0.038948879,0.03864925,0.037609439,0.037909884,0.037647732,0.037158225,0.03651531,0.037793916,0.038832873,0.037085321,0.038480531,0.039185956]",704,2944,3264,16
zen,avx512,17,16,64,256,heads_only,joint_fulltile_control_avx512,0.0419296995,0.9901298132537559,"[0.041750249,0.04019485,0.042204443,0.043255541,0.042350139,0.042343546,0.042025924,0.040981192,0.042516813,0.041916139,0.040666513,0.041078236,0.04194326,0.041465744,0.042678528,0.041718174]",704,2944,3264,48
zen,avx512,17,16,64,256,with_payload,separate_avx2,0.1071487165,1.0,"[0.105906952,0.10814774,0.110385243,0.104857046,0.112202723,0.103647098,0.108237222,0.103208367,0.108899511,0.107367132,0.111900073,0.109969947,0.102407571,0.106930301,0.106684841,0.104996301]",2048,2944,3264,0
zen,avx512,17,16,64,256,with_payload,joint_tile_avx2,0.10463375,0.9765282629400418,"[0.104959123,0.103613794,0.106008507,0.102574538,0.105740879,0.104441598,0.103149991,0.102876104,0.105203129,0.104450352,0.109064095,0.107924443,0.105842993,0.102768965,0.103358127,0.104817148]",2048,2944,3264,32
