input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item
01-before,scan_grain/k6/predecessor256/decode/8192,1,5,"[183.69133813221322,183.5708482368964,183.65098501289987,183.58876137941138,183.57965785005715]",183.58876137941138,"[183.69557105035898,183.60050228181643,183.65532552524155,183.58447072759623,183.57535407702875]",183.60050228181643,"[0.022423259049342434,0.02240855081016802,0.022418333131457507,0.022410737473072682,0.022409626202399554]",0.022410737473072682
01-before,scan_grain/k6/predecessor256/encode/256,1,5,"[5.236780968972303,5.236244781641351,5.2360786264382675,5.234878417052915,5.235919506635722]",5.2360786264382675,"[5.236656502261203,5.236276890011931,5.235955806309333,5.234756794440652,5.235793543027187]",5.235955806309333,"[0.02045617566004806,0.02045408117828653,0.020453432134524482,0.02044874381661295,0.020452810572795792]",0.020453432134524482
01-before,scan_grain/k6/predecessor256/encode/65536,1,5,"[1312.099744869257,1312.268300003747,1312.4717480208608,1312.2651859077819,1312.1304168386466]",1312.2651859077819,"[1312.1340186832579,1312.2375529958942,1312.440250628207,1312.234007427898,1312.0992008404974]",1312.234007427898,"[0.02002105323592006,0.020023625183162645,0.020026729553540967,0.02002357766582919,0.020021521253031107]",0.02002357766582919
01-before,scan_grain/k6/predecessor256/encode/8192,1,5,"[159.38784321600605,159.83099350080317,159.37133507375418,159.6678221301278,159.68095972688613]",159.6678221301278,"[159.4111586278324,159.83931146853752,159.36728676798506,159.66403853870003,159.6771419053627]",159.66403853870003,"[0.019456523830078867,0.019510619323828512,0.019454508675995383,0.019490700943619117,0.019492304654160904]",0.019490700943619117
02-candidate,bulk/series/neon/local/k4/h0/u8/decode,1,5,"[1418.9538686249782,1419.1500588306633,1418.98446058344,1419.060047876031,1419.0381182294082]",1419.0381182294082,"[1418.9204974232682,1419.116971639381,1418.9519414142756,1419.0268998254103,1419.0455024944113]",1419.0268998254103,"[0.173212142166135,0.17323609116585242,0.17321587653606446,0.17322510350049206,0.1732224265416758]",0.1732224265416758
02-candidate,bulk/series/neon/local/k4/h0/u8/encode,1,5,"[1382.1944868314088,1382.3481896910168,1382.2423852083584,1382.1277025821876,1382.2466062899828]",1382.2423852083584,"[1382.1633340602,1382.3152930003762,1382.2079625841047,1382.1745110076881,1382.2822377677137]",1382.2079625841047,"[0.1687249129432872,0.16874367549939173,0.16873075991312966,0.1687167605691147,0.1687312751818827]",0.16873075991312966
02-candidate,bulk/series/neon/striped/k4/h0/u8/decode,1,5,"[129.53015204736562,127.79481286797638,129.2001901630072,132.38749657457404,128.12736561952477]",129.2001901630072,"[129.52715012925518,127.79178396151627,129.1966858490486,132.39050472090446,128.12437823339778]",129.1966858490486,"[0.015811786138594436,0.015599952742672897,0.015771507588257714,0.016160583077950933,0.015640547560977144]",0.015771507588257714
02-candidate,bulk/series/neon/striped/k4/h0/u8/encode,1,5,"[93.9261726705525,94.05668311763844,94.05660229954428,94.10988028146349,93.95883799743613]",94.05660229954428,"[93.92392323363838,94.05747378804149,94.05440808827531,94.12435614923446,93.9566868890995]",94.05440808827531,"[0.011465597249823304,0.011481528700883599,0.01148151883539359,0.011488022495295836,0.011469584716483903]",0.01148151883539359
02-candidate,bulk/series/neon/striped/k6/h0/u8/decode,1,5,"[159.04048035590367,159.00695430512744,161.36160448177094,158.96683014533707,159.05173809166118]",159.04048035590367,"[159.03677058545847,159.0032081879861,161.39915288319312,158.96309129752635,159.0480113596239]",159.03677058545847,"[0.019414121137195272,0.019410028601700127,0.01969746148459118,0.019405130632975717,0.019415495372517234]",0.019414121137195272
02-candidate,bulk/series/neon/striped/k6/h0/u8/encode,1,5,"[175.86771119122588,175.7804231004695,176.14449256412422,176.2720374275378,176.15597326460684]",176.14449256412422,"[175.86358952657181,175.77634174533677,176.14612006748578,176.2679787466775,176.15188435135937]",176.14612006748578,"[0.021468226463772694,0.02145757117925653,0.021502013252456566,0.021517582693791233,0.0215034147051522]",0.021502013252456566
