scope,corpus,name,partition,weighting,corpus_windows,occurrence_weight_within_corpus,model,scan,byte_scope,metadata_bytes,suffix_bytes,plain_bytes,minimum_saving_bytes,windows,actual_body_bytes_sum,predicted_body_bytes_sum,actual_total_bytes_sum,predicted_total_bytes_sum,predicted_conversions,actual_beneficial_windows,false_conversions,missed_savings_windows,false_conversion_excess_bytes,missed_savings_bytes,excess_actual_bytes_over_best,chosen_actual_bytes,best_actual_bytes,near_crossover_windows,near_false_conversions,near_missed_savings_windows,near_excess_actual_bytes_over_best,signed_error_mean_bytes,mae_bytes,p95_absolute_error_bytes,max_absolute_error_bytes,min_signed_error_bytes,max_signed_error_bytes,near_signed_error_mean_bytes,near_mae_bytes,near_p95_absolute_error_bytes,near_max_absolute_error_bytes,near_min_signed_error_bytes,near_max_signed_error_bytes,actual_total_bytes_mean,predicted_total_bytes_mean,false_conversion_fraction,missed_savings_fraction,mean_excess_actual_bytes_over_best
archive,msmarco-keyset,a,train_family_comparison,window_occurrence,2160,0.0625,quadrants,sample32,aligned_allocation,1024,64,8192,0,135,1155442,1157104,1306432,1307456,0,0,0,0,0,0,0,1105920,1105920,2,0,0,0,12.311111111111112,78.60740740740741,194,317,-199,317,-116.0,116.0,118,118,-118,-114,9677.274074074074,9684.85925925926,0.0,0.0,0.0
archive,msmarco-keyset,a,train_family_comparison,window_occurrence,2160,0.0625,quadrants,sample32,readable_extent,1024,64,8192,0,135,1155442,1157104,1302322,1303984,0,0,0,0,0,0,0,1105920,1105920,2,0,0,0,12.311111111111112,78.60740740740741,194,317,-199,317,-116.0,116.0,118,118,-118,-114,9646.82962962963,9659.14074074074,0.0,0.0,0.0
archive,msmarco-keyset,and,train_family_comparison,window_occurrence,2160,0.0625,cheap,full,aligned_allocation,512,64,8192,0,135,1070246,1070057,1152320,1152256,4,4,0,0,0,0,0,1104384,1104384,124,0,0,0,-1.4,9.903703703703703,29,45,-45,42,-2.75,8.137096774193548,19,29,-29,19,8535.703703703704,8535.22962962963,0.0,0.0,0.0
archive,msmarco-keyset,and,train_family_comparison,window_occurrence,2160,0.0625,cheap,full,readable_extent,512,64,8192,0,135,1070246,1070057,1148006,1147817,4,4,0,0,0,0,0,1104263,1104263,124,0,0,0,-1.4,9.903703703703703,29,45,-45,42,-2.75,8.137096774193548,19,29,-29,19,8503.748148148148,8502.348148148149,0.0,0.0,0.0
archive,msmarco-keyset,and,train_family_comparison,window_occurrence,2160,0.0625,cheap,full,aligned_allocation,1024,64,8192,0,135,1070246,1070057,1221440,1221376,2,2,0,0,0,0,0,1105728,1105728,4,0,0,0,-1.4,9.903703703703703,29,45,-45,42,-26.0,26.0,45,45,-45,-3,9047.703703703704,9047.22962962963,0.0,0.0,0.0
archive,msmarco-keyset,and,train_family_comparison,window_occurrence,2160,0.0625,cheap,full,readable_extent,1024,64,8192,0,135,1070246,1070057,1217126,1216937,2,2,0,0,0,0,0,1105676,1105676,4,0,0,0,-1.4,9.903703703703703,29,45,-45,42,-26.0,26.0,45,45,-45,-3,9015.748148148148,9014.348148148149,0.0,0.0,0.0
archive,msmarco-keyset,and,train_family_comparison,window_occurrence,2160,0.0625,cheap,sample32,aligned_allocation,512,64,8192,0,135,1070246,1070144,1152320,1151488,4,4,0,0,0,0,0,1104384,1104384,124,0,0,0,-0.7555555555555555,89.0962962962963,206,269,-252,269,-1.6451612903225807,87.2741935483871,194,269,-252,269,8535.703703703704,8529.54074074074,0.0,0.0,0.0
archive,msmarco-keyset,and,train_family_comparison,window_occurrence,2160,0.0625,cheap,sample32,readable_extent,512,64,8192,0,135,1070246,1070144,1148006,1147904,5,4,1,0,235,0,235,1104498,1104263,124,1,0,235,-0.7555555555555555,89.0962962962963,206,269,-252,269,-1.6451612903225807,87.2741935483871,194,269,-252,269,8503.748148148148,8502.992592592593,0.007407407407407408,0.0,1.7407407407407407
archive,msmarco-keyset,and,train_family_comparison,window_occurrence,2160,0.0625,cheap,sample32,aligned_allocation,1024,64,8192,0,135,1070246,1070144,1221440,1220608,2,2,0,0,0,0,0,1105728,1105728,4,0,0,0,-0.7555555555555555,89.0962962962963,206,269,-252,269,-79.75,81.75,179,179,-179,4,9047.703703703704,9041.54074074074,0.0,0.0,0.0
archive,msmarco-keyset,and,train_family_comparison,window_occurrence,2160,0.0625,cheap,sample32,readable_extent,1024,64,8192,0,135,1070246,1070144,1217126,1217024,2,2,0,0,0,0,0,1105676,1105676,4,0,0,0,-0.7555555555555555,89.0962962962963,206,269,-252,269,-79.75,81.75,179,179,-179,4,9015.748148148148,9014.992592592593,0.0,0.0,0.0
