host,family,context,change,seed,baseline_ns,candidate_ns,candidate_over_baseline,baseline_allocated_bytes,candidate_allocated_bytes
zen5,bucket,rows4096/load50_uniform/hit/rawfp_tuplepack,N9 split,918273,32.059072876,32.157156372,1.003059461400502,70144,70016
zen5,bucket,rows4096/load50_uniform/miss/rawfp_tuplepack,N9 split,918273,22.692472185,22.778313773,1.003782822219641,70144,70016
zen5,bucket,rows4096/load50_uniform/mixed/rawfp_tuplepack,N9 split,918273,27.183931986,27.298957825,1.004231390773757,70144,70016
zen5,bucket,rows4096/load50_uniform/update/rawfp_tuplepack,N9 split,918273,34.714379205,34.830613878,1.0033483148960722,70144,70016
zen5,bucket,rows4096/load50_uniform/hit/rawfp_tuplepack,N16 padding,918273,26.949582418,27.363502502,1.0153590537166741,61824,65920
zen5,bucket,rows4096/load50_uniform/miss/rawfp_tuplepack,N16 padding,918273,21.254632568,21.865659441,1.028747938645617,61824,65920
zen5,bucket,rows4096/load50_uniform/mixed/rawfp_tuplepack,N16 padding,918273,23.999929575,24.500654954,1.0208636186800144,61824,65920
zen5,bucket,rows4096/load50_uniform/update/rawfp_tuplepack,N16 padding,918273,29.807178844,29.846210827,1.0013094826318278,61824,65920
zen5,bucket,rows4096/load50_uniform/hit/rawfp_tuplepack,N16 fingerprint 8 to 12,918273,27.363502502,32.522970581,1.1885529119900824,65920,65920
zen5,bucket,rows4096/load50_uniform/miss/rawfp_tuplepack,N16 fingerprint 8 to 12,918273,21.865659441,27.992209695,1.2801905092563635,65920,65920
zen5,bucket,rows4096/load50_uniform/mixed/rawfp_tuplepack,N16 fingerprint 8 to 12,918273,24.500654954,30.16223422,1.2310786906158067,65920,65920
zen5,bucket,rows4096/load50_uniform/update/rawfp_tuplepack,N16 fingerprint 8 to 12,918273,29.846210827,34.773681641,1.1650953564109527,65920,65920
zen5,bucket,rows4096/load50_uniform/hit/rawfp_tuplepack,N16 split,918273,26.949582418,26.724820455,0.9916599092515112,61824,61824
zen5,bucket,rows4096/load50_uniform/miss/rawfp_tuplepack,N16 split,918273,21.254632568,21.380729167,1.0059326642602067,61824,61824
zen5,bucket,rows4096/load50_uniform/mixed/rawfp_tuplepack,N16 split,918273,23.999929575,24.097773625,1.0040768473796657,61824,61824
zen5,bucket,rows4096/load50_uniform/update/rawfp_tuplepack,N16 split,918273,29.807178844,29.329825661,0.9839852947674689,61824,61824
zen5,bucket,rows4096/load50_uniform/hit/rawfp_tuplepack,N16 split fingerprint 8 to 12,918273,26.724820455,32.179434204,1.2041029146738191,61824,65920
zen5,bucket,rows4096/load50_uniform/miss/rawfp_tuplepack,N16 split fingerprint 8 to 12,918273,21.380729167,27.279658,1.2758993291072918,61824,65920
zen5,bucket,rows4096/load50_uniform/mixed/rawfp_tuplepack,N16 split fingerprint 8 to 12,918273,24.097773625,29.624514493,1.229346534414546,61824,65920
zen5,bucket,rows4096/load50_uniform/update/rawfp_tuplepack,N16 split fingerprint 8 to 12,918273,29.329825661,34.538018121,1.1775732498446234,61824,65920
zen5,bucket,rows4096/load50_uniform/hit/seriespack_tuplepack,N16 split fingerprint 8 to 12,918273,26.730745951,30.024464,1.1232183364818062,61824,65920
zen5,bucket,rows4096/load50_uniform/miss/seriespack_tuplepack,N16 split fingerprint 8 to 12,918273,20.351737467,20.550061035,1.009744797873969,61824,65920
zen5,bucket,rows4096/load50_uniform/mixed/seriespack_tuplepack,N16 split fingerprint 8 to 12,918273,23.432850429,25.656346639,1.0948879956681774,61824,65920
zen5,bucket,rows4096/load50_uniform/update/seriespack_tuplepack,N16 split fingerprint 8 to 12,918273,29.636887984,33.065603638,1.1156908126066087,61824,65920
zen5,bucket,rows4096/load90_uniform/hit/rawfp_tuplepack,N8 padding,918273,34.343756782,34.224772135,0.9965354795704132,47360,48128
zen5,bucket,rows4096/load90_uniform/miss/rawfp_tuplepack,N8 padding,918273,28.159695712,28.069075151,0.9967819055316928,47360,48128
zen5,bucket,rows4096/load90_uniform/mixed/rawfp_tuplepack,N8 padding,918273,31.152514648,31.091558838,0.9980433101247602,47360,48128
zen5,bucket,rows4096/load90_uniform/update/rawfp_tuplepack,N8 padding,918273,37.000352648,36.901567247,0.9973301497437123,47360,48128
zen5,bucket,rows4096/load90_uniform/hit/seriespack_tuplepack,N8 padding,918273,34.852823893,34.685814752,0.9952081604201505,47360,48128
zen5,bucket,rows4096/load90_uniform/miss/seriespack_tuplepack,N8 padding,918273,32.475363159,32.39085083,0.9973976479158608,47360,48128
zen5,bucket,rows4096/load90_uniform/mixed/seriespack_tuplepack,N8 padding,918273,33.622338867,33.789202881,1.004962891328294,47360,48128
zen5,bucket,rows4096/load90_uniform/update/seriespack_tuplepack,N8 padding,918273,37.575269911,37.430647108,0.9961511173880441,47360,48128
zen5,bucket,rows4096/load90_uniform/hit/rawfp_tuplepack,N8 fingerprint 7 to 8,918273,34.224772135,26.578742981,0.7765937162754466,48128,48128
zen5,bucket,rows4096/load90_uniform/miss/rawfp_tuplepack,N8 fingerprint 7 to 8,918273,28.069075151,22.001573835,0.7838367925070792,48128,48128
zen5,bucket,rows4096/load90_uniform/mixed/rawfp_tuplepack,N8 fingerprint 7 to 8,918273,31.091558838,24.20700308,0.778571547542167,48128,48128
zen5,bucket,rows4096/load90_uniform/update/rawfp_tuplepack,N8 fingerprint 7 to 8,918273,36.901567247,29.255029852,0.7927855653442024,48128,48128
zen5,bucket,rows4096/load90_uniform/hit/seriespack_tuplepack,N8 fingerprint 7 to 8,918273,34.685814752,32.71022644,0.9430433355501304,48128,48128
zen5,bucket,rows4096/load90_uniform/miss/seriespack_tuplepack,N8 fingerprint 7 to 8,918273,32.39085083,27.75330977,0.856825586819573,48128,48128
zen5,bucket,rows4096/load90_uniform/mixed/seriespack_tuplepack,N8 fingerprint 7 to 8,918273,33.789202881,30.233148748,0.8947576790869013,48128,48128
