dataset,first,count,layout,execution,repetition,windows,passes,calls,logical_blocks,metadata_bytes,body_bytes,query_bytes,body_suffix_bytes,checksum,elapsed_ns,ns_per_call,ns_per_block,cycles_raw,instructions_raw,enabled_ns,running_ns,pmu_status,major_faults,minor_faults,residence
structural,15,18,direct32,inline,3,8,1024,8192,147456,8192,60591,65536,512,9757696,10823892,1321.28,73.4042,30028983,46449941,10818279,10818279,available,0,0,unestablished
structural,15,18,direct32,inline,4,8,1024,8192,147456,8192,60591,65536,512,9757696,10774629,1315.26,73.0701,30013604,46449941,10787055,10787055,available,0,0,unestablished
structural,15,18,direct32,split,0,8,1024,8192,147456,8192,60591,65536,512,9757696,11523296,1406.65,78.1474,32090667,46253333,11535492,11535492,available,0,0,unestablished
structural,15,18,direct32,split,1,8,1024,8192,147456,8192,60591,65536,512,9757696,11519429,1406.18,78.1211,32082833,46253333,11532994,11532994,available,0,0,unestablished
structural,15,18,direct32,split,2,8,1024,8192,147456,8192,60591,65536,512,9757696,11566128,1411.88,78.4378,32086010,46253333,11563873,11563873,available,0,0,unestablished
structural,15,18,direct32,split,3,8,1024,8192,147456,8192,60591,65536,512,9757696,11545928,1409.42,78.3008,32073548,46253333,11546916,11546916,available,0,0,unestablished
structural,15,18,direct32,split,4,8,1024,8192,147456,8192,60591,65536,512,9757696,11510198,1405.05,78.0585,32060904,46253333,11521963,11521963,available,0,0,unestablished
structural,15,18,local16,inline,0,8,1024,8192,147456,4096,60591,65536,512,9757696,12272594,1498.12,83.2289,34182344,49431829,12284858,12284858,available,0,0,unestablished
structural,15,18,local16,inline,1,8,1024,8192,147456,4096,60591,65536,512,9757696,12298951,1501.34,83.4076,34174973,49431829,12299993,12299993,available,0,0,unestablished
structural,15,18,local16,inline,2,8,1024,8192,147456,4096,60591,65536,512,9757696,12283794,1499.49,83.3048,34178124,49431829,12287892,12287892,available,0,0,unestablished
structural,15,18,local16,inline,3,8,1024,8192,147456,4096,60591,65536,512,9757696,12280569,1499.09,83.2829,34209928,49431829,12293266,12293266,available,0,0,unestablished
structural,15,18,local16,inline,4,8,1024,8192,147456,4096,60591,65536,512,9757696,12296427,1501.03,83.3905,34179038,49431829,12299685,12299685,available,0,0,unestablished
structural,15,18,local16,split,0,8,1024,8192,147456,4096,60591,65536,512,9757696,12219894,1491.69,82.8715,34041246,49964309,12231853,12231853,available,0,0,unestablished
structural,15,18,local16,split,1,8,1024,8192,147456,4096,60591,65536,512,9757696,12262565,1496.9,83.1608,34050017,49964309,12260435,12260435,available,0,0,unestablished
structural,15,18,local16,split,2,8,1024,8192,147456,4096,60591,65536,512,9757696,12225935,1492.42,82.9124,34044592,49964309,12238237,12238237,available,0,0,unestablished
structural,15,18,local16,split,3,8,1024,8192,147456,4096,60591,65536,512,9757696,12219778,1491.67,82.8707,34044699,49964309,12231713,12231713,available,0,0,unestablished
