case,unit,before_median,after_median,after_over_before,before_min,before_max,after_min,after_max,block0_before,block1_after,block2_after,block3_before,improvement_ranges_separated,loss_ranges_separated,both_edges_agree
resident/series/avx512/local/k5/h0/u64/raw-dense/get16,ns/query,6.2461083759788245,6.254874829641665,1.0014035064931877,6.237309130663342,6.29416877748037,6.226596186133524,6.280865988693558,6.246543665896886,6.24831345752089,6.278463758150945,6.2381165169183745,False,False,True
resident/series/avx512/local/k56/h0/u64/admitted-region/get16,ns/query,6.251248528493207,6.260737932934306,1.001518001467682,6.220197060040876,6.281515740500044,6.238805830335801,6.293680741193672,6.2691740719082585,6.283686944270471,6.24270345628239,6.249087665769828,False,False,False
resident/series/avx512/local/k56/h0/u64/get16,ns/query,13.408602624226628,7.111680026964865,0.530381891854674,13.358621246223183,13.440050577739349,7.0948338277524545,7.1294580982587705,13.421171105264147,7.126015713322819,7.101679670567866,13.378887430078757,True,False,True
resident/series/avx512/local/k56/h0/u64/raw-dense/get16,ns/query,6.280453550205297,6.294699891420015,1.0022683618469326,6.276389658411949,6.300562345267334,6.281581944845213,6.312652175950892,6.282596414040793,6.294015375552765,6.3085153335674065,6.278728439969237,False,False,True
resident/series/avx512/local/k6/h0/u64/admitted-region/get16,ns/query,6.248151602596286,6.246089022155761,0.999669889501454,6.2148092593742925,6.2531861275417375,6.240521702083048,6.251248381507297,6.245952204055466,6.244183690591784,6.247917947437166,6.250351001137105,False,False,True
resident/series/avx512/local/k6/h0/u64/get16,ns/query,13.364994552467031,7.310094244088727,0.5469582658931472,13.31172442185325,13.408264964104392,7.282730466832647,7.353167822526714,13.375251510983416,7.30043083639696,7.3197576517804945,13.35495509676549,True,False,True
resident/series/avx512/local/k6/h0/u64/raw-dense/get16,ns/query,6.248805447449204,6.238787355881258,0.9983967989318606,6.242734043671029,6.282139812497595,6.221590922658765,6.2806790670245185,6.245677395920498,6.228326006285143,6.252353718197323,6.251933498977909,False,False,False
resident/series/avx512/local/k7/h0/u64/admitted-region/get16,ns/query,6.2364913372235105,6.227708490878356,0.998591700706336,6.22415522744173,6.281192347021428,6.206852743389892,6.272321449877814,6.2380571929465125,6.2636789593753255,6.210126608350591,6.234925481500508,False,False,False
resident/series/avx512/local/k7/h0/u64/get16,ns/query,13.38340646708436,7.303579922432276,0.5457190544421533,13.360590369426577,13.422243005360123,7.274948285065991,7.31581022798147,13.391339728225658,7.29682801432269,7.3103318305418625,13.365806210915418,True,False,True
resident/series/avx512/local/k7/h0/u64/raw-dense/get16,ns/query,6.257816695750261,6.237249020014028,0.9967132824855351,6.240138835688341,6.268511277333185,6.2116420971602695,6.246743154387683,6.258682476686279,6.24397630172603,6.213338776581631,6.256950914814242,False,False,True
resident/series/avx512/striped/k1/h0/u64/admitted-region/get16,ns/query,6.238852643295132,6.250515552173564,1.0018693996388848,6.233323340185769,6.267251642970815,6.246361074270572,6.2738751333739575,6.25449390267286,6.2508703545365965,6.25016074981053,6.235937470258463,False,False,False
resident/series/avx512/striped/k1/h0/u64/get16,ns/query,13.379135399592421,7.297234876386888,0.5454190168827493,13.307066874948784,13.412219965852659,7.28256317749923,7.315642320839082,13.391640689673059,7.29513612018779,7.299333632585985,13.361567920630714,True,False,True
resident/series/avx512/striped/k1/h0/u64/raw-dense/get16,ns/query,6.252250308723386,6.240776117700722,0.9981647902025526,6.237049134251839,6.263339640858918,6.232350686953579,6.256679700806177,6.2546387936408925,6.242497259190966,6.235349603535067,6.248510242419048,False,False,True
resident/series/avx512/striped/k5/h0/u64/admitted-region/get16,ns/query,6.898980665655774,6.891972588251703,0.9989841865423746,6.863411962549432,6.90730260596434,6.874780534803616,6.900870196434535,6.897782563794307,6.885847968736886,6.897496839931689,6.901271907094352,False,False,True
resident/series/avx512/striped/k5/h0/u64/get16,ns/query,13.794841455981995,8.311285252737441,0.6024922634491994,13.737207317392233,13.839869532723378,8.299418452547101,8.322767160624629,13.75322343292174,8.307024630245037,8.313113540870898,13.79947135372019,True,False,True
resident/series/avx512/striped/k5/h0/u64/raw-dense/get16,ns/query,6.935412469757683,6.935566559908597,1.000022217878401,6.896890608395369,6.982054052522173,6.907611824038835,6.986054280512562,6.939535586433529,6.90780325834387,6.944494205826105,6.931289353081838,False,False,False
resident/series/avx512/striped/k6/h0/u64/admitted-region/get16,ns/query,6.674134876201487,6.686405208246202,1.0018384902721202,6.638984294707035,6.685793365727296,6.672972520623027,6.72288887908286,6.68386512181017,6.679897994387743,6.70651642824971,6.667206930883982,False,False,False
resident/series/avx512/striped/k6/h0/u64/get16,ns/query,13.243818915397053,7.9509935134401655,0.6003550459449779,13.228981695451093,13.269213251540712,7.907021022535167,7.96252068136795,13.262371850421706,7.95802871087142,7.947725937198571,13.234746829891721,True,False,True
resident/series/avx512/striped/k6/h0/u64/raw-dense/get16,ns/query,6.722232794688723,6.7008661103581195,0.9968214899746577,6.702425542555201,6.73992354702907,6.672725375195799,6.77334403975909,6.70845206789996,6.690515288715357,6.7164307954404014,6.729685006342841,False,False,True
resident/series/avx512/striped/k7/h0/u64/admitted-region/get16,ns/query,6.797223899147749,6.801253021283261,1.000592759955431,6.778572591145613,6.837268207644752,6.784947421232315,6.809917725324234,6.800837906766515,6.79987470273935,6.808548822406962,6.787965820312611,False,False,False
resident/series/avx512/striped/k7/h0/u64/get16,ns/query,13.577548765473399,8.136038937307706,0.5992273773302138,13.536992213463526,13.607955538534451,8.124498915189314,8.169542835516399,13.57835889948978,8.126552528742181,8.15898727137923,13.56886372133584,True,False,True
resident/series/avx512/striped/k7/h0/u64/raw-dense/get16,ns/query,6.818438805183235,6.838100713175029,1.0028836378170392,6.796293961931375,6.846257655258486,6.813720244616283,6.861971830526482,6.812715486958159,6.837530806645183,6.838670619704876,6.824162123408311,False,False,True
runtime/series/avx2/local/k23/h16/u32/headgapped/mixed,ns/query,13.905399245420808,10.739531179120679,0.7723281431604574,13.865126332634008,13.965773650525627,10.695414881552392,10.759305035038336,13.904348461941149,10.743961012698376,10.735101345542981,13.906450028900467,True,False,True
runtime/series/avx2/local/k23/h16/u32/headgapped/o1-n16,ns/query,17.244164679066337,15.296139095119717,0.8870327661442807,17.13193866892812,17.304770994865898,15.267159961518782,15.328288850330198,17.24420324614944,15.28292592366537,15.309352266574065,17.244126111983235,True,False,True
runtime/series/avx2/local/k23/h16/u32/headgapped/o1-n17,ns/query,17.456806866867648,15.90049464208127,0.9108478293507274,17.395715828936055,17.6290430286682,15.824521259282484,15.951187292428724,17.471374001639628,15.92263647056702,15.84212669676441,17.40670347162398,True,False,True
runtime/series/avx2/local/k23/h16/u32/independentlygapped/mixed,ns/query,14.038173639119982,11.236125122123378,0.8003979300278652,14.012006766880946,14.062799969704034,11.149328450833421,11.248565705128188,14.057623587875131,11.18225852954792,11.239431356837615,14.018723690364835,True,False,True
runtime/series/avx2/local/k23/h16/u32/independentlygapped/o1-n16,ns/query,17.250688813874397,15.282545551634659,0.8859092942041364,17.204467837759513,17.397370526384496,15.22902004815261,15.308224176212768,17.26723729754444,15.27413606692333,15.29095503634599,17.20538007824848,True,False,True
runtime/series/avx2/local/k23/h16/u32/independentlygapped/o1-n17,ns/query,17.411723121308114,15.909507830942987,0.9137239157836856,17.352602242744037,17.498295671557283,15.880365256218731,15.935882069136577,17.397410622563413,15.906230416024014,15.91278524586196,17.426035620052815,True,False,True
runtime/series/avx2/local/k23/h16/u64/headgapped/mixed,ns/query,14.708850208019445,12.114212411556615,0.8236002298093836,14.6644824557985,14.761967870423941,12.075453769958063,12.15223231132074,14.736398581544519,12.087985902895285,12.137257075471679,14.695103026391626,True,False,True
runtime/series/avx2/local/k23/h16/u64/headgapped/o1-n16,ns/query,18.84673529861844,17.362176456239304,0.9212299202563766,18.71441118631493,18.967559995492604,17.253056957247317,17.38829428197176,18.85662843936201,17.369863231127052,17.29118697353787,18.836842157874877,True,False,True
runtime/series/avx2/local/k23/h16/u64/headgapped/o1-n17,ns/query,19.42127878559115,18.233665120462465,0.9388498729543089,19.343601407852315,19.470674071016266,18.20176077442024,18.338147091590983,19.45571800993693,18.32134658367467,18.215647824208297,19.382752411012394,True,False,True
runtime/series/avx2/local/k23/h16/u64/independentlygapped/mixed,ns/query,15.108010932622575,12.699309026836854,0.8405679002664318,15.045315297351182,15.160650702967478,12.61049924950128,12.734553633085241,15.117262276172347,12.672169624702574,12.709438934751459,15.103725426345052,True,False,True
runtime/series/avx2/local/k23/h16/u64/independentlygapped/o1-n16,ns/query,19.05562099509499,17.35247805603437,0.9106225433692758,18.923061977164803,19.137633272058828,17.28155984419267,17.448050217246017,18.9395374674994,17.365395638369034,17.320800627557425,19.10586443014701,True,False,True
runtime/series/avx2/local/k23/h16/u64/independentlygapped/o1-n17,ns/query,19.41689227348469,18.27844705263255,0.9413683093660267,19.367767453123097,19.4598376236378,18.253347837404448,18.342322750168755,19.437668428690014,18.28497113842312,18.27192296684198,19.39077287649346,True,False,True
