dataset,first,count,layout,execution,repetition,windows,passes,calls,logical_blocks,metadata_bytes,body_bytes,query_bytes,body_suffix_bytes,checksum,elapsed_ns,ns_per_call,ns_per_block,cycles_raw,instructions_raw,enabled_ns,running_ns,pmu_status,major_faults,minor_faults,residence
structural,255,1,direct32,inline,3,8,32768,262144,262144,8192,60591,65536,512,17235968,13766628,52.5155,52.5155,52742245,65306920,13727448,13727448,available,0,0,unestablished
structural,255,1,direct32,inline,4,8,32768,262144,262144,8192,60591,65536,512,17235968,13682428,52.1943,52.1943,52703896,65306917,13689192,13689192,available,0,0,unestablished
structural,255,1,direct32,split,0,8,32768,262144,262144,8192,60591,65536,512,17235968,13962647,53.2633,53.2633,53606104,71336230,13953827,13953827,available,0,0,unestablished
structural,255,1,direct32,split,1,8,32768,262144,262144,8192,60591,65536,512,17235968,13898018,53.0167,53.0167,53559430,71336230,13904311,13904311,available,0,0,unestablished
structural,255,1,direct32,split,2,8,32768,262144,262144,8192,60591,65536,512,17235968,13914455,53.0794,53.0794,53563131,71336231,13909529,13909529,available,0,0,unestablished
structural,255,1,direct32,split,3,8,32768,262144,262144,8192,60591,65536,512,17235968,13880574,52.9502,52.9502,53559447,71336230,13886972,13886972,available,0,0,unestablished
structural,255,1,direct32,split,4,8,32768,262144,262144,8192,60591,65536,512,17235968,13978203,53.3226,53.3226,53562070,71336230,13984603,13984603,available,0,0,unestablished
structural,255,1,local16,inline,0,8,32768,262144,262144,4096,60591,65536,512,17235968,16837351,64.2294,64.2294,64755998,75792682,16831913,16831913,available,0,0,unestablished
structural,255,1,local16,inline,1,8,32768,262144,262144,4096,60591,65536,512,17235968,16860313,64.317,64.317,64777941,75792681,16866607,16866607,available,0,0,unestablished
structural,255,1,local16,inline,2,8,32768,262144,262144,4096,60591,65536,512,17235968,16879049,64.3885,64.3885,64864561,75792682,16841459,16841459,available,0,0,unestablished
structural,255,1,local16,inline,3,8,32768,262144,262144,4096,60591,65536,512,17235968,16885634,64.4136,64.4136,64830627,75792684,16857666,16857666,available,0,0,unestablished
structural,255,1,local16,inline,4,8,32768,262144,262144,4096,60591,65536,512,17235968,16870277,64.355,64.355,64794234,75792682,16864602,16864602,available,0,0,unestablished
structural,255,1,local16,split,0,8,32768,262144,262144,4096,60591,65536,512,17235968,17184034,65.5519,65.5519,66186012,81559849,17190024,17190024,available,0,0,unestablished
structural,255,1,local16,split,1,8,32768,262144,262144,4096,60591,65536,512,17235968,17481010,66.6848,66.6848,66256750,81559850,17235703,17235703,available,0,0,unestablished
structural,255,1,local16,split,2,8,32768,262144,262144,4096,60591,65536,512,17235968,17149943,65.4218,65.4218,66254953,81559849,17164839,17164839,available,0,0,unestablished
structural,255,1,local16,split,3,8,32768,262144,262144,4096,60591,65536,512,17235968,17235142,65.7468,65.7468,66253015,81559849,17226647,17226647,available,0,0,unestablished
structural,255,1,local16,split,4,8,32768,262144,262144,4096,60591,65536,512,17235968,17154923,65.4408,65.4408,66143995,81559850,17150077,17150077,available,0,0,unestablished
