input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:logical_values,counter:encoded_bytes,counter:query_bytes,counter:values_per_item,counter:bulk_input_output_bytes,counter:queries_per_iteration,counter:payload_stride,counter:head0_stride,counter:head1_stride,counter:query_hash_lo,counter:query_hash_hi
zen-avx512,head-placement/avx512/local/k23/h16/n8193/payloadgap0/headgap0-17/encode-bound,1,3,"[1172.9807563204731,1174.3899082577502,1174.088666368705]",1174.088666368705,"[1173.024194445155,1174.4011803496846,1174.0999104968316]",1174.0999104968316,"[1172.9807563204733,1174.3899082577502,1174.088666368705]",1174.088666368705,8193.0,,,,,,7.0,,,,
zen-avx512,head-placement/avx512/local/k23/h16/n8193/payloadgap0/headgap13-0/encode-bound,1,3,"[1153.5569456659905,1153.3309227891814,1153.1824406080432]",1153.3309227891814,"[1153.567724372656,1153.4010943673643,1153.1931918136102]",1153.4010943673643,"[1153.5569456659905,1153.3309227891812,1153.1824406080432]",1153.3309227891812,8193.0,,,,,,7.0,,,,
zen-avx512,head-placement/avx512/local/k23/h16/n8193/payloadgap0/headgap13-17/encode-bound,1,3,"[1233.6806424145293,1233.2419624762563,1234.2851522366093]",1233.6806424145293,"[1233.6924454692085,1233.28227486792,1234.2972782585073]",1233.6924454692085,"[1233.6806424145295,1233.2419624762563,1234.285152236609]",1233.6806424145295,8193.0,,,,,,7.0,,,,
zen-avx512,head-placement/avx512/local/k23/h16/n8193/payloadgap11/headgap13-17/encode-bound,1,3,"[1303.657315065301,1302.6718240291277,1304.4386864263793]",1303.657315065301,"[1303.6701463381698,1302.7172460886438,1304.4514866187708]",1303.6701463381698,"[1303.657315065301,1302.6718240291277,1304.4386864263793]",1303.657315065301,8193.0,,,,,,18.0,,,,
zen-avx512,head-placement/avx512/local/k56/h16/n257/payloadgap0/headgap0-0/encode-bound,1,3,"[37.05674111051211,37.088111353140405,37.01600557416388]",37.05674111051211,"[37.05709647991585,37.08847448147955,37.021582075241064]",37.05709647991585,"[37.05674111051211,37.088111353140405,37.01600557416388]",37.05674111051211,257.0,,,,,,40.0,,,,
zen-avx512,head-placement/avx512/local/k56/h16/n257/payloadgap0/headgap0-17/encode-bound,1,3,"[27.10443343665403,35.99635994588474,31.284392635108926]",31.284392635108926,"[27.104702815839087,35.99670396228572,31.28768695721128]",31.28768695721128,"[27.104433436654034,35.99635994588474,31.28439263510893]",31.28439263510893,257.0,,,,,,40.0,,,,
zen-avx512,head-placement/avx512/local/k56/h16/n257/payloadgap0/headgap13-0/encode-bound,1,3,"[41.877575510306876,41.80402521608107,42.26501806006374]",41.877575510306876,"[41.8788875152087,41.80442621765076,42.265413061843404]",41.8788875152087,"[41.877575510306876,41.80402521608107,42.26501806006374]",41.877575510306876,257.0,,,,,,40.0,,,,
zen-avx512,head-placement/avx512/local/k56/h16/n257/payloadgap0/headgap13-17/encode-bound,1,3,"[32.8843393578936,32.79194480501711,32.93696792697347]",32.8843393578936,"[32.88466211713018,32.79225894689555,32.937283635583576]",32.88466211713018,"[32.8843393578936,32.79194480501711,32.93696792697347]",32.8843393578936,257.0,,,,,,40.0,,,,
zen-avx512,head-placement/avx512/local/k56/h16/n257/payloadgap11/headgap13-17/encode-bound,1,3,"[31.755990801524206,31.766137391040722,35.444470633747514]",31.766137391040722,"[31.756295252093953,31.77147245283129,35.44570203429995]",31.77147245283129,"[31.755990801524206,31.766137391040726,35.444470633747514]",31.766137391040726,257.0,,,,,,51.0,,,,
zen-avx512,head-placement/avx512/local/k56/h16/n8193/payloadgap0/headgap0-0/encode-bound,1,3,"[1266.5029701783171,1267.8575219372917,1267.282181949489]",1267.282181949489,"[1266.5150921252348,1267.8696438756392,1267.323553355236]",1267.323553355236,"[1266.5029701783171,1267.8575219372917,1267.2821819494893]",1267.2821819494893,8193.0,,,,,,40.0,,,,
