dataset,mask,operation,configuration,policy,repetitions,median_ns,min_ns,max_ns,cycles_per_call,relative_to_plain
msmarco,cluster32,union,plain,complete,5,152.316,152.273,152.456,588.6207885742188,1.0
msmarco,cluster32,union,plain,selected,5,26.7344,26.6454,26.8026,100.56165313720703,1.0
msmarco,dispersed32,intersection,bec-plain-frame,complete,5,1776.56,1769.19,1798.75,6835.7421875,10.633626623570958
msmarco,dispersed32,intersection,local-frame,complete,5,1683.17,1676.08,1692.39,6495.442138671875,10.074639372718023
msmarco,dispersed32,intersection,local-frame,selected,5,1632.52,1624.68,1639.37,6300.018798828125,38.910008747196486
msmarco,dispersed32,intersection,local-inline,complete,5,1628.2,1619.97,1635.76,6283.644287109375,9.745615610223261
msmarco,dispersed32,intersection,local-point,complete,5,1678.01,1671.77,1684.96,6476.498046875,10.0437541150416
msmarco,dispersed32,intersection,mixed-frame,complete,5,1667.09,1659.86,1674.86,6437.83251953125,9.978392290656611
msmarco,dispersed32,intersection,mixed-frame-point,complete,5,1666.86,1661.57,1674.79,6436.93408203125,9.97701562219429
msmarco,dispersed32,intersection,mixed-point-frame,complete,5,1717.43,1709.53,1721.76,6623.328369140625,10.279703118453345
msmarco,dispersed32,intersection,plain,complete,5,167.07,166.391,167.181,644.6484985351562,1.0
msmarco,dispersed32,intersection,plain,selected,5,41.9563,40.5527,43.0317,162.57111358642578,1.0
msmarco,dispersed32,union,bec-plain-frame,complete,5,1769.28,1766.7,1779.79,6841.980712890625,10.568986218884966
msmarco,dispersed32,union,local-frame,complete,5,1952.3,1952.15,1966.21,7542.002197265625,11.662276064347711
msmarco,dispersed32,union,local-frame,selected,5,1903.14,1898.35,1910.31,7351.31298828125,45.79302976929518
msmarco,dispersed32,union,local-inline,complete,5,1881.66,1877.85,1890.88,7272.139404296875,11.240300353040269
msmarco,dispersed32,union,local-point,complete,5,1937.24,1931.54,1944.1,7483.276611328125,11.572313518873617
msmarco,dispersed32,union,mixed-frame,complete,5,1934.61,1928.95,1941.6,7472.896240234375,11.556602928262935
msmarco,dispersed32,union,mixed-frame-point,complete,5,1930.65,1924.4,1937.75,7463.61767578125,11.532947438217954
msmarco,dispersed32,union,mixed-point-frame,complete,5,1972.11,1966.04,1978.26,7616.183349609375,11.78061325065859
msmarco,dispersed32,union,plain,complete,5,167.403,166.762,168.523,646.0499267578125,1.0
msmarco,dispersed32,union,plain,selected,5,41.5596,40.2139,42.3746,160.18602752685547,1.0
msmarco,none,intersection,bec-plain-frame,complete,5,142.102,141.938,142.376,548.9135284423828,1.0126273783225255
msmarco,none,intersection,local-frame,complete,5,142.96,142.863,143.186,552.1151123046875,1.0187415378037483
msmarco,none,intersection,local-frame,selected,5,3.43657,3.42627,3.43969,13.274621486663818,2.4652405649887736
msmarco,none,intersection,local-inline,complete,5,141.537,141.274,142.251,546.8954772949219,1.0086011544217202
msmarco,none,intersection,local-point,complete,5,143.244,142.466,143.382,552.5366058349609,1.0207653388441529
msmarco,none,intersection,mixed-frame,complete,5,143.1,142.841,143.622,553.3933715820312,1.0197391862039478
