dataset,model,scan,stage,repetition,windows,passes,calls,conversions,checksum,elapsed_ns,ns_per_call,cycles_raw,instructions_raw,enabled_ns,running_ns,pmu_status,major_faults,minor_faults,residence
weather_sept_85,cheap,full,encode,4,16,128,2048,2048,2465920,6298856,3075.61,24328974,50618150,6304430,6304430,available,0,0,unestablished
weather_sept_85,cheap,full,predict-then-encode,0,16,128,2048,2048,3645568,7688321,3754.06,29661385,68769321,7690773,7690773,available,0,0,unestablished
weather_sept_85,cheap,full,predict-then-encode,1,16,128,2048,2048,3645568,7690316,3755.04,29697038,68769320,7695978,7695978,available,0,0,unestablished
weather_sept_85,cheap,full,predict-then-encode,2,16,128,2048,2048,3645568,7682350,3751.15,29691106,68769319,7687956,7687956,available,0,0,unestablished
weather_sept_85,cheap,full,predict-then-encode,3,16,128,2048,2048,3645568,7679920,3749.96,29656762,68769320,7685680,7685680,available,0,0,unestablished
weather_sept_85,cheap,full,predict-then-encode,4,16,128,2048,2048,3645568,7686014,3752.94,29675418,68769320,7691558,7691558,available,0,0,unestablished
weather_sept_85,cheap,sample32,predict,0,16,4096,65536,0,74743808,8121636,123.926,31354282,92221737,8125276,8125276,available,0,0,unestablished
weather_sept_85,cheap,sample32,predict,1,16,4096,65536,0,74743808,8145186,124.286,31297648,92221736,8140662,8140662,available,0,0,unestablished
weather_sept_85,cheap,sample32,predict,2,16,4096,65536,0,74743808,8129774,124.051,31275699,92221738,8124456,8124456,available,0,0,unestablished
weather_sept_85,cheap,sample32,predict,3,16,4096,65536,0,74743808,8101056,123.612,31300906,92221736,8106565,8106565,available,0,0,unestablished
weather_sept_85,cheap,sample32,predict,4,16,4096,65536,0,74743808,8088113,123.415,31249060,92221736,8093682,8093682,available,0,0,unestablished
weather_sept_85,cheap,sample32,predict-then-encode,0,16,128,2048,2048,3645568,6534202,3190.53,25295484,53500071,6548299,6548299,available,0,0,unestablished
weather_sept_85,cheap,sample32,predict-then-encode,1,16,128,2048,2048,3645568,6548117,3197.32,25291711,53500070,6553676,6553676,available,0,0,unestablished
weather_sept_85,cheap,sample32,predict-then-encode,2,16,128,2048,2048,3645568,6552062,3199.25,25290883,53500071,6557683,6557683,available,0,0,unestablished
weather_sept_85,cheap,sample32,predict-then-encode,3,16,128,2048,2048,3645568,6571100,3208.54,25291016,53500070,6567226,6567226,available,0,0,unestablished
weather_sept_85,cheap,sample32,predict-then-encode,4,16,128,2048,2048,3645568,6555336,3200.85,25294376,53500071,6560928,6560928,available,0,0,unestablished
weather_sept_85,quadrants,full,predict,0,16,256,4096,0,4944640,6569650,1603.92,25319567,75803432,6572389,6572389,available,0,0,unestablished
weather_sept_85,quadrants,full,predict,1,16,256,4096,0,4944640,6551160,1599.4,25310378,75803430,6556671,6556671,available,0,0,unestablished
weather_sept_85,quadrants,full,predict,2,16,256,4096,0,4944640,6562084,1602.07,25319173,75803431,6567817,6567817,available,0,0,unestablished
weather_sept_85,quadrants,full,predict,3,16,256,4096,0,4944640,6556144,1600.62,25323171,75803430,6562124,6562124,available,0,0,unestablished
weather_sept_85,quadrants,full,predict,4,16,256,4096,0,4944640,6529019,1594,25311138,75803430,6543019,6543019,available,0,0,unestablished
weather_sept_85,quadrants,full,predict-then-encode,0,16,128,2048,2048,3645568,9634826,4704.5,37315801,88519722,9649266,9649266,available,0,0,unestablished
weather_sept_85,quadrants,full,predict-then-encode,1,16,128,2048,2048,3645568,9646643,4710.27,37261614,88519722,9652500,9652500,available,0,0,unestablished
weather_sept_85,quadrants,full,predict-then-encode,2,16,128,2048,2048,3645568,9610319,4692.54,37157197,88519721,9616125,9616125,available,0,0,unestablished
weather_sept_85,quadrants,full,predict-then-encode,3,16,128,2048,2048,3645568,9673839,4723.55,37371855,88519722,9679295,9679295,available,0,0,unestablished
weather_sept_85,quadrants,full,predict-then-encode,4,16,128,2048,2048,3645568,9706850,4739.67,37492568,88519722,9712446,9712446,available,0,0,unestablished
weather_sept_85,quadrants,sample32,predict,0,16,2048,32768,0,37371904,8436998,257.477,32693363,83562792,8451060,8451060,available,0,0,unestablished
weather_sept_85,quadrants,sample32,predict,1,16,2048,32768,0,37371904,8499043,259.37,32818826,83562793,8504583,8504583,available,0,0,unestablished
weather_sept_85,quadrants,sample32,predict,2,16,2048,32768,0,37371904,8468049,258.424,32732729,83562792,8473705,8473705,available,0,0,unestablished
weather_sept_85,quadrants,sample32,predict,3,16,2048,32768,0,37371904,8469038,258.455,32599590,83562794,8463071,8463071,available,0,0,unestablished
weather_sept_85,quadrants,sample32,predict,4,16,2048,32768,0,37371904,8475718,258.658,32762770,83562792,8481247,8481247,available,0,0,unestablished
weather_sept_85,quadrants,sample32,predict-then-encode,0,16,128,2048,2048,3645568,6815068,3327.67,26392558,55840807,6829185,6829185,available,0,0,unestablished
weather_sept_85,quadrants,sample32,predict-then-encode,1,16,128,2048,2048,3645568,6837393,3338.57,26390756,55840807,6842927,6842927,available,0,0,unestablished
weather_sept_85,quadrants,sample32,predict-then-encode,2,16,128,2048,2048,3645568,6835522,3337.66,26387261,55840807,6841089,6841089,available,0,0,unestablished
weather_sept_85,quadrants,sample32,predict-then-encode,3,16,128,2048,2048,3645568,6851639,3345.53,26373464,55840807,6845709,6845709,available,0,0,unestablished
weather_sept_85,quadrants,sample32,predict-then-encode,4,16,128,2048,2048,3645568,6806681,3323.57,26382084,55840806,6820698,6820698,available,0,0,unestablished
weather_sept_85_srt,cheap,full,predict,0,16,1024,16384,0,1186816,7280336,444.356,28217611,92422439,7294397,7294397,available,0,0,unestablished
