input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:logical_values,counter:encoded_bytes,counter:bulk_input_output_bytes
gnr-n8192-01-before,bulk/series/avx2/local/k3/h0/u64/encode,1,5,"[1256.8925937915903,1255.889896046905,1255.428599690659,1256.0734865652312,1256.196809467285]",1256.0734865652312,"[1258.1548865089742,1256.063936548983,1255.5337757677112,1256.3827200443056,1256.2722384058002]",1256.2722384058002,"[0.15342927170307497,0.1533068720760382,0.15325056148567615,0.15332928302798235,0.15334433709317447]",0.15332928302798235,8192.0,3072.0,131072.0
gnr-n8192-01-before,bulk/series/avx2/local/k3/h0/u8/decode,1,5,"[464.48944162032325,464.4103367267037,464.1937140809365,465.03130350530193,464.75891589132385]",464.48944162032325,"[464.5326904940963,464.49848028177735,464.2218520626649,465.29623189907875,464.9624450861782]",464.5326904940963,"[0.05670037129154336,0.056690714932458953,0.056664271738395576,0.05676651654117456,0.05673326610001511]",0.05670037129154336,8192.0,3072.0,16384.0
gnr-n8192-01-before,bulk/series/avx2/local/k3/h0/u8/encode,1,5,"[605.38082595365,607.5124012949427,603.6126393861024,606.4076925712128,605.7981620732787]",605.7981620732787,"[605.4505575439802,607.5992274902175,603.8564944088034,606.7981535075849,606.4550367428197]",606.4550367428197,"[0.07389902660567016,0.07415922867369908,0.07368318351881133,0.07402437653457188,0.07394997095621077]",0.07394997095621077,8192.0,3072.0,16384.0
gnr-n8192-01-before,bulk/series/avx2/local/k4/h0/u64/decode,1,5,"[1503.0402370421293,1502.8938463520374,1503.3873620474988,1502.762120496414,1502.8630136986346]",1502.8938463520374,"[1503.71627946693,1503.5547945173187,1504.2660282593222,1503.0082449400095,1503.0020612391727]",1503.5547945173187,"[0.1834765914358068,0.1834587214785202,0.1835189650936888,0.18344264166215993,0.1834549577268841]",0.1834587214785202,8192.0,4096.0,131072.0
gnr-n8192-01-before,bulk/series/avx2/local/k4/h0/u64/encode,1,5,"[1137.70559448518,1137.8368640967678,1137.8440502707053,1137.85029346253,1138.3572438909403]",1137.8440502707053,"[1137.8037946906004,1137.9638740313544,1138.0461736090854,1137.9765717718728,1138.6131172020189]",1137.9765717718728,"[0.13888007745180422,0.13889610157431245,0.13889697879281068,0.13889774090118776,0.1389596244984058]",0.13889697879281068,8192.0,4096.0,131072.0
gnr-n8192-01-before,bulk/series/avx2/local/k4/h0/u8/decode,1,5,"[427.0372804207631,426.7085537515341,426.87957996985784,427.05984392256005,426.9926415405179]",426.9926415405179,"[427.0939820507127,426.769062741952,426.93226068202637,427.1027255565206,427.23589170884884]",427.0939820507127,"[0.05212857427011269,0.052088446502872816,0.05210932372678929,0.05213132860382813,0.0521231251880515]",0.0521231251880515,8192.0,4096.0,16384.0
gnr-n8192-01-before,bulk/series/avx2/local/k4/h0/u8/encode,1,5,"[503.7727767250529,503.59605311506965,504.20623518477316,503.5806921098309,503.8815574272465]",503.7727767250529,"[503.83321204827894,503.84476162446816,504.4680063137419,503.62464965738855,503.95305238667197]",503.84476162446816,"[0.06149570028381994,0.061474127577523144,0.061548612693453755,0.061472252454813345,0.06150897917813067]",0.06149570028381994,8192.0,4096.0,16384.0
gnr-n8192-01-before,bulk/series/avx2/local/k5/h0/u64/decode,1,5,"[1919.3663244689553,1918.810872058107,1919.3949107191609,1913.944656801175,1914.0345929121434]",1918.810872058107,"[1920.4072789825116,1919.3932452324073,1919.6738109510716,1914.1546442512358,1914.1882815375702]",1919.3932452324073,"[0.23429764702990177,0.23422984278053063,0.23430113656239757,0.2336358223634247,0.23364680089259562]",0.23422984278053063,8192.0,5120.0,131072.0
gnr-n8192-01-before,bulk/series/avx2/local/k5/h0/u64/encode,1,5,"[1338.6356657413571,1338.8775725088526,1338.4630994543897,1338.693787690239,1338.7191155355576]",1338.693787690239,"[1338.717832874865,1339.088369861458,1338.7054273915091,1338.774997607313,1338.868478993386]",1338.774997607313,"[0.163407674040693,0.16343720367539705,0.1633866088201159,0.16341476900515614,0.16341786078314913]",0.16341476900515614,8192.0,5120.0,131072.0
gnr-n8192-01-before,bulk/series/avx2/local/k5/h0/u8/decode,1,5,"[511.44514163829865,511.4452292948029,511.41338076523965,511.39810661952663,511.66097386375463]",511.44514163829865,"[511.5040614178161,511.5293064895572,511.47036479789733,511.42916624184363,511.93319113750937]",511.5040614178161,"[0.06243226826639388,0.06243227896665073,0.062428391206694286,0.062426526686953934,0.06245861497360286]",0.06243226826639388,8192.0,5120.0,16384.0
gnr-n8192-01-before,bulk/series/avx2/local/k5/h0/u8/encode,1,5,"[679.728794544868,678.7369109053831,680.1813304197666,681.2956520890806,679.8356046786165]",679.8356046786165,"[679.8654264526316,678.8056951132869,680.2805119549956,681.7785950488726,679.88683920643]",679.88683920643,"[0.08297470636534034,0.08285362681950477,0.08302994756100666,0.08316597315540536,0.08298774471174519]",0.08298774471174519,8192.0,5120.0,16384.0
gnr-n8192-02-candidate,bulk/series/avx2/local/k12/h8/u16/decode,1,5,"[1526.8437745397434,1527.0866416543101,1525.8447779425799,1525.4112861006945,1526.2795349446005]",1526.2795349446005,"[1528.3026786537605,1527.5452621930194,1525.936523864223,1525.5417939088052,1526.5818427718998]",1526.5818427718998,"[0.18638229669674605,0.18641194356131716,0.18626034886994386,0.18620743238533868,0.18631341979304206]",0.18631341979304206,8192.0,12288.0,32768.0
