case,profile,method,phase,population,operations,universe,trace_digest,columns,secondary_references,stable_ids,payload_bytes,key_bytes,routing_bytes,reference_bytes,summary_entries,pages,nodes,payload_moved,key_moved,relabelled,references_repaired,summary_adjustments,splits,page_relabels,largest_move,redistributions,correct,ns_per_operation,spread_percent
moving,ids,natural,scan256_after,4096,256,65536,12911848574592157416,16,4,1,967552,120944,161856,245760,257,256,257,0,0,0,0,0,0,0,0,0,1,352.54684523809476,2.880540022796847
moving,ids,natural,churn,4096,2048,65536,12911848574592157416,16,4,1,967552,120944,161856,245760,257,256,257,8844160,1105520,0,0,8192,0,0,0,0,1,491.0192422672194,2.4459092781430747
moving,ids,natural1024,points,4096,2048,65536,12911848574592157416,16,4,1,668032,83504,161856,245760,257,256,257,0,0,0,0,0,0,0,0,0,1,29.33633555536686,2.1051375748627694
moving,ids,natural1024,scan256_after,4096,256,65536,12911848574592157416,16,4,1,967552,120944,161856,245760,257,256,257,0,0,0,0,0,0,0,0,0,1,352.36115666746133,3.228928514495278
moving,ids,natural1024,churn,4096,2048,65536,12911848574592157416,16,4,1,967552,120944,161856,245760,257,256,257,8844160,1105520,0,0,8192,0,0,0,0,1,491.31873575846333,1.913964498803148
moving,ids,gapped,points,4096,2048,65536,12911848574592157416,16,4,1,720896,90112,12992,245760,23,22,0,0,0,0,0,0,0,0,0,0,1,57.59540219386989,1.9157286129910651
moving,ids,gapped,scan256_after,4096,256,65536,12911848574592157416,16,4,1,1015808,126976,17888,245760,32,31,0,0,0,0,0,0,0,0,0,0,1,337.49891340228834,1.7567259545085738
moving,ids,gapped,churn,4096,2048,65536,12911848574592157416,16,4,1,1015808,126976,17888,245760,32,31,0,4904960,613120,39650,39650,10496,9,8,256,0,1,605.7271759815706,4.8778187953317955
moving,ids,gapped_tail,points,4096,2048,65536,12911848574592157416,16,4,1,720896,90112,12992,245760,23,22,0,0,0,0,0,0,0,0,0,0,1,57.52061462402349,2.9628417072838067
moving,ids,gapped_tail,scan256_after,4096,256,65536,12911848574592157416,16,4,1,1015808,126976,17888,245760,32,31,0,0,0,0,0,0,0,0,0,0,1,333.9704076086957,3.0747098215794324
moving,ids,gapped_tail,churn,4096,2048,65536,12911848574592157416,16,4,1,1015808,126976,17888,245760,32,31,0,4904960,613120,39650,39650,10496,9,8,256,0,1,607.796361678686,1.7025635794536866
moving,ids,blocked,points,4096,2048,65536,12911848574592157416,16,4,1,720896,90112,35520,245760,23,22,0,0,0,0,0,0,0,0,0,0,1,71.506018141296,2.836304757875052
moving,ids,blocked,scan256_after,4096,256,65536,12911848574592157416,16,4,1,1015808,126976,49632,245760,32,31,0,0,0,0,0,0,0,0,0,0,1,178.88826918710268,2.082331926478152
moving,ids,blocked,churn,4096,2048,65536,12911848574592157416,16,4,1,1015808,126976,49632,245760,32,31,0,294912,1445608,3621,3621,10496,9,8,256,0,1,491.4384155273437,1.5712260653315109
moving,ids,indirect,points,4096,2048,65536,12911848574592157416,16,4,1,524288,155648,27072,245760,23,22,0,0,0,0,0,0,0,0,0,0,1,58.26065137190513,1.537409478096762
moving,ids,indirect,scan256_after,4096,256,65536,12911848574592157416,16,4,1,524288,192512,38244,245760,32,31,0,0,0,0,0,0,0,0,0,0,1,210.7134453210012,62.12524172292098
moving,ids,indirect,churn,4096,2048,65536,12911848574592157416,16,4,1,524288,192512,38244,245760,32,31,0,0,7066760,0,0,9344,9,0,256,0,1,362.18339843749993,2.0604223010257865
