input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:metadata_bytes,counter:selected_blocks,counter:original_blocks,counter:body_bytes
zen5,count/census-income/series_local/cp16/native16/cps_fused/sparse17,1,5,"[471.75136612019764,472.46643729339974,472.3254401942851,472.7916413681224,473.250725224318]",472.46643729339974,"[471.7554476184155,472.63583620418365,472.32955541910553,472.7957565942611,473.9250826478187]",472.63583620418365,,,544.0,16.0,256.0,377.0
zen5,count/census-income/series_local/cp16/native16/inline/masked25,1,5,"[1323.738679245269,1322.7180188679213,1323.7916037735927,1322.755754716958,1322.3491509434143]",1322.755754716958,"[1323.7501886733126,1322.7295283003223,1324.158773590994,1322.7672641364134,1322.361509441832]",1322.7672641364134,,,544.0,62.0,256.0,377.0
zen5,count/census-income/series_local/cp16/native16/inline/scan,1,5,"[4924.209580838284,4923.589644240904,4924.40648115532,4925.357520253602,4925.040859457626]",4924.40648115532,"[4924.252201479283,4923.63226487064,4932.19866147715,4926.777738681532,4925.08348011724]",4925.08348011724,,,544.0,256.0,256.0,377.0
zen5,count/census-income/series_local/cp16/native16/inline/sparse17,1,5,"[446.99064853823256,447.0126388356831,446.7621281756779,447.55875781947015,447.4620515766579]",447.0126388356831,"[447.2661177099551,447.14359121624506,446.7659900437072,447.5626515967803,447.5361611122081]",447.2661177099551,,,544.0,16.0,256.0,377.0
zen5,count/census-income/series_local/cp16/native16/materialized/masked25,1,5,"[1311.489395645633,1312.576107357325,1312.8782845345827,1312.8792229730154,1315.1905030029932]",1312.8782845345827,"[1311.5007507496773,1313.077327318006,1315.4901464116774,1312.8905780806438,1315.201951963725]",1313.077327318006,,,544.0,62.0,256.0,377.0
zen5,count/census-income/series_local/cp16/native16/materialized/scan,1,5,"[4933.731012658418,4925.070675105218,4921.048171589443,4919.754219409159,4917.865682137914]",4921.048171589443,"[5002.677215187121,4926.917018311375,4921.101265793582,4920.478902950339,4917.908579461988]",4921.101265793582,,,544.0,256.0,256.0,377.0
zen5,count/census-income/series_local/cp16/native16/materialized/sparse17,1,5,"[413.7601031050084,414.1292664138426,414.4261377103698,414.0249762977036,414.53042782650886]",414.1292664138426,"[413.76398436049504,414.1328513834343,414.4297226864087,414.0904835271935,414.53404242526636]",414.1328513834343,,,544.0,16.0,256.0,377.0
zen5,count/census-income/series_local/cp16/native16/shared/masked25,1,5,"[1350.4378555588105,1348.8255713045814,1349.7888342493006,1347.9867900877803,1347.7235560698182]",1348.8255713045814,"[1350.9037701295792,1349.2018127477077,1349.8006942248849,1347.998457247203,1350.0812843462236]",1349.8006942248849,,,544.0,62.0,256.0,377.0
zen5,count/census-income/series_local/cp16/native16/shared/scan,1,5,"[4975.092618878576,4971.100425833857,4975.9865152591965,4974.24095102917,4980.177785663513]",4975.092618878576,"[4986.7966643076425,4978.432576323486,4976.033711833422,4974.284244150013,4982.073101505958]",4978.432576323486,,,544.0,256.0,256.0,377.0
zen5,count/census-income/series_local/cp16/native16/shared/sparse17,1,5,"[419.8280059048657,420.13258819632125,419.94004760040264,421.0661886542452,421.53194950741613]",420.13258819632125,"[419.83165125048566,420.136233547226,420.90025005315806,421.0698641293909,421.53532371700675]",420.90025005315806,,,544.0,16.0,256.0,377.0
