input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:items_per_iteration,counter:rows_per_call,counter:drawn_codes,counter:stride
avx512,gpr/2/unit4/stride64/map2/scan/all/sum/gpr_points,1,3,"[1944.9521024797054,1948.0623781660777,1945.0746310215525]",1945.0746310215525,"[1944.979392926349,1948.0899470876968,1945.0991367303175]",1945.0991367303175,"[1.8993672875778373,1.9024046661778105,1.8994869443569848]",1.8994869443569848,1024.0,2.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/scan/all/sum/point,1,3,"[2331.2460872466268,2328.3959373960824,2329.6646686644967]",2329.6646686644967,"[2331.2720612700177,2328.4249084168027,2329.693639688767]",2329.693639688767,"[2.2766075070767835,2.2738241576133613,2.2750631529926726]",2.2750631529926726,1024.0,2.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/scan/all/sum/simd,1,3,"[1314.2123777266647,1316.8158389772775,1321.4676448456319]",1316.8158389772775,"[1314.8459367939254,1316.8323927798335,1321.4843867562233]",1316.8323927798335,"[1.283410525123696,1.2859529677512476,1.2904957469195624]",1.2859529677512476,1024.0,2.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/scan/all/sum/simd_full,1,3,"[492.479014084779,492.0712676056943,492.074859155037]",492.074859155037,"[492.81978873259055,492.0768309851853,492.08105633664684]",492.08105633664684,"[0.480936537192167,0.48053834727118583,0.48054185464359084]",0.48054185464359084,1024.0,16.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/scan/all/update/gpr_compiled,1,3,"[7123.058044807621,7117.477596736566,7114.5947046906385]",7117.477596736566,"[7124.898166996663,7122.729124213759,7114.6843177109695]",7122.729124213759,"[6.956111371882442,6.9506617155630535,6.947846391299452]",6.9506617155630535,1024.0,2.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/scan/all/update/gpr_inline,1,3,"[6483.468025947908,6480.178869322543,6474.303058387628]",6480.178869322543,"[6483.550509709671,6481.983317870698,6474.383688614045]",6481.983317870698,"[6.331511744089755,6.328299677072795,6.322561580456667]",6.328299677072795,1024.0,2.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/scan/all/update/gpr_points,1,3,"[6831.392367905431,6832.1849315022655,6829.757338551513]",6831.392367905431,"[6833.435420766045,6832.261252427058,6830.5283757416855]",6832.261252427058,"[6.671281609282647,6.672055597170182,6.669684900929212]",6.671281609282647,1024.0,2.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/scan/all/update/point,1,3,"[6431.172760511582,6437.707495430925,6438.6864716614955]",6437.707495430925,"[6431.253199288083,6437.797989046369,6438.756855582815]",6437.797989046369,"[6.280442148937093,6.286823726006763,6.287779757481929]",6.286823726006763,1024.0,2.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/scan/all/update/simd,1,3,"[4825.78867403297,4835.133287292953,4847.764502762474]",4835.133287292953,"[4825.857044206827,4835.2009668516575,4847.825966848596]",4835.2009668516575,"[4.712684251985323,4.721809850872025,4.7341450222289785]",4.721809850872025,1024.0,2.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/scan/all/update/simd_full,1,3,"[2801.4776119407334,2831.2315449779935,2818.6817265034397]",2818.6817265034397,"[2801.5131101169573,2831.5978217127213,2819.5445744242925]",2819.5445744242925,"[2.7358179804108724,2.764874555642572,2.7526188735385158]",2.7526188735385158,1024.0,16.0,4.0,64.0
