family,case,rows,seed,repetitions,median_ns,min_ns,max_ns,allocated_bytes,queries,conditional_visits
prefix,D_prefix_plane/all_fields,4096,712367,3,14.891700381,14.870891753,15.009570894,299136,32768,32768
prefix,D_prefix_plane/equality_mismatch0,4096,712367,3,1.562491592,1.562326548,1.563964377,299136,32768,0
prefix,D_prefix_plane/equality_mismatch7,4096,712367,3,1.564305364,1.563925607,1.565131554,299136,32768,0
prefix,D_prefix_plane/equality_mismatch8,4096,712367,3,2.973130902,2.962234497,2.975494977,299136,32768,32768
prefix,D_prefix_plane/equality_mismatch15,4096,712367,3,2.969024066,2.967708847,2.969234726,299136,32768,32768
prefix,D_prefix_plane/equality_mismatch16,4096,712367,3,2.687591017,2.686402438,2.688923886,299136,32768,32768
prefix,D_prefix_plane/equality_mismatch17,4096,712367,3,2.071676718,2.068346384,2.07213242,299136,32768,12288
prefix,D_prefix_plane/update_raw,4096,712367,3,0.867069071,0.866486979,0.868167444,299136,32768,0
prefix,D_prefix_plane/update_tuplepack_effects,4096,712367,3,2.470645289,2.469237789,2.4714796,299136,32768,0
prefix,A63/scalar_raw,4096,712367,3,0.311606458,0.311506466,0.311646286,291072,32768,0
prefix,A63/scalar_tuplepack,4096,712367,3,1.339098746,1.338987518,1.339486908,291072,32768,0
prefix,A63/full_string_rare,4096,712367,3,18.759473015,18.694343118,18.760476505,291072,32768,32768
prefix,A63/all_fields,4096,712367,3,14.681492397,14.676302955,14.70610991,291072,32768,32768
prefix,A63/equality_mismatch0,4096,712367,3,1.346109533,1.344915852,1.346112356,291072,32768,0
prefix,A63/equality_mismatch7,4096,712367,3,1.346770971,1.345780293,1.346913476,291072,32768,0
prefix,A63/equality_mismatch8,4096,712367,3,2.944164276,2.942239615,2.944636712,291072,32768,32768
prefix,A63/equality_mismatch15,4096,712367,3,2.945534926,2.943923657,2.946371225,291072,32768,32768
prefix,A63/equality_mismatch16,4096,712367,3,3.130625511,3.127704854,3.134315958,291072,32768,32768
prefix,A63/equality_mismatch17,4096,712367,3,1.972761782,1.9717358,2.009017543,291072,32768,12288
prefix,A63/update_raw,4096,712367,3,0.866243184,0.865746171,0.867198164,291072,32768,0
prefix,A63/update_tuplepack_effects,4096,712367,3,2.470642828,2.469597109,2.473032798,291072,32768,0
prefix,B64prefix9/scalar_raw,4096,712367,3,0.293088389,0.292918258,0.293122363,291072,32768,0
prefix,B64prefix9/scalar_tuplepack,4096,712367,3,1.338828274,1.338439142,1.341274998,291072,32768,0
prefix,B64prefix9/full_string_rare,4096,712367,3,18.613471536,18.495278751,18.729476031,291072,32768,32768
prefix,B64prefix9/all_fields,4096,712367,3,14.689557757,14.678774879,14.704395113,291072,32768,32768
prefix,B64prefix9/equality_mismatch0,4096,712367,3,1.346715986,1.345691429,1.346998173,291072,32768,0
prefix,B64prefix9/equality_mismatch7,4096,712367,3,1.349111683,1.348467587,1.349961335,291072,32768,0
prefix,B64prefix9/equality_mismatch8,4096,712367,3,1.34756295,1.347350536,1.348109981,291072,32768,0
prefix,B64prefix9/equality_mismatch15,4096,712367,3,2.967131087,2.965927865,2.967548852,291072,32768,32768
prefix,B64prefix9/equality_mismatch16,4096,712367,3,3.13639925,3.135701394,3.137806795,291072,32768,32768
prefix,B64prefix9/equality_mismatch17,4096,712367,3,1.788422166,1.787733111,1.789326807,291072,32768,8192
prefix,B64prefix9/update_raw,4096,712367,3,0.858866231,0.858265395,0.859310364,291072,32768,0
prefix,B64prefix9/update_tuplepack_effects,4096,712367,3,2.45289209,2.452325439,2.454825684,291072,32768,0
prefix,C64pad/scalar_raw,4096,712367,3,0.294007493,0.293904133,0.294062326,295168,32768,0
prefix,C64pad/scalar_tuplepack,4096,712367,3,1.338950174,1.338912562,1.33981872,295168,32768,0
prefix,C64pad/full_string_rare,4096,712367,3,18.724557316,18.50876034,18.740677777,295168,32768,32768
prefix,C64pad/all_fields,4096,712367,3,14.683396112,14.680982317,14.691882906,295168,32768,32768
prefix,C64pad/equality_mismatch0,4096,712367,3,1.346281615,1.344499092,1.346974108,295168,32768,0
prefix,C64pad/equality_mismatch7,4096,712367,3,1.348783518,1.347226853,1.348908681,295168,32768,0
prefix,C64pad/equality_mismatch8,4096,712367,3,2.960491474,2.960488539,2.964244954,295168,32768,32768
prefix,C64pad/equality_mismatch15,4096,712367,3,2.964025997,2.963009436,2.965196332,295168,32768,32768
prefix,C64pad/equality_mismatch16,4096,712367,3,3.134452664,3.134110431,3.136676399,295168,32768,32768
prefix,C64pad/equality_mismatch17,4096,712367,3,1.984533533,1.98265472,1.98673496,295168,32768,12288
prefix,C64pad/update_raw,4096,712367,3,0.858291026,0.858256822,0.85903262,295168,32768,0
prefix,C64pad/update_tuplepack_effects,4096,712367,3,2.453585205,2.453443604,2.454000488,295168,32768,0
prefix,A_prefix_plane/scalar_raw,4096,712367,3,0.304141558,0.304098426,0.304225785,290944,32768,0
prefix,A_prefix_plane/scalar_tuplepack,4096,712367,3,1.338875218,1.337937934,1.339161655,290944,32768,0
prefix,A_prefix_plane/full_string_rare,4096,712367,3,23.165211269,23.159194946,23.192088536,290944,32768,32768
prefix,A_prefix_plane/all_fields,4096,712367,3,14.68624442,14.677292597,14.688437326,290944,32768,32768
prefix,A_prefix_plane/equality_mismatch0,4096,712367,3,1.564208829,1.561773806,1.5836101,290944,32768,0
prefix,A_prefix_plane/equality_mismatch7,4096,712367,3,1.562827753,1.561535582,1.563590692,290944,32768,0
prefix,A_prefix_plane/equality_mismatch8,4096,712367,3,2.970028775,2.965438991,2.974629819,290944,32768,32768
prefix,A_prefix_plane/equality_mismatch15,4096,712367,3,2.968289273,2.964748642,2.96988952,290944,32768,32768
prefix,A_prefix_plane/equality_mismatch16,4096,712367,3,2.688487806,2.688348335,2.690249259,290944,32768,32768
prefix,A_prefix_plane/equality_mismatch17,4096,712367,3,2.073278685,2.072045816,2.075120256,290944,32768,12288
prefix,A_prefix_plane/update_raw,4096,712367,3,0.867164438,0.866063364,0.86787614,290944,32768,0
prefix,A_prefix_plane/update_tuplepack_effects,4096,712367,3,2.46777836,2.465565589,2.473303518,290944,32768,0
prefix,D65/scalar_raw,4096,712367,3,0.313901864,0.313780797,0.314380241,299264,32768,0
prefix,D65/scalar_tuplepack,4096,712367,3,1.338821545,1.33837251,1.339075992,299264,32768,0
prefix,D65/full_string_rare,4096,712367,3,18.766133028,18.763763428,18.769398409,299264,32768,32768
prefix,D65/all_fields,4096,712367,3,14.954073951,14.908761161,15.023260207,299264,32768,32768
prefix,D65/equality_mismatch0,4096,712367,3,1.34485401,1.344661763,1.346018115,299264,32768,0
prefix,D65/equality_mismatch7,4096,712367,3,1.346303259,1.345230304,1.349156048,299264,32768,0
prefix,D65/equality_mismatch8,4096,712367,3,2.953973917,2.952201843,2.954842788,299264,32768,32768
prefix,D65/equality_mismatch15,4096,712367,3,2.952486478,2.952330663,2.954117995,299264,32768,32768
prefix,D65/equality_mismatch16,4096,712367,3,3.136231092,3.132708803,3.137448681,299264,32768,32768
prefix,D65/equality_mismatch17,4096,712367,3,1.975378418,1.974196895,1.977420142,299264,32768,12288
prefix,D65/update_raw,4096,712367,3,0.868705836,0.868288907,0.870896473,299264,32768,0
prefix,D65/update_tuplepack_effects,4096,712367,3,2.473386949,2.471957299,2.473970229,299264,32768,0
prefix,E64prefix7/scalar_raw,4096,712367,3,0.29401114,0.293762853,0.294161964,299264,32768,0
prefix,E64prefix7/scalar_tuplepack,4096,712367,3,1.339382372,1.33913609,1.339516355,299264,32768,0
prefix,E64prefix7/full_string_rare,4096,712367,3,18.681832706,18.615715476,18.730641085,299264,32768,32768
