input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:logical_values,counter:values_per_batch,counter:encoded_bytes
candidate1,local2_grain/coalesced64/256,1,5,"[42.346671991238615,42.337430833507355,42.34190044865584,42.337780561076755,42.33740239545246]",42.337780561076755,"[42.34544189421264,42.33770855824696,42.341554956491535,42.33657829695007,42.336175323795]",42.33770855824696,"[0.1654166874657758,0.1653805891933881,0.16539804862756188,0.16538195531670608,0.16538047810723616]",0.16538195531670608,,256.0,64.0
candidate1,local2_grain/coalesced64/65536,1,5,"[10604.992128368149,10583.384650317863,10590.75673630034,10593.030881017265,10562.353617923078]",10590.75673630034,"[10605.23463520437,10584.879049383688,10590.46518318929,10592.729639683372,10562.046321540169]",10590.46518318929,"[0.16181933789624248,0.1614896339465006,0.16160212305145782,0.16163682374599098,0.161168725859422]",0.16160212305145782,,65536.0,16384.0
candidate1,local2_grain/coalesced64/8192,1,5,"[1320.5765574907657,1322.6150284032312,1320.7860664804361,1319.4603760850448,1317.0955585969016]",1320.5765574907657,"[1320.5740077631453,1322.575957553641,1320.747951783597,1319.4224301135728,1317.0578938458646]",1320.5740077631453,"[0.161203193053072,0.16145202983437884,0.16122876788091264,0.16106694044006897,0.16077826643028584]",0.161203193053072,,8192.0,2048.0
candidate1,local2_grain/native/256,1,5,"[42.293060129195624,42.289204678977384,42.31009914101147,42.29225363812043,42.28611101545993]",42.29225363812043,"[42.29181928084153,42.28797712108679,42.311037933003334,42.29103876664518,42.28489010276909]",42.29103876664518,"[0.1652072661296704,0.1651922057772554,0.16527382476957608,0.16520411577390792,0.16518012115414035]",0.16520411577390792,,256.0,64.0
candidate1,local2_grain/native/65536,1,5,"[10913.688301532682,10884.75211135442,10868.1570222083,10899.185017203645,10879.50297153582]",10884.75211135442,"[10913.758210880587,10884.87425709777,10869.627306843311,10898.878479851232,10879.194713742152]",10884.87425709777,"[0.1665296676869611,0.16608813646475862,0.16583491550000454,0.16630836513067082,0.166008040947507]",0.16608813646475862,,65536.0,16384.0
candidate1,local2_grain/native/8192,1,5,"[1344.506263208452,1344.4057060518744,1344.4196541786735,1344.5708549471678,1344.3882036503396]",1344.4196541786735,"[1344.4679731093383,1344.3672814656593,1344.381344857297,1344.532411140955,1344.3523727244692]",1344.381344857297,"[0.16412429970806297,0.16411202466453545,0.16411372731673263,0.16413218444179298,0.16410988814091063]",0.16411372731673263,,8192.0,2048.0
candidate1,local2_grain/predecessor256/256,1,5,"[43.92569456469101,43.9388788090953,43.94967401696906,43.92958866914121,43.89789441060764]",43.92958866914121,"[43.92443103539555,43.93760335991952,43.94970224882945,43.92830443636994,43.89946723463775]",43.92830443636994,"[0.17158474439332425,0.17163624534802852,0.17167841412878537,0.17159995573883288,0.17147615004143607]",0.17159995573883288,,256.0,64.0
candidate1,local2_grain/predecessor256/65536,1,5,"[10805.125986738221,10777.609251657635,10743.446321439884,10816.287653931156,10687.302020839887]",10777.609251657635,"[10805.19450588809,10777.300599896644,10743.14035359436,10815.978054957744,10686.997316084475]",10777.300599896644,"[0.16487313822537572,0.1644532661690923,0.16393198122314276,0.1650434517506585,0.1630752871832258]",0.1644532661690923,,65536.0,16384.0
candidate1,local2_grain/predecessor256/8192,1,5,"[1357.3561209496665,1356.5943275848724,1351.7997641326951,1361.7049918799703,1362.277124738988]",1357.3561209496665,"[1357.3172801840753,1356.6172763087275,1351.956016544404,1361.6662091040298,1362.2386126433883]",1357.3172801840753,"[0.16569288585811356,0.16559989350401277,0.1650146196451044,0.16622375389159796,0.16629359432848975]",0.16569288585811356,,8192.0,2048.0
candidate1,local2_grain/predecessor64/256,1,5,"[43.9550954814248,43.94099737598712,43.92300970508112,43.916213009579536,43.9342452510389]",43.9342452510389,"[43.9538154905353,43.93972805688544,43.92174289678848,43.91496189548818,43.93299288116235]",43.93299288116235,"[0.17169959172431565,0.17164452099994967,0.1715742566604731,0.17154770706867006,0.17161814551187074]",0.17161814551187074,,256.0,64.0
