rank,mtu,bytes,azs,worst_direction_p99_us,worst_direction,worst_direction_p50_us,mean_direction_p50_us
8,9001,65536,"use1-az1,use1-az3,use1-az5",940.9985600000001,use1-az1->use1-az3,867.6915,670.6820833333334
9,9001,65536,"use1-az1,use1-az3,use1-az4",940.9985600000001,use1-az1->use1-az3,867.6915,711.2385
10,9001,65536,"use1-az1,use1-az3,use1-az6",940.9985600000001,use1-az1->use1-az3,867.6915,723.9408333333334
11,9001,65536,"use1-az1,use1-az4,use1-az6",996.08338,use1-az6->use1-az4,927.631,693.6364166666667
12,9001,65536,"use1-az4,use1-az5,use1-az6",996.08338,use1-az6->use1-az4,927.631,714.5992499999999
13,9001,65536,"use1-az3,use1-az4,use1-az6",996.08338,use1-az6->use1-az4,927.631,774.9180833333334
14,9001,65536,"use1-az2,use1-az3,use1-az4",1004.81636,use1-az3->use1-az2,920.0730000000001,690.4451666666668
15,9001,65536,"use1-az2,use1-az3,use1-az5",1004.81636,use1-az3->use1-az2,920.0730000000001,705.8005833333333
16,9001,65536,"use1-az1,use1-az2,use1-az3",1004.81636,use1-az3->use1-az2,920.0730000000001,763.1711666666666
17,9001,65536,"use1-az1,use1-az2,use1-az6",1247.5768400000002,use1-az6->use1-az2,1109.7255,744.7356666666666
18,9001,65536,"use1-az2,use1-az4,use1-az6",1247.5768400000002,use1-az6->use1-az2,1109.7255,744.87925
19,9001,65536,"use1-az2,use1-az5,use1-az6",1247.5768400000002,use1-az6->use1-az2,1109.7255,748.6750833333334
20,9001,65536,"use1-az2,use1-az3,use1-az6",1247.5768400000002,use1-az6->use1-az2,1109.7255,822.4621666666667
