name,family_index,per_family_instance_index,run_name,run_type,repetitions,repetition_index,threads,iterations,real_time,cpu_time,time_unit,items_per_iteration,items_per_second,projected_codes,stride,tuples_per_call,unit_bytes,fraction_R_0,fraction_R_1,fraction_R_AC,fraction_W_A,fraction_W_AB,fraction_W_AC,fraction_W_all,binding_bytes,allocated_binding_bytes,input_bytes,issued_write_bytes,live_bindings,lowered_decode_terms
small/unpacked/R_1,10,0,small/unpacked/R_1,iteration,3,2,1,79862,351.1449750822983,351.10465553078916,ns,256.0,729127329.8925277,,,,4.0,,,,,,,,,,,,,
small/unpacked/W_A,11,0,small/unpacked/W_A,iteration,3,0,1,79884,350.40134444944124,350.16298633017595,ns,256.0,731088121.7999789,,,,4.0,,,,,,,,,,,,,
small/unpacked/W_A,11,0,small/unpacked/W_A,iteration,3,1,1,79884,350.1597316107137,350.15948124781113,ns,256.0,731095439.9627591,,,,4.0,,,,,,,,,,,,,
small/unpacked/W_A,11,0,small/unpacked/W_A,iteration,3,2,1,79884,350.14020329481855,350.12054979720534,ns,256.0,731176733.6943768,,,,4.0,,,,,,,,,,,,,
small/unpacked/W_AC,12,0,small/unpacked/W_AC,iteration,3,0,1,68544,408.56077847815493,408.56048669467305,ns,256.0,626590207.1712453,,,,4.0,,,,,,,,,,,,,
small/unpacked/W_AC,12,0,small/unpacked/W_AC,iteration,3,1,1,68544,408.53977007471394,408.5104458450059,ns,256.0,626666961.8948488,,,,4.0,,,,,,,,,,,,,
small/unpacked/W_AC,12,0,small/unpacked/W_AC,iteration,3,2,1,68544,408.4102182536327,408.4099264705849,ns,256.0,626821199.5049,,,,4.0,,,,,,,,,,,,,
small/unpacked/W_AB,13,0,small/unpacked/W_AB,iteration,3,0,1,68443,408.54039127430167,408.54009906053255,ns,256.0,626621476.2974075,,,,4.0,,,,,,,,,,,,,
small/unpacked/W_AB,13,0,small/unpacked/W_AB,iteration,3,1,1,68443,409.49943748797625,408.69599520769134,ns,256.0,626382452.9768288,,,,4.0,,,,,,,,,,,,,
small/unpacked/W_AB,13,0,small/unpacked/W_AB,iteration,3,2,1,68443,408.52608740153505,408.5256344695561,ns,256.0,626643662.9671949,,,,4.0,,,,,,,,,,,,,
small/unpacked/W_all,14,0,small/unpacked/W_all,iteration,3,0,1,53818,519.9849492732008,519.9407261511025,ns,256.0,492363815.9585188,,,,4.0,,,,,,,,,,,,,
small/unpacked/W_all,14,0,small/unpacked/W_all,iteration,3,1,1,53818,520.2307963874924,520.1835817012912,ns,256.0,492133948.4855267,,,,4.0,,,,,,,,,,,,,
small/unpacked/W_all,14,0,small/unpacked/W_all,iteration,3,2,1,53818,519.7820431824127,519.7495261808307,ns,256.0,492544941.56274176,,,,4.0,,,,,,,,,,,,,
mixture/b2-A0s0-B0s1-C1s0-D1s3/5/bytes,15,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/5/bytes,iteration,3,0,1,20651,1351.2207641275165,1351.08614594935,ns,256.0,189477185.2760875,,,,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,,,,,,
mixture/b2-A0s0-B0s1-C1s0-D1s3/5/bytes,15,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/5/bytes,iteration,3,1,1,20651,1350.955885913835,1350.1578616047736,ns,256.0,189607457.97215366,,,,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,,,,,,
mixture/b2-A0s0-B0s1-C1s0-D1s3/5/bytes,15,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/5/bytes,iteration,3,2,1,20651,1351.9577744415228,1351.7137184639905,ns,256.0,189389214.9669855,,,,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,,,,,,
mixture/b2-A0s0-B0s1-C1s0-D1s3/5/word,16,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/5/word,iteration,3,0,1,19159,1461.82681768358,1461.6410042277794,ns,256.0,175145606.3831837,,,,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,,,,,,
mixture/b2-A0s0-B0s1-C1s0-D1s3/5/word,16,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/5/word,iteration,3,1,1,19159,1460.7610000522595,1460.7599561563773,ns,256.0,175251244.3410618,,,,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,,,,,,
mixture/b2-A0s0-B0s1-C1s0-D1s3/5/word,16,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/5/word,iteration,3,2,1,19159,1460.3215721065988,1460.2317448718518,ns,256.0,175314638.17235824,,,,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,,,,,,
mixture/b2-A0s0-B0s1-C1s0-D1s3/50/bytes,17,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/50/bytes,iteration,3,0,1,15596,1784.1234932025704,1783.969607591668,ns,256.0,143500202.53181115,,,,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,,,,,,
mixture/b2-A0s0-B0s1-C1s0-D1s3/50/bytes,17,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/50/bytes,iteration,3,1,1,15596,1784.282572455205,1783.0937419851289,ns,256.0,143570690.6328961,,,,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,,,,,,
mixture/b2-A0s0-B0s1-C1s0-D1s3/50/bytes,17,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/50/bytes,iteration,3,2,1,15596,1780.1352911011531,1780.1346499102258,ns,256.0,143809346.11486292,,,,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,,,,,,
mixture/b2-A0s0-B0s1-C1s0-D1s3/50/word,18,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/50/word,iteration,3,0,1,14720,1894.634510869802,1894.6331521739166,ns,256.0,135118505.5039619,,,,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,,,,,,
mixture/b2-A0s0-B0s1-C1s0-D1s3/50/word,18,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/50/word,iteration,3,1,1,14720,1895.9436820644426,1893.7540760869629,ns,256.0,135181227.1892078,,,,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,,,,,,
mixture/b2-A0s0-B0s1-C1s0-D1s3/50/word,18,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/50/word,iteration,3,2,1,14720,1890.6413043468688,1890.4762228261027,ns,256.0,135415614.8112255,,,,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,,,,,,
mixture/b2-A0s0-B0s1-C1s0-D1s3/90/bytes,19,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/90/bytes,iteration,3,0,1,16817,1647.391924838471,1647.3913302015667,ns,256.0,155397199.98931712,,,,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,,,,,,
mixture/b2-A0s0-B0s1-C1s0-D1s3/90/bytes,19,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/90/bytes,iteration,3,1,1,16817,1648.4194565033736,1647.3407861092958,ns,256.0,155401967.92226768,,,,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,,,,,,
mixture/b2-A0s0-B0s1-C1s0-D1s3/90/bytes,19,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/90/bytes,iteration,3,2,1,16817,1646.1895700777918,1646.1889754415213,ns,256.0,155510700.05880627,,,,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,,,,,,
mixture/b2-A0s0-B0s1-C1s0-D1s3/90/word,20,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/90/word,iteration,3,0,1,16787,1665.8480371716166,1665.846786203608,ns,256.0,153675597.3719605,,,,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,,,,,,
mixture/b2-A0s0-B0s1-C1s0-D1s3/90/word,20,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/90/word,iteration,3,1,1,16787,1664.7215106920687,1664.6160719604632,ns,256.0,153789215.61084166,,,,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,,,,,,
mixture/b2-A0s0-B0s1-C1s0-D1s3/90/word,20,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/90/word,iteration,3,2,1,16787,1667.4396854711642,1666.2298206945832,ns,256.0,153640270.27993298,,,,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,,,,,,
mixture/b2-A0s0-B0s1-C1s5-D1s0/5/bytes,21,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/5/bytes,iteration,3,0,1,20692,1351.5721534888967,1351.4947805915172,ns,256.0,189419895.41976246,,,,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,,,,,,
mixture/b2-A0s0-B0s1-C1s5-D1s0/5/bytes,21,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/5/bytes,iteration,3,1,1,20692,1346.314517688879,1346.235743282417,ns,256.0,190159859.6511901,,,,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,,,,,,
