series,variant,case,policy,seed,width,cohort,attempts,complete,failed,historical_omitted_keys,offered,oldest_pending_ticks,p50_ticks,p99_ticks,pending,rejections,program_executions
sweep,default,bulk_update_point_updates,occ,0,16,report,109,96,0,192,96,0,25,54,0,"{""capture_promise"": 13}",
sweep,default,bulk_update_point_updates,occ,0,16,source_update,76,64,0,0,64,0,0,15,0,"{""capture_promise"": 12}",
sweep,default,bulk_update_point_updates,certification,0,16,bulk,9,2,1,0,3,0,141,517,0,"{""capture_promise"": 1, ""output_promise"": 1, ""source_changed"": 5}",
sweep,default,bulk_update_point_updates,certification,0,16,regional,96,96,0,0,96,0,0,1,0,{},
sweep,default,bulk_update_point_updates,certification,0,16,report,109,96,0,178,96,0,25,54,0,"{""capture_promise"": 13}",
sweep,default,bulk_update_point_updates,certification,0,16,source_update,76,64,0,0,64,0,0,15,0,"{""capture_promise"": 12}",
sweep,default,bulk_update_point_updates,snapshot-wait,0,16,bulk,8,2,1,0,3,0,142,412,0,"{""source_changed"": 6}",
sweep,default,bulk_update_point_updates,snapshot-wait,0,16,regional,96,96,0,0,96,0,0,1,0,{},
sweep,default,bulk_update_point_updates,snapshot-wait,0,16,report,96,96,0,192,96,0,25,38,0,{},
sweep,default,bulk_update_point_updates,snapshot-wait,0,16,source_update,64,64,0,0,64,0,0,12,0,{},
sweep,default,bulk_update_point_updates,ordered-writes,0,16,bulk,3,3,0,0,3,0,148,151,0,{},
sweep,default,bulk_update_point_updates,ordered-writes,0,16,regional,96,96,0,0,96,0,0,1,0,{},
sweep,default,bulk_update_point_updates,ordered-writes,0,16,report,96,96,0,334,96,0,25,53,0,{},
sweep,default,bulk_update_point_updates,ordered-writes,0,16,source_update,64,64,0,0,64,0,57,134,0,{},
sweep,default,blind_bulk_readers,arbitration,0,16,bulk,1,1,0,0,1,0,115,115,0,{},
sweep,default,blind_bulk_readers,arbitration,0,16,regional,96,96,0,0,96,0,0,5,0,{},
sweep,default,blind_bulk_readers,arbitration,0,16,report,128,128,0,0,128,0,30,143,0,{},
sweep,default,blind_bulk_readers,wound-wait,0,16,bulk,1,1,0,0,1,0,115,115,0,{},
sweep,default,blind_bulk_readers,wound-wait,0,16,regional,96,96,0,0,96,0,0,8,0,{},
sweep,default,blind_bulk_readers,wound-wait,0,16,report,128,128,0,0,128,0,26,129,0,{},
sweep,default,blind_bulk_readers,wait-die,0,16,bulk,1,1,0,0,1,0,115,115,0,{},
sweep,default,blind_bulk_readers,wait-die,0,16,regional,96,96,0,0,96,0,0,5,0,{},
sweep,default,blind_bulk_readers,wait-die,0,16,report,236,128,0,0,128,0,26,128,0,{},
sweep,default,blind_bulk_readers,occ,0,16,bulk,1,1,0,0,1,0,112,112,0,{},
sweep,default,blind_bulk_readers,occ,0,16,regional,96,96,0,0,96,0,0,1,0,{},
sweep,default,blind_bulk_readers,occ,0,16,report,135,128,0,0,128,0,25,45,0,"{""capture_promise"": 7}",
sweep,default,blind_bulk_readers,certification,0,16,bulk,1,1,0,0,1,0,112,112,0,{},
sweep,default,blind_bulk_readers,certification,0,16,regional,96,96,0,0,96,0,0,1,0,{},
sweep,default,blind_bulk_readers,certification,0,16,report,135,128,0,0,128,0,25,45,0,"{""capture_promise"": 7}",
sweep,default,blind_bulk_readers,snapshot-wait,0,16,bulk,1,1,0,0,1,0,112,112,0,{},
sweep,default,blind_bulk_readers,snapshot-wait,0,16,regional,96,96,0,0,96,0,0,1,0,{},
sweep,default,blind_bulk_readers,snapshot-wait,0,16,report,128,128,0,32,128,0,25,35,0,{},
