name,family_index,per_family_instance_index,run_name,run_type,repetitions,repetition_index,threads,iterations,real_time,cpu_time,time_unit,items_per_iteration,items_per_second,unit_bytes,fraction_R_0,fraction_R_1,fraction_R_AC,fraction_W_A,fraction_W_AB,fraction_W_AC,fraction_W_all,binding_bytes
mixture/b2-A0s7-B0s0-C1s0-D1s3/5/word,20,0,mixture/b2-A0s7-B0s0-C1s0-D1s3/5/word,iteration,3,0,1,18914,1479.4533678764549,1479.2143914560697,ns,256.0,173064838.6593951,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s7-B0s0-C1s0-D1s3/5/word,20,0,mixture/b2-A0s7-B0s0-C1s0-D1s3/5/word,iteration,3,1,1,18914,1479.6014063636842,1479.5972295653976,ns,256.0,173020059.02998003,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s7-B0s0-C1s0-D1s3/5/word,20,0,mixture/b2-A0s7-B0s0-C1s0-D1s3/5/word,iteration,3,2,1,18914,1477.6292693272762,1477.4770540340473,ns,256.0,173268342.34144437,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s7-B0s0-C1s0-D1s3/50/bytes,21,0,mixture/b2-A0s7-B0s0-C1s0-D1s3/50/bytes,iteration,3,0,1,14706,1892.7539779737724,1892.1808105535115,ns,256.0,135293624.46346417,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s7-B0s0-C1s0-D1s3/50/bytes,21,0,mixture/b2-A0s7-B0s0-C1s0-D1s3/50/bytes,iteration,3,1,1,14706,1890.3073575385338,1890.3020535835767,ns,256.0,135428091.77754584,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s7-B0s0-C1s0-D1s3/50/bytes,21,0,mixture/b2-A0s7-B0s0-C1s0-D1s3/50/bytes,iteration,3,2,1,14706,1888.0905752768426,1887.9437644499023,ns,256.0,135597259.20893186,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s7-B0s0-C1s0-D1s3/50/word,22,0,mixture/b2-A0s7-B0s0-C1s0-D1s3/50/word,iteration,3,0,1,13927,1987.1049041371273,1985.7062540389368,ns,256.0,128921384.76136371,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s7-B0s0-C1s0-D1s3/50/word,22,0,mixture/b2-A0s7-B0s0-C1s0-D1s3/50/word,iteration,3,1,1,13927,1971.9859984131988,1971.9803977884583,ns,256.0,129818734.6522813,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s7-B0s0-C1s0-D1s3/50/word,22,0,mixture/b2-A0s7-B0s0-C1s0-D1s3/50/word,iteration,3,2,1,13927,1964.2879299213582,1964.148129532546,ns,256.0,130336401.89903921,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s7-B0s0-C1s0-D1s3/90/bytes,23,0,mixture/b2-A0s7-B0s0-C1s0-D1s3/90/bytes,iteration,3,0,1,15703,1782.2441571640468,1782.0818314971605,ns,256.0,143652213.6499925,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,
mixture/b2-A0s7-B0s0-C1s0-D1s3/90/bytes,23,0,mixture/b2-A0s7-B0s0-C1s0-D1s3/90/bytes,iteration,3,1,1,15703,1782.5734573048899,1782.3512704578768,ns,256.0,143630497.67077333,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,
mixture/b2-A0s7-B0s0-C1s0-D1s3/90/bytes,23,0,mixture/b2-A0s7-B0s0-C1s0-D1s3/90/bytes,iteration,3,2,1,15703,1782.0219703247826,1781.7972361969094,ns,256.0,143675158.3173457,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,
mixture/b2-A0s7-B0s0-C1s0-D1s3/90/word,24,0,mixture/b2-A0s7-B0s0-C1s0-D1s3/90/word,iteration,3,0,1,15589,1799.7376996571497,1795.380203989998,ns,256.0,142588182.39784163,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,
mixture/b2-A0s7-B0s0-C1s0-D1s3/90/word,24,0,mixture/b2-A0s7-B0s0-C1s0-D1s3/90/word,iteration,3,1,1,15589,1795.510359867464,1795.406440438782,ns,256.0,142586098.74287617,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,
mixture/b2-A0s7-B0s0-C1s0-D1s3/90/word,24,0,mixture/b2-A0s7-B0s0-C1s0-D1s3/90/word,iteration,3,2,1,15589,1796.6572583277443,1796.421964205528,ns,256.0,142505494.3108629,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,
mixture/b2-A0s7-B0s0-C1s5-D1s0/5/bytes,25,0,mixture/b2-A0s7-B0s0-C1s5-D1s0/5/bytes,iteration,3,0,1,19607,1423.2432294587738,1423.011781506614,ns,256.0,179900126.84853527,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s7-B0s0-C1s5-D1s0/5/bytes,25,0,mixture/b2-A0s7-B0s0-C1s5-D1s0/5/bytes,iteration,3,1,1,19607,1420.6222267580422,1420.6181975825066,ns,256.0,180203238.58700398,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s7-B0s0-C1s5-D1s0/5/bytes,25,0,mixture/b2-A0s7-B0s0-C1s5-D1s0/5/bytes,iteration,3,2,1,19607,1423.7405518490896,1423.6549191615202,ns,256.0,179818856.77097544,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s7-B0s0-C1s5-D1s0/5/word,26,0,mixture/b2-A0s7-B0s0-C1s5-D1s0/5/word,iteration,3,0,1,18898,1481.0795322220079,1479.771510212703,ns,256.0,172999681.52732068,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s7-B0s0-C1s5-D1s0/5/word,26,0,mixture/b2-A0s7-B0s0-C1s5-D1s0/5/word,iteration,3,1,1,18898,1478.6982749526771,1478.6940946131792,ns,256.0,173125733.6676986,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s7-B0s0-C1s5-D1s0/5/word,26,0,mixture/b2-A0s7-B0s0-C1s5-D1s0/5/word,iteration,3,2,1,18898,1478.9824849182426,1478.8952270081695,ns,256.0,173102188.25838825,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
