model,arithmetic,partition,slice,sample_tiles,weighted_tiles,mae_bytes,bias_bytes,rmse_bytes,p50_abs_bytes,p95_abs_bytes,p99_abs_bytes,max_abs_bytes,threshold_8_wrong_fraction,threshold_8_false_compress_fraction,threshold_8_missed_compress_fraction,threshold_16_wrong_fraction,threshold_16_false_compress_fraction,threshold_16_missed_compress_fraction,threshold_24_wrong_fraction,threshold_24_false_compress_fraction,threshold_24_missed_compress_fraction,threshold_32_wrong_fraction,threshold_32_false_compress_fraction,threshold_32_missed_compress_fraction
proposed_three,q12,test,corpus:census-income_srt,15951,122880.00000000003,0.18216666666666662,-0.029496582031249965,0.5369310215241805,0.0,1.0,2.0,6.0,0.009110135904947915,0.008959256998697915,0.00015087890624999994,0.003096378580729166,0.003096378580729166,0.0,0.0007812499999999998,0.0007812499999999998,0.0,2.4414062499999995e-05,2.4414062499999995e-05,0.0
proposed_three,q12,synthetic_stress,partial,7353,7353.0,1.0953352373181016,-0.08431932544539644,1.4291366836474095,1.0,3.0,4.0,7.0,0.01659186726506188,0.014007887936896505,0.002583979328165375,0.017679858561131512,0.017679858561131512,0.0,0.005711954304365565,0.005439956480348157,0.00027199782401740786,0.009383924928600572,0.004215966272269822,0.00516795865633075
proposed_three_piecewise,q12,validation,partial,15052,215112.00000000006,0.08746606418981738,0.04882304566923276,0.2994559060600011,0.0,1.0,1.0,5.0,0.03669346201048755,0.0013232269701364866,0.03537023504035106,5.601733050689872e-05,5.601733050689872e-05,0.0,9.297482241808915e-06,9.297482241808915e-06,0.0,0.0,0.0,0.0
proposed_three_piecewise,q12,test,partial,33018,96762.0,0.1855953783510056,0.048542227320642395,0.4726097065074983,0.0,1.0,2.0,5.0,0.012490264773361445,0.0023333540026043284,0.010156910770757116,0.004117215435811579,0.0036139186870879064,0.0005032967487236726,0.0008267708397924806,0.0006820859428287964,0.00014468489696368409,0.001519191418118683,0.00019635807445071411,0.001322833343667969
proposed_three_piecewise,q12,test,corpus:census-income,23134,133376.0,0.08710393174184261,0.045651114143474086,0.30342934565118,0.0,1.0,1.0,2.0,0.0054846824016314775,0.00014465870921305182,0.005340023692418425,0.0016768983925143956,0.001444551493522073,0.00023234689899232245,9.746880998080614e-05,2.2492802303262957e-05,7.497600767754318e-05,0.001057161708253359,0.00010496641074856046,0.0009521952975047984
proposed_three_piecewise,q12,test,corpus:census-income_srt,15951,122880.00000000003,0.05160323893229165,-0.011325846354166664,0.27559284463792777,0.0,0.0,1.0,5.0,0.0038823079427083326,0.0016803873697916662,0.0022019205729166664,0.0014219726562499997,0.0012778442382812495,0.00014412841796874996,0.0005452473958333332,0.0005126953124999999,3.2552083333333326e-05,4.882812499999999e-05,4.069010416666666e-05,8.138020833333332e-06
proposed_three_piecewise,q12,synthetic_stress,partial,7353,7353.0,0.5782673738610091,0.2706378348973208,0.9143966923767342,0.0,2.0,3.0,6.0,0.007751937984496124,0.005439956480348157,0.0023119815041479667,0.009247926016591867,0.009247926016591867,0.0,0.002039983680130559,0.0009519923840609275,0.0010879912960696314,0.010199918400652794,0.005303957568339453,0.004895960832313341
symmetric_three,q12,validation,partial,15052,215112.00000000006,0.5731296836066792,0.17539044544237417,0.7728078419374897,1.0,1.0,1.0,6.0,0.055612292666145986,0.05559291206441294,1.9380601733050683e-05,7.937725463944361e-05,7.937725463944361e-05,0.0,9.297482241808915e-06,9.297482241808915e-06,0.0,0.0,0.0,0.0
symmetric_three,q12,test,partial,33018,96762.0,0.8776568280936732,0.1980143651433413,1.0821128742737622,1.0,2.0,3.0,6.0,0.02843630247411174,0.028381425559620508,5.48769144912259e-05,0.015464319670945205,0.015464319670945205,0.0,0.001601868502097931,0.001581199231103119,2.0669270994812014e-05,0.0011264752692172547,0.0003513776069118042,0.0007750976623054505
symmetric_three,q12,test,corpus:census-income,23134,133376.0,0.47461571422144916,0.1671064396892994,0.7725366568172927,0.0,2.0,2.0,4.0,0.012558406309980808,0.012558406309980808,0.0,0.008632463861564299,0.008632463861564299,0.0,0.000517334452975048,0.000517334452975048,0.0,0.0007947456813819578,0.00023242562380038388,0.0005623200575815739
