input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:logical_values,counter:active_values,counter:selected_values
current,composition/avx2/local/k64/h0/u64/all/authored-u64-carrier,1,5,"[966.9278071249572,955.3894871049021,946.0837555040251,981.5027460821294,978.5715029726861]",966.9278071249572,"[964.8019574275853,953.3540653511045,943.9957185465244,979.3365438604916,976.4952045022164]",964.8019574275853,"[0.11803317958068324,0.11662469325011011,0.11548873968554994,0.11981234693385369,0.11945452917147045]",0.11803317958068324,8192.0,8192.0,5896.0
current,composition/avx2/local/k64/h0/u64/all/direct,1,5,"[967.5608342101274,947.361514287948,957.2146878679675,964.5543748650164,956.494627664395]",957.2146878679675,"[965.4358525008839,945.3280748072756,955.1062029234856,962.4355737816056,954.4180701399022]",955.1062029234856,"[0.11811045339479093,0.11564471609960304,0.11684749607763276,0.11774345396301471,0.11675959810356384]",0.11684749607763276,8192.0,8192.0,5896.0
current,composition/avx2/local/k64/h0/u64/all/materialized,1,5,"[993.9760330667858,1048.332455910381,1025.5437448602395,1029.7457939360675,1009.441226428947]",1025.5437448602395,"[991.8076540488485,1046.0354979237716,1023.3315114547239,1027.499481087864,1007.2134328299779]",1023.3315114547239,"[0.12133496497397288,0.1279702704968727,0.1251884454175097,0.12570139086133636,0.12322280596056481]",0.1251884454175097,8192.0,8192.0,5896.0
current,composition/avx2/local/k64/h0/u64/prefilter75/authored,1,5,"[1212.3520819689497,1181.5249857399117,1200.4099038766237,1174.5164085771612,1179.7791486215147]",1181.5249857399117,"[1209.6824294909763,1178.925699800818,1197.8386479344997,1171.934653004339,1177.2143487906849]",1178.925699800818,"[0.1479921975059753,0.14422912423582906,0.14653441209431445,0.14337358503139175,0.14401600935321224]",0.14422912423582906,8192.0,6144.0,4453.0
current,composition/avx2/local/k64/h0/u64/prefilter75/authored-u64-carrier,1,5,"[1056.7741018935774,1006.9956379012851,1016.1329661158351,1024.1223390641703,1023.5410300635814]",1023.5410300635814,"[1054.5271722397747,1004.7911830704817,1013.9111036920252,1021.8624789033486,1021.346998274741]",1021.346998274741,"[0.12900074486005583,0.1229242722047467,0.12403966871531191,0.12501493396779423,0.1249439733964333]",0.1249439733964333,8192.0,6144.0,4453.0
current,composition/avx2/local/k64/h0/u64/prefilter75/direct,1,5,"[1196.5691760180678,1177.541636973973,1199.6054640211364,1222.9836912192536,1202.5187385701156]",1199.6054640211364,"[1194.0023310539038,1174.9592130231172,1196.9634372502774,1220.2990830338579,1199.9076765897662]",1196.9634372502774,"[0.146065573244393,0.14374287560717444,0.14643621386976763,0.1492900013695378,0.14679183820435981]",0.14643621386976763,8192.0,6144.0,4453.0
current,composition/avx2/local/k64/h0/u64/prefilter75/materialized,1,5,"[1009.5972286157929,1040.1204757314904,1002.7961813447674,1018.0396790574451,1018.2474681359372]",1018.0396790574451,"[1007.3693824253485,1037.8253121668195,1000.6664556775027,1015.803449664265,1016.0070453436182]",1015.803449664265,"[0.1232418491962638,0.1269678315101917,0.12241164323056243,0.12427242175994202,0.12429778663768765]",0.12427242175994202,8192.0,6144.0,4453.0
current,composition/avx2/local/k7/h0/u8/all/authored,1,5,"[963.3245265730005,958.4299055801988,985.9793498180688,952.1963327667264,993.4950798119528]",963.3245265730005,"[961.5697557837799,956.3149318743752,983.803617434462,950.0951468754417,991.4555489886591]",961.5697557837799,"[0.11759332599768074,0.11699583808352035,0.12035880735083848,0.11623490390218827,0.12127625485985752]",0.11759332599768074,8192.0,8192.0,5902.0
current,composition/avx2/local/k7/h0/u8/all/authored-u64-carrier,1,5,"[681.422614882491,693.4940350654048,667.2851840615389,674.0059624879527,675.3790302454998]",675.3790302454998,"[679.9268133349481,691.9637210625405,665.8582361609211,672.5260372570859,673.8887140895284]",673.8887140895284,"[0.08318147154327284,0.08465503357731992,0.08145571094501208,0.08227611846776767,0.08244372927801512]",0.08244372927801512,8192.0,8192.0,5902.0
current,composition/avx2/local/k7/h0/u8/all/dense32-authored,1,5,"[248.5203151453183,247.13763115411842,254.79838690934835,253.9641769805196,250.0833272251743]",250.0833272251743,"[247.97402929424302,246.60515927974237,254.24182415299083,253.40376161354925,249.5373828347586]",249.5373828347586,"[0.03033695253238749,0.030168167865492975,0.03110331871452006,0.031001486447817334,0.030527749905416787]",0.030527749905416787,8192.0,8192.0,5902.0
current,composition/avx2/local/k7/h0/u8/all/direct,1,5,"[956.2162871885648,954.5928611569946,938.1472182013213,950.7261797312711,964.927341155642]",954.5928611569946,"[954.1061936957695,952.4928560494625,936.1155906745057,948.6362051053296,962.8131809748412]",952.4928560494625,"[0.11672562099469785,0.11652744887170344,0.11451992409684096,0.11605544186172745,0.11778898207466333]",0.11652744887170344,8192.0,8192.0,5902.0
current,composition/avx2/local/k7/h0/u8/all/materialized,1,5,"[343.96411913420786,355.84594112608113,352.16683729967923,348.0750604999543,346.55010649712307]",348.0750604999543,"[343.2179350246437,355.06426821784004,351.39107120284467,347.3099723834962,345.79700898562066]",347.3099723834962,"[0.04198780751149998,0.043438225235117325,0.0429891158813085,0.042489631408685835,0.042303479797012086]",0.042489631408685835,8192.0,8192.0,5902.0
current,composition/avx2/local/k7/h0/u8/prefilter75/authored,1,5,"[967.5174421073513,978.6237968519902,947.1365219114425,966.9080051806167,953.2023305684514]",966.9080051806167,"[965.3904816838767,976.466984203532,945.0540036518413,964.8231053953211,951.0985448974346]",964.8231053953211,"[0.11810515650724503,0.11946091270165897,0.11561725120989289,0.1180307623511495,0.11635770636821915]",0.1180307623511495,8192.0,6144.0,4423.0
current,composition/avx2/local/k7/h0/u8/prefilter75/authored-u64-carrier,1,5,"[691.7097946963272,680.4822866582098,684.9204128688384,696.9555347433195,689.1324764264587]",689.1324764264587,"[690.1943502151148,679.0290355242951,683.4089014090464,695.4174655618943,687.6116707473541]",687.6116707473541,"[0.0844372307978915,0.08306668538308225,0.08360844883652814,0.0850775799247216,0.08412261675127668]",0.08412261675127668,8192.0,6144.0,4423.0
current,composition/avx2/local/k7/h0/u8/prefilter75/dense32-authored,1,5,"[256.83061026877084,257.23765093656084,256.70737934465166,261.0632025804299,257.47498399140625]",257.23765093656084,"[256.27572620432863,256.67187278149055,256.14216824657717,260.4969425641498,256.90963639624454]",256.67187278149055,"[0.03135139285507457,0.0314010804365919,0.03133635001765767,0.031868066721243885,0.03143005175676346]",0.0314010804365919,8192.0,6144.0,4423.0
current,composition/avx2/local/k7/h0/u8/prefilter75/direct,1,5,"[973.0261528419967,969.6445451311735,941.8324705508547,949.8508428101305,933.5549285657492]",949.8508428101305,"[970.8786463926334,967.5507879003666,939.7645173667604,947.757147741366,931.5014797947184]",947.757147741366,"[0.1187776065480953,0.11836481263808271,0.11496978400278987,0.11594858921022103,0.11395934186593616]",0.11594858921022103,8192.0,6144.0,4423.0
current,composition/avx2/local/k7/h0/u8/prefilter75/materialized,1,5,"[474.46064952443726,475.4720482746958,472.022753955482,470.51372087297256,486.34374952895615]",474.46064952443726,"[473.418725705386,474.4295483207491,470.9807815662508,469.4923821311202,485.27409087190756]",473.418725705386,"[0.057917559756401026,0.058041021517907194,0.0576199650824563,0.05743575694250154,0.059368133487421405]",0.057917559756401026,8192.0,6144.0,4423.0
current,composition/avx2/striped/k12/h0/u16/all/authored,1,5,"[808.3367890576999,807.4991443995119,794.0900967916351,817.6015430211419,824.0691360493176]",808.3367890576999,"[806.553088395155,805.7295273328498,792.394079008107,815.7974284948376,822.2506556660596]",806.553088395155,"[0.09867392444552002,0.09857167290033103,0.09693482626851013,0.09980487585707298,0.10059437695914525]",0.09867392444552002,8192.0,8192.0,5945.0
current,composition/avx2/striped/k12/h0/u16/all/authored-u64-carrier,1,5,"[605.5972324054446,608.985315560985,615.9568672922097,592.8211937851594,625.7798569863307]",608.985315560985,"[604.2696211288519,607.6698534433442,614.5975990010039,591.5129606135118,624.4204095169767]",607.6698534433442,"[0.07392544340886775,0.07433902777844054,0.07519004727688107,0.07236586838197745,0.0763891426985267]",0.07433902777844054,8192.0,8192.0,5945.0
current,composition/avx2/striped/k12/h0/u16/all/direct,1,5,"[824.9652897828447,798.8949636849737,788.2918330982943,788.5280342677305,827.5971065968844]",798.8949636849737,"[823.1928502742227,797.1435019377949,786.5522069281094,786.7947624907188,825.8003292255642]",797.1435019377949,"[0.10070377072544488,0.09752135787170088,0.09622703040750663,0.09625586355807257,0.1010250374263775]",0.09752135787170088,8192.0,8192.0,5945.0
current,composition/avx2/striped/k12/h0/u16/all/materialized,1,5,"[434.3141238345348,444.0776579227719,445.1266682382299,442.7761288906677,441.4343361594439]",442.7761288906677,"[433.36221884413214,443.10859623312024,444.14436631738477,441.8233508642452,440.4601825733668]",441.8233508642452,"[0.053016860819645364,0.054208698476900866,0.05433675149392455,0.054049820421224075,0.05388602736321337]",0.054049820421224075,8192.0,8192.0,5945.0
