scope,case,category,unit,before,after,ratio,before_min,before_max,after_min,after_max,separated_win,separated_loss,both_edges_agree,block_medians
bulk,bulk/series/avx512/striped/k5/h0/u64/decode,control,ns/value,0.059371781549338094,0.05916027531730691,0.9964375966745175,0.05900491311976887,0.05999645198304644,0.058808462416584495,0.05934618471776915,False,False,True,"[0.059183491255500355, 0.059178517292690684, 0.05914203334192313, 0.059694707552815356]"
bulk,bulk/series/avx512/striped/k5/h0/u64/encode,control,ns/value,0.060712301585162304,0.06066158661248873,0.9991646672692447,0.060642342211362284,0.06074682109380551,0.06063230399408287,0.060717740211261105,False,False,True,"[0.06070950046417488, 0.06064672129252964, 0.06067139195019029, 0.060715102706149736]"
resident,resident/predecessor/local/k7/h0/u64/get16,control,ns/query,1.5969203270754657,1.599008010755775,1.0013073186212944,1.594396503995992,1.5993960761687778,1.5938303531463762,1.6026827797113292,False,False,True,"[1.599230229908564, 1.6022372515926366, 1.5954621225758732, 1.594730365017327]"
resident,resident/predecessor/striped/k5/h0/u64/get16,control,ns/query,1.8031794284165898,1.7933383029642522,0.9945423482004898,1.7866578560919486,1.8198819310753942,1.786372288154759,1.8082139793212562,False,False,False,"[1.8128296597980835, 1.792957976396673, 1.7937186295318317, 1.792439147575168]"
resident,resident/predecessor/striped/k6/h0/u64/get16,control,ns/query,5.553839395188569,5.480747375004664,0.986839370931895,5.546051470277363,5.562323878530359,5.404266563560579,5.560376121171099,False,False,False,"[5.546713280060883, 5.5564083918598755, 5.408732835101645, 5.561713332910541]"
resident,resident/series/avx2/local/k7/h0/u64/get16,control,ns/query,2.702782222962215,2.7180705231772953,1.0056565046510941,2.6991152765880324,2.710551058658767,2.704599401787629,2.730092047327322,False,False,True,"[2.7096049081397267, 2.7300868451499083, 2.7053022678268084, 2.699499440934692]"
resident,resident/series/avx2/striped/k5/h0/u64/get16,affected,ns/query,6.041229339383626,5.514210413313517,0.9127629665315968,6.03586761827381,6.0465429637104195,5.4588128100428595,5.569230258122133,True,False,True,"[6.044309710088835, 5.490546065619413, 5.554423849719342, 6.038087849004692]"
resident,resident/series/avx2/striped/k6/h0/u64/get16,affected,ns/query,5.798029215196781,4.943732505965723,0.8526573983118394,5.7796564945192515,5.832441402775312,4.901555831542463,4.985904399627057,True,False,True,"[5.783965870840971, 4.968173251077557, 4.91056297861553, 5.820783112435509]"
resident,resident/series/avx512/local/k7/h0/u64/get16,control,ns/query,2.706341981058767,2.7120128946705524,1.0020954164889266,2.7040182292526347,2.708796560243256,2.7073231422041126,2.712704582398172,False,False,True,"[2.706664399591827, 2.711913852802225, 2.7123313368456667, 2.704087216931302]"
resident,resident/series/avx512/striped/k5/h0/u64/get16,affected,ns/query,6.979773351006941,6.164890715220212,0.8832508457213486,6.970842841716667,6.983992614071275,6.092507022734065,6.234714919800358,True,False,True,"[6.981075717064977, 6.225121561511794, 6.110609373833433, 6.971414674560622]"
resident,resident/series/avx512/striped/k6/h0/u64/get16,affected,ns/query,5.616401037211293,4.899159572619876,0.8722951833675416,5.6106474264832125,5.62205793311347,4.868648454771209,4.943700760265279,True,False,True,"[5.615128582121467, 4.886165598217807, 4.902398159198725, 5.618558156412115]"
