case,threads,method,updates,base_bytes,filter_bytes,digest,ors,reservations,positive_reads,false_positives,clean_reads,scanned,checksum,correct,ns_per_update,spread_percent,write_ns,read_ns,flush_ns,drain_ns,reset_ns
hot,4,word_check_span,8192,55653632,32768,13296192339615243068,4132,128,11,0,21,11264,12571949920618476691,1,99.68002678366268,5.451817200663827,71.11857156192555,2.655566047219669,26.54523423138787,6.383580824908087,20.170941521139703
hot,4,exact_top_span,8192,55653632,32768,13296192339615243068,4135,128,11,0,21,11264,12571949920618476691,1,99.02231619698664,19.25296526586124,70.9248604910714,2.734962681361606,25.321208844866078,6.288694545200891,18.91055559430803
hot,4,read_flush_span,8192,55653632,32768,13296192339615243068,4110,128,8,0,0,0,12571949920618476691,1,100.52663609601446,1.8452538502367295,72.63361391813856,1.1694105949954705,26.265393243319746,6.879309612771739,19.265159717504527
hot4096,1,eager_plain,32768,55653632,32768,16039925066027512191,0,0,0,0,0,0,4531844573321199073,1,5.2706016841992795,2.4333099591929774,5.009135515856528,0.26714457132171376,0.0,0.0,0.0
hot4096,1,eager_atomic,32768,55653632,32768,16039925066027512191,0,0,0,0,0,0,4531844573321199073,1,12.646082596813176,1.0768671472125684,12.362018832199865,0.2744331634301933,0.0,0.0,0.0
hot4096,1,eager_striped,32768,55653632,32768,16039925066027512191,0,0,0,0,0,0,4531844573321199073,1,10.839222901945657,1.519118179826372,10.560333640712079,0.26656890674761136,0.0,0.0,0.0
hot4096,1,scatter_record,32768,55653632,32768,16039925066027512191,1048576,32768,11,0,21,45056,4531844573321199073,1,44.930563675729864,1.3759674164853037,38.58285522460938,1.3192749023437502,5.0031200208162,4.849916960063733,0.13659667968749997
hot4096,1,word_or_record,32768,55653632,32768,16039925066027512191,262144,32768,11,0,21,45056,4531844573321199073,1,24.977661575096246,1.373724147374464,18.63121497112772,1.3016574140908066,5.01763473731884,4.899954090947692,0.11829807447350543
hot4096,1,word_check_record,32768,55653632,32768,16039925066027512191,4064,32768,11,0,21,45056,4531844573321199073,1,24.66574354574714,2.81361282928003,18.249944552569314,1.3121277715118844,5.103671221665934,4.854573854258364,0.20963770906690138
hot4096,1,word_check_span,32768,55653632,32768,16039925066027512191,4064,512,11,0,21,45056,4531844573321199073,1,24.19996105785102,2.165460280221162,17.879117723921663,1.3026974100462148,5.035127881547096,4.873359787632042,0.20245060450594185
hot4096,1,exact_top_span,32768,55653632,32768,16039925066027512191,4064,512,11,0,21,45056,4531844573321199073,1,23.018010319890198,2.5408884323313794,16.550012949350712,1.322212425438133,5.136798343142947,4.886350064664274,0.22013030181059975
hot4096,1,read_flush_span,32768,55653632,32768,16039925066027512191,4064,512,8,0,0,0,4531844573321199073,1,23.408862388297297,1.8820584805238736,17.961465913955475,0.3015400089629708,5.13665228020655,4.926496949914383,0.19415325008026543
hot4096,4,eager_atomic,32768,55653632,32768,16039925066027512191,0,0,0,0,0,0,4531844573321199073,1,105.11593437194824,3.0965474910527293,104.83371162414552,0.2719478607177735,0.0,0.0,0.0
hot4096,4,eager_striped,32768,55653632,32768,16039925066027512191,0,0,0,0,0,0,4531844573321199073,1,74.85344132133152,4.2789667110194465,74.57054735266647,0.27559761379076086,0.0,0.0,0.0
hot4096,4,scatter_record,32768,55653632,32768,16039925066027512191,1048576,32768,11,0,21,45056,4531844573321199073,1,385.0520935058594,10.217717820654913,378.29180297851565,1.4097167968750002,5.507305908203125,5.15606689453125,0.323980712890625
hot4096,4,word_or_record,32768,55653632,32768,16039925066027512191,262144,32768,11,0,21,45056,4531844573321199073,1,138.62364705403647,2.9614594541719512,131.78881327311197,1.4245885213216145,5.4242095947265625,5.210904439290364,0.2322820027669271
hot4096,4,word_check_record,32768,55653632,32768,16039925066027512191,4083,32768,11,0,21,45056,4531844573321199073,1,77.21639875932172,3.878071088592486,67.96220536665483,1.3662941672585225,7.927210027521308,5.196110118519177,2.7564683393998575
hot4096,4,word_check_span,32768,55653632,32768,16039925066027512191,4079,512,11,0,21,45056,4531844573321199073,1,29.998007938779633,4.872660106635434,21.02238516971983,1.3705612708782327,7.582603191507271,5.211090087890626,2.376927342908135
hot4096,4,exact_top_span,32768,55653632,32768,16039925066027512191,4140,512,11,0,21,45056,4531844573321199073,1,29.815613902698875,1.757476315389269,20.778899591619318,1.375571511008523,7.640561190518464,5.240268221768466,2.3784002130681814
hot4096,4,read_flush_span,32768,55653632,32768,16039925066027512191,4113,512,8,0,0,0,4531844573321199073,1,29.52245199269262,4.701882429360056,21.109411831559807,0.26850522797683185,7.948531052161908,5.391165897764011,2.6129423996497847
hot_roots,1,eager_plain,8192,55653632,32768,13296192339615243068,0,0,0,0,0,0,1013056908084022474,1,7.152251446565837,1.9452323486929985,5.582376833013035,1.5879197390959212,0.0,0.0,0.0
hot_roots,1,eager_atomic,8192,55653632,32768,13296192339615243068,0,0,0,0,0,0,1013056908084022474,1,14.567318094187762,11.091076593733217,12.93869755185884,1.6304039790712557,0.0,0.0,0.0
hot_roots,1,eager_striped,8192,55653632,32768,13296192339615243068,0,0,0,0,0,0,1013056908084022474,1,12.873677040213957,1.2113870949487398,11.202345207555975,1.697402043129081,0.0,0.0,0.0
hot_roots,1,scatter_record,8192,55653632,32768,13296192339615243068,262144,8192,512,0,0,524288,1013056908084022474,1,92.08435221354165,2.066429341332622,40.26295084635416,45.816061197916675,5.888098958333333,5.359715169270834,0.5021988932291666
hot_roots,1,word_or_record,8192,55653632,32768,13296192339615243068,65536,8192,512,0,0,524288,1013056908084022474,1,71.04939734417458,3.1526140414022237,19.2326487665591,45.846090565557056,5.911074431046195,5.371685525645383,0.5248214058254078
hot_roots,1,word_check_record,8192,55653632,32768,13296192339615243068,4064,8192,512,0,0,524288,1013056908084022474,1,71.6043912926499,0.6546803712840931,19.499806929607793,45.94363091916455,6.0647047393176035,5.4512229452327805,0.6650427993463011
hot_roots,1,word_check_span,8192,55653632,32768,13296192339615243068,4064,128,512,0,0,524288,1013056908084022474,1,70.64390012051194,1.3993534536559027,18.94569689162234,45.78404203374336,5.94776948969415,5.319820322888962,0.6772434965093085
hot_roots,1,exact_top_span,8192,55653632,32768,13296192339615243068,4064,128,512,0,0,524288,1013056908084022474,1,71.63802699850062,25.215137475743315,18.24529844341857,47.20330502288511,6.18942353219697,5.536060063525885,0.6533634686710857
hot_roots,1,read_flush_span,8192,55653632,32768,13296192339615243068,4064,128,8,0,0,0,1013056908084022474,1,29.065447671072814,4.4976642030275436,20.675036294119696,1.874849591936384,6.714972904750284,5.721230643136159,1.0503087724958153
hot_roots,4,eager_atomic,8192,55653632,32768,13296192339615243068,0,0,0,0,0,0,1013056908084022474,1,170.31075127180233,10.658761364495536,168.3660008630087,2.058920217114825,0.0,0.0,0.0
hot_roots,4,eager_striped,8192,55653632,32768,13296192339615243068,0,0,0,0,0,0,1013056908084022474,1,140.28768988715282,9.05276765909218,138.05943467881946,2.127647569444444,0.0,0.0,0.0
hot_roots,4,scatter_record,8192,55653632,32768,13296192339615243068,262144,8192,512,0,0,524288,1013056908084022474,1,528.4516225961539,4.5787656501697045,471.3926250751202,49.12427696814904,8.245398888221153,6.983558067908654,1.2618408203125
hot_roots,4,word_or_record,8192,55653632,32768,13296192339615243068,65536,8192,512,0,0,524288,1013056908084022474,1,254.29699254918984,2.304693990690182,199.03355577256949,47.5953097873264,7.897772894965277,6.717551902488427,1.180220992476852
hot_roots,4,word_check_record,8192,55653632,32768,13296192339615243068,4115,8192,512,0,0,524288,1013056908084022474,1,182.70607164171008,2.111292273760186,107.40830485026041,46.869873046875,28.169253879123264,6.852261013454862,21.24929809570312
hot_roots,4,word_check_span,8192,55653632,32768,13296192339615243068,4082,128,512,0,0,524288,1013056908084022474,1,148.24306852921197,2.8754913025019952,72.22041652513587,47.866871709408954,27.50336224099864,6.896065090013587,20.607297150985055
hot_roots,4,exact_top_span,8192,55653632,32768,13296192339615243068,4069,128,512,0,0,524288,1013056908084022474,1,146.26614040798611,4.191980459777586,71.6721218532986,46.75801323784723,26.554888237847226,6.676014539930556,19.878873697916667
hot_roots,4,read_flush_span,8192,55653632,32768,13296192339615243068,4115,128,8,0,0,0,1013056908084022474,1,103.4028408769248,29.692360843863757,74.0318957342618,1.884907155797101,28.929363748301633,6.905807716259057,22.023556032042574
