src,dst,edge,passes,p50_us_min,p50_us_max,p99_us_min,p99_us_max,p50_lo_us_min,p50_lo_us_max,p50_hi_us_min,p50_hi_us_max,p99_hi_us_min,p99_hi_us_max,rtt_p50_us_min,rtt_p50_us_max,rtt_p99_us_min,rtt_p99_us_max,passes_point_p50_le_110,passes_point_p99_le_110,passes_bounded_p50_le_110,passes_resolved_faster
6,10,az4a -> az6a,4,361.20918665803504,436.9398400456513,384.2376385129178,454.27693515679096,313.81136644889887,388.5853587577078,409.66915010380376,485.42909306286276,439.23249450294395,505.67691694454555,771.2405,868.5595000000001,801.6252299999999,888.5824799999999,0,0,0,0
6,11,az4a -> az6b,4,374.6099089066019,429.8777530630622,401.9248461959764,442.4929671597985,330.64126319984973,382.63614534499493,422.6461088851852,479.86009872077074,451.7244828808217,499.7570562242524,749.4555,865.883,791.019595,884.9081,0,0,0,0
7,0,az4b -> az1a,4,190.96808004664285,269.641217241189,206.56453602214415,285.64628617589295,145.46961303923925,227.7422977402403,243.12751509869855,322.1563669317818,261.3410549914395,340.001513703963,467.93975,526.19325,483.698995,547.7610199999999,0,0,0,0
7,1,az4b -> az1b,4,184.00685511721497,253.81335432845515,196.27531129964004,264.63421211196675,135.15973839179173,206.64126958273278,232.28200642317316,301.99402929169173,249.1197255967868,316.75847998904203,435.6985,506.11749999999995,450.65581,531.883505,0,0,0,0
7,2,az4b -> az2a,4,154.35427504802408,226.1283081858527,162.89587543704872,234.95037416930248,108.3255055372872,179.1554893644646,200.9527084216215,272.91493294974975,217.2014434996136,289.7698358498138,317.0795,446.07124999999996,327.547595,457.79646,0,0,0,0
7,3,az4b -> az2b,4,202.3206390015496,229.34368307468043,208.2449079495895,235.1104339336154,156.10801895165164,183.12664725275278,248.1626615004504,276.51148774094094,263.99397096497796,290.69318096387383,416.3695,433.551,425.87687,442.04242,0,0,0,0
7,4,az4b -> az3a,4,367.35771728301177,389.13166294509426,377.0258088188107,398.12026592970705,0.0,0.0,720.7100547955956,757.3493054396397,730.6625579722732,767.9654085468879,720.4935,757.1395,730.44635,767.77107,0,0,0,0
7,5,az4b -> az3b,4,363.66190916533185,383.55885178916935,371.8323260956267,394.3094260442157,0.0,11.137850546537301,714.2375427065065,738.4309220557558,726.0701827471152,746.881741993115,714.015,738.242,725.847755,746.6904599999999,0,0,0,0
7,8,az4b -> az5a,4,230.92699182292705,242.49990840462723,240.20248670886275,252.90842869906916,182.7525284507007,194.2501444767768,281.80145702572565,290.06227010930934,296.68053240522624,306.94473268727023,463.615,477.81174999999996,478.1243449999999,492.85694,0,0,0,0
7,9,az4b -> az5b,4,133.41704669679623,152.8595228841439,144.94428707355974,161.38763087344918,85.43375154214215,105.1498131022523,183.02822325415417,200.19859783283283,197.45850680540943,216.52214357914912,281.7795,295.15925000000004,296.010645,305.512665,0,0,0,0
