input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:logical_values,counter:active_values,counter:selected_values,counter:encoded_bytes,counter:native_fragment_values
gnr,composition/avx512/local/k12/h0/u16/all/materialized,1,5,"[1614.8839395248308,1613.22186897048,1611.830577393809,1617.1312023038095,1623.9710698344027]",1614.8839395248308,"[1615.2998531310832,1613.5260187185993,1611.9795478769354,1639.1751015120772,1664.968858171237]",1615.2998531310832,"[0.19712938714902717,0.19692649767706052,0.1967566622795177,0.19740371121872677,0.19823865598564483]",0.19712938714902717,8192.0,8192.0,5945.0,12288.0,
gnr,composition/avx512/local/k12/h0/u16/prefilter75/authored,1,5,"[2897.398090716731,2898.1518241395042,2900.8513339181586,2896.4192579596647,2899.386903348998]",2898.1518241395042,"[2898.1222663695135,2898.8349760060846,2901.449238866347,2896.7879560343517,2900.0644202481444]",2898.8349760060846,"[0.3536862903706947,0.3537782988451543,0.35410782884743147,0.3535668039501544,0.3539290653502195]",0.3537782988451543,8192.0,6144.0,4435.0,12288.0,8.0
gnr,composition/avx512/local/k12/h0/u16/prefilter75/authored-u64-carrier,1,5,"[2133.911810050066,2134.6185126388905,2132.3291534375526,2134.667663939415,2132.816888508971]",2133.911810050066,"[2134.6837373305234,2134.835610268922,2132.971386921759,2134.8958816707996,2133.2405971435055]",2134.6837373305234,"[0.2604872815002522,0.26057354890611456,0.2602940861129825,0.26057954882072937,0.2603536240855678]",0.2604872815002522,8192.0,6144.0,4435.0,12288.0,8.0
gnr,composition/avx512/local/k12/h0/u16/prefilter75/direct,1,5,"[2880.191818256827,2882.9989481499797,2882.856804025902,2887.4333415831616,2883.7904137276523]",2882.9989481499797,"[2880.7251165288744,2883.3702512062596,2883.5114569154134,2887.825815699525,2886.0895413112157]",2883.5114569154134,"[0.3515859153145541,0.3519285825378393,0.3519112309601931,0.3524698903299758,0.3520251969882388]",0.3519285825378393,8192.0,6144.0,4435.0,12288.0,8.0
gnr,composition/avx512/local/k12/h0/u16/prefilter75/grouped32-authored-probe,1,5,"[1074.5134407056744,1073.6467441494915,1072.5884864021698,1073.0306444257997,1073.212330578126]",1073.212330578126,"[1074.876491123258,1073.763133188962,1072.7227325160216,1073.3267078228496,1073.381432474125]",1073.381432474125,"[0.1311661914923919,0.131060393572936,0.13093121171901487,0.13098518608713375,0.13100736457252513]",0.13100736457252513,8192.0,6144.0,4435.0,12288.0,32.0
gnr,composition/avx512/local/k12/h0/u16/prefilter75/grouped32-authored-u64-carrier-probe,1,5,"[856.844717166128,858.4414445057289,857.7720046577296,855.7959796531302,857.379365079374]",857.379365079374,"[856.965018079518,858.6254948825475,858.7798737510523,855.8898970398699,857.5582766443893]",857.5582766443893,"[0.10459530238844335,0.10479021539376575,0.1047084966623205,0.10446728267250123,0.10466056702629077]",0.10466056702629077,8192.0,6144.0,4435.0,12288.0,32.0
gnr,composition/avx512/local/k12/h0/u16/prefilter75/materialized,1,5,"[1749.713555864687,1747.2657213970747,1749.0387755993374,1748.1397630796007,1747.8796559102298]",1748.1397630796007,"[1750.3069360653687,1747.7435982218306,1754.6550244214204,1748.3730841450304,1748.6272339950688]",1748.6272339950688,"[0.2135880805498885,0.21328927263147884,0.21350570991202852,0.2133959671728028,0.2133642158093542]",0.2133959671728028,8192.0,6144.0,4435.0,12288.0,
gnr,composition/avx512/local/k31/h0/u32/all/authored,1,5,"[2888.6280350464185,2887.078575413805,2888.7825718594963,2886.320914181778,2886.980555038959]",2887.078575413805,"[2888.9839542916816,2887.7737792657867,2889.303060359577,2886.673051888002,2887.621608497324]",2887.7737792657867,"[0.35261572693437726,0.352426583912818,0.3526345912914424,0.35233409596945536,0.3524146185350292]",0.352426583912818,8192.0,8192.0,5844.0,31744.0,8.0
gnr,composition/avx512/local/k31/h0/u32/all/authored-u64-carrier,1,5,"[2071.033220637971,2056.7375422607483,2057.5103263266474,2063.0832353373557,2059.083014846404]",2059.083014846404,"[2071.5864545049667,2057.23421284738,2057.728230193855,2063.5981184777356,2059.7295237395033]",2059.7295237395033,"[0.25281167244115865,0.2510665945142515,0.2511609285066709,0.25184121525114206,0.25135290708574265]",0.25135290708574265,8192.0,8192.0,5844.0,31744.0,8.0
gnr,composition/avx512/local/k31/h0/u32/all/direct,1,5,"[2907.310660657607,2912.5764813391584,2907.174146918924,2909.749288666428,2908.7505971048254]",2908.7505971048254,"[2908.197065361263,2913.1399198322297,2907.4919001434982,2910.6261189204974,2909.251780929334]",2909.251780929334,"[0.35489632088105555,0.3555391212572215,0.35487965660631404,0.35519400496416365,0.3550720943731477]",0.3550720943731477,8192.0,8192.0,5844.0,31744.0,8.0
gnr,composition/avx512/local/k31/h0/u32/all/grouped16-authored-probe,1,5,"[1879.2382301027712,1879.9874968960357,1882.3112890344485,1880.0376838049801,1879.7260457843543]",1879.9874968960357,"[1882.0748307081647,1880.210129997325,1883.1074944790225,1880.618014402705,1880.0552136542983]",1880.618014402705,"[0.2293991980105922,0.2294906612421919,0.22977432727471298,0.22949678757385011,0.22945874582328543]",0.2294906612421919,8192.0,8192.0,5844.0,31744.0,16.0
gnr,composition/avx512/local/k31/h0/u32/all/grouped16-authored-u64-carrier-probe,1,5,"[1415.0434896819816,1414.575696496686,1412.7864716728488,1414.3964992043516,1416.0189234927138]",1414.575696496686,"[1415.4142103013646,1414.8749513777495,1413.0380591541502,1414.577939430154,1416.3032658940856]",1414.8749513777495,"[0.17273480098657001,0.1726776973262556,0.17245928609287706,0.1726558226567812,0.17285387249666917]",0.1726776973262556,8192.0,8192.0,5844.0,31744.0,16.0
gnr,composition/avx512/local/k31/h0/u32/all/materialized,1,5,"[2272.0614862407406,2269.2636440780666,2265.4113549116983,2264.4773911988846,2273.273503859086]",2269.2636440780666,"[2273.7902695276275,2270.0886006371743,2266.814741179884,2265.230735037793,2273.5097749227007]",2270.0886006371743,"[0.27735125564462165,0.27700972217749836,0.2765394720351194,0.2764254627928326,0.27749920701404857]",0.27700972217749836,8192.0,8192.0,5844.0,31744.0,
gnr,composition/avx512/local/k31/h0/u32/prefilter75/authored,1,5,"[2883.2266061777136,2881.039259251574,2887.1692105780185,2883.7256709415174,2883.9021050564756]",2883.7256709415174,"[2883.9628902411773,2881.3691857771964,2888.126623745645,2884.2584765455863,2884.2545599225923]",2884.2545599225923,"[0.35195637282442793,0.35168936270160817,0.352437647775637,0.35201729381610314,0.3520388311836518]",0.35201729381610314,8192.0,6144.0,4401.0,31744.0,8.0
gnr,composition/avx512/local/k31/h0/u32/prefilter75/authored-u64-carrier,1,5,"[2076.8663048840563,2070.772761746286,2073.7011022833394,2066.0482147721937,2065.364578194345]",2070.772761746286,"[2077.1591720730135,2071.547077144754,2074.181497544578,2066.281321562904,2065.793945909613]",2071.547077144754,"[0.253523718857917,0.2527798781428572,0.2531373415873217,0.25220315121730874,0.2521196994866144]",0.2527798781428572,8192.0,6144.0,4401.0,31744.0,8.0
gnr,composition/avx512/local/k31/h0/u32/prefilter75/direct,1,5,"[2871.6772225360664,2870.010466848117,2874.803266396158,2876.015695136372,2875.007714036295]",2874.803266396158,"[2872.431102664734,2870.3384931440983,2875.3725951422693,2876.389563965542,2875.6808997980716]",2875.3725951422693,"[0.3505465359541097,0.35034307456642055,0.35092813310499976,0.3510761346602016,0.3509530900923212]",0.35092813310499976,8192.0,6144.0,4401.0,31744.0,8.0
gnr,composition/avx512/local/k31/h0/u32/prefilter75/grouped16-authored-probe,1,5,"[1893.5770886932694,1895.8785578876225,1893.477935003404,1895.1819837508565,1894.4782735274148]",1894.4782735274148,"[1893.7643466484433,1896.1362694643867,1894.2352268112415,1895.5711442123952,1894.6824915361594]",1894.6824915361594,"[0.23114954695962764,0.23143048802339142,0.23113744323772017,0.23134545700083697,0.231259554873952]",0.231259554873952,8192.0,6144.0,4401.0,31744.0,16.0
gnr,composition/avx512/local/k31/h0/u32/prefilter75/grouped16-authored-u64-carrier-probe,1,5,"[1453.8596765563084,1454.8522320524023,1455.7007808157218,1454.9394517146206,1454.4758144536488]",1454.8522320524023,"[1454.2892602776376,1455.153565621667,1455.8579985552885,1455.27617395057,1454.71361777976]",1455.153565621667,"[0.1774731050483775,0.1775942666079593,0.17769784922066917,0.1776049135393824,0.17754831719404895]",0.1775942666079593,8192.0,6144.0,4401.0,31744.0,16.0
gnr,composition/avx512/local/k31/h0/u32/prefilter75/materialized,1,5,"[2353.101459194121,2353.9139269811485,2359.7219166392033,2356.088100850808,2354.7365592760775]",2354.7365592760775,"[2353.6025533794045,2354.1827414593276,2360.323836319501,2356.729504111507,2355.2023100391307]",2355.2023100391307,"[0.28724383046803237,0.28734300866469104,0.2880519917772465,0.28760841074838966,0.28744342764600556]",0.28744342764600556,8192.0,6144.0,4401.0,31744.0,
