scope,case,best_ordinary,ordinary_ns,best_retained_prior,prior_ns,ratio,same_wire
bulk,local/k24/h16/u64/encode,bulk/series/avx2/local/k24/h16/u64/encode,0.13342727423219325,bulk/calico/local/k24/h0/u64/encode,0.0636072452114633,2.0976741531347907,False
bulk,local/k25/h16/u64/encode,bulk/series/avx512/local/k25/h16/u64/encode,0.16039447500612747,bulk/calico/local/k25/h0/u64/encode,0.0858790810352407,1.8676780546860905,False
bulk,local/k26/h16/u64/encode,bulk/series/avx512/local/k26/h16/u64/encode,0.14751181820899548,bulk/calico/striped/k26/h0/u64/encode,0.08728245664056863,1.6900511727855332,False
bulk,local/k27/h16/u64/encode,bulk/series/avx512/local/k27/h16/u64/encode,0.14906909262282933,bulk/calico/striped/k27/h0/u64/encode,0.08705564063889326,1.7123427216068379,False
bulk,local/k28/h16/u64/encode,bulk/series/avx512/local/k28/h16/u64/encode,0.14518088058489997,bulk/calico/striped/k28/h0/u64/encode,0.0852439165573391,1.7031230667028825,False
bulk,local/k29/h16/u64/encode,bulk/series/avx512/local/k29/h16/u64/encode,0.1512292552163912,bulk/calico/striped/k29/h0/u64/encode,0.08780700672802613,1.7222914303958619,False
bulk,local/k30/h16/u64/encode,bulk/series/avx512/local/k30/h16/u64/encode,0.1511301745647719,bulk/calico/striped/k30/h0/u64/encode,0.08733020515441287,1.7305601687016667,False
bulk,local/k31/h16/u64/encode,bulk/series/avx512/local/k31/h16/u64/encode,0.14953542932703184,bulk/calico/striped/k31/h0/u64/encode,0.08938236435569052,1.6729858334465917,False
bulk,local/k32/h16/u64/encode,bulk/series/avx2/local/k32/h16/u64/encode,0.1373306290417242,bulk/calico/striped/k32/h0/u64/encode,0.07283299241692126,1.8855552200244106,False
bulk,local/k33/h16/u64/encode,bulk/series/avx512/local/k33/h16/u64/encode,0.15844838771492656,bulk/calico/local/k33/h0/u64/encode,0.08683910375360562,1.8246202559218336,False
bulk,local/k34/h16/u64/encode,bulk/series/avx512/local/k34/h16/u64/encode,0.14788256512743386,bulk/calico/striped/k34/h0/u64/encode,0.08725311723550447,1.6948685595757542,False
bulk,local/k35/h16/u64/encode,bulk/series/avx512/local/k35/h16/u64/encode,0.1493240564796416,bulk/calico/striped/k35/h0/u64/encode,0.08770267127641107,1.7026169705711631,False
bulk,local/k36/h16/u64/encode,bulk/series/avx512/local/k36/h16/u64/encode,0.1460270596255835,bulk/calico/striped/k36/h0/u64/encode,0.08580119490613303,1.7019233798006879,False
bulk,local/k37/h16/u64/encode,bulk/series/avx512/local/k37/h16/u64/encode,0.1509577662036331,bulk/calico/striped/k37/h0/u64/encode,0.08887530097107708,1.6985345146989677,False
bulk,local/k38/h16/u64/encode,bulk/series/avx512/local/k38/h16/u64/encode,0.15035969963810125,bulk/calico/striped/k38/h0/u64/encode,0.0882724577812875,1.7033591611400147,False
bulk,local/k39/h16/u64/encode,bulk/series/avx512/local/k39/h16/u64/encode,0.14869355596727526,bulk/calico/striped/k39/h0/u64/encode,0.08877836105145495,1.6748851207232147,False
bulk,local/k40/h16/u64/encode,bulk/series/avx512/local/k40/h16/u64/encode,0.14782158332700082,bulk/calico/local/k40/h0/u64/encode,0.07897668913469308,1.8717115764994179,False
bulk,local/k41/h16/u64/encode,bulk/series/avx512/local/k41/h16/u64/encode,0.1630285477537265,bulk/calico/local/k41/h0/u64/encode,0.1062733931790373,1.5340485786416413,False
bulk,local/k42/h16/u64/encode,bulk/series/avx512/local/k42/h16/u64/encode,0.15854030327264212,bulk/calico/striped/k42/h0/u64/encode,0.10656804155134501,1.4876908777220665,False
bulk,local/k43/h16/u64/encode,bulk/series/avx512/local/k43/h16/u64/encode,0.16266245244637825,bulk/calico/striped/k43/h0/u64/encode,0.10858515869207232,1.4980173571202235,False
bulk,local/k44/h16/u64/encode,bulk/series/avx512/local/k44/h16/u64/encode,0.15596269083658815,bulk/calico/striped/k44/h0/u64/encode,0.10774655469855018,1.4474958505442286,False
bulk,local/k45/h16/u64/encode,bulk/series/avx512/local/k45/h16/u64/encode,0.16497564994210437,bulk/calico/striped/k45/h0/u64/encode,0.10859834079271805,1.5191360083207335,False
bulk,local/k46/h16/u64/encode,bulk/series/avx512/local/k46/h16/u64/encode,0.1629454593326669,bulk/calico/striped/k46/h0/u64/encode,0.106522871307589,1.5296758088894868,False
bulk,local/k47/h16/u64/encode,bulk/series/avx512/local/k47/h16/u64/encode,0.16259019053533896,bulk/calico/striped/k47/h0/u64/encode,0.10997236401410644,1.4784640849812332,False
bulk,local/k48/h16/u64/encode,bulk/series/avx512/local/k48/h16/u64/encode,0.1475741372961354,bulk/calico/striped/k48/h0/u64/encode,0.07703126090394091,1.9157694624804655,False
bulk,local/k49/h16/u64/encode,bulk/series/avx512/local/k49/h16/u64/encode,0.15985666823766365,bulk/calico/local/k49/h0/u64/encode,0.08878040790364264,1.8005849715306925,False
bulk,local/k50/h16/u64/encode,bulk/series/avx512/local/k50/h16/u64/encode,0.14682641622034975,bulk/calico/striped/k50/h0/u64/encode,0.08764955254657966,1.6751530607337863,False
bulk,local/k51/h16/u64/encode,bulk/series/avx512/local/k51/h16/u64/encode,0.15267038158606916,bulk/calico/striped/k51/h0/u64/encode,0.08889442349804708,1.7174348578729821,False
bulk,local/k52/h16/u64/encode,bulk/series/avx512/local/k52/h16/u64/encode,0.14787104519818223,bulk/calico/striped/k52/h0/u64/encode,0.08681707865464114,1.7032483411059491,False
bulk,local/k53/h16/u64/encode,bulk/series/avx512/local/k53/h16/u64/encode,0.1541171853682582,bulk/calico/striped/k53/h0/u64/encode,0.08750827038861547,1.7611727975406117,False
bulk,local/k54/h16/u64/encode,bulk/series/avx512/local/k54/h16/u64/encode,0.15128418285431317,bulk/calico/striped/k54/h0/u64/encode,0.08806654720909901,1.7178393799760838,False
bulk,local/k55/h16/u64/encode,bulk/series/avx512/local/k55/h16/u64/encode,0.15336392210993705,bulk/calico/striped/k55/h0/u64/encode,0.09026422417926183,1.6990554508656857,False
bulk,local/k56/h16/u64/encode,bulk/series/avx512/local/k56/h16/u64/encode,0.15592406183432428,bulk/calico/local/k56/h0/u64/encode,0.08205338607212051,1.9002757753016484,False
bulk,local/k57/h16/u64/encode,bulk/series/avx512/local/k57/h16/u64/encode,0.16055167490822772,bulk/calico/local/k57/h0/u64/encode,0.1083789827599974,1.481391233056371,False
bulk,local/k58/h16/u64/encode,bulk/series/avx512/local/k58/h16/u64/encode,0.1581998696067267,bulk/calico/striped/k58/h0/u64/encode,0.1080011567759893,1.4647979181820903,False
bulk,local/k59/h16/u64/encode,bulk/series/avx512/local/k59/h16/u64/encode,0.16391615185605413,bulk/calico/striped/k59/h0/u64/encode,0.10811542375077311,1.5161218091686202,False
bulk,local/k60/h16/u64/encode,bulk/series/avx512/local/k60/h16/u64/encode,0.15572158648594311,bulk/calico/striped/k60/h0/u64/encode,0.10594781740199312,1.4697951340997955,False
bulk,local/k61/h16/u64/encode,bulk/series/avx512/local/k61/h16/u64/encode,0.16720238752532363,bulk/calico/striped/k61/h0/u64/encode,0.1088453129336046,1.5361468768739424,False
bulk,local/k62/h16/u64/encode,bulk/series/avx512/local/k62/h16/u64/encode,0.16019152603130482,bulk/calico/striped/k62/h0/u64/encode,0.10726387560365162,1.4934340674322173,False
bulk,local/k63/h16/u64/encode,bulk/series/avx512/local/k63/h16/u64/encode,0.16483695653544184,bulk/calico/striped/k63/h0/u64/encode,0.10936677287482396,1.5071941157494555,False
bulk,local/k64/h16/u64/encode,bulk/series/avx512/local/k64/h16/u64/encode,0.15918354303336332,bulk/calico/local/k64/h0/u64/encode,0.08432439596854532,1.887751951318358,False
bulk,striped/k17/h16/u64/encode,bulk/series/avx2/striped/k17/h16/u64/encode,0.15164513930492923,bulk/calico/local/k17/h0/u64/encode,0.06827063407247046,2.2212352553215675,False
bulk,striped/k18/h16/u64/encode,bulk/series/avx512/striped/k18/h16/u64/encode,0.13470040477633144,bulk/calico/striped/k18/h0/u64/encode,0.06643666522474731,2.0275009939264117,False
bulk,striped/k19/h16/u64/encode,bulk/series/avx2/striped/k19/h16/u64/encode,0.15026754637304296,bulk/calico/local/k19/h0/u64/encode,0.07031067380008646,2.1371939458338427,False
bulk,striped/k20/h16/u64/encode,bulk/series/avx512/striped/k20/h16/u64/encode,0.13056467759017693,bulk/calico/striped/k20/h0/u64/encode,0.06575039066239335,1.9857627654348646,False
bulk,striped/k21/h16/u64/encode,bulk/series/avx2/striped/k21/h16/u64/encode,0.1539329314639719,bulk/calico/striped/k21/h0/u64/encode,0.06989186299877552,2.202444245429096,False
bulk,striped/k22/h16/u64/encode,bulk/series/avx2/striped/k22/h16/u64/encode,0.13542668884724357,bulk/calico/striped/k22/h0/u64/encode,0.06866277969017573,1.9723449801817508,False
bulk,striped/k23/h16/u64/encode,bulk/series/avx2/striped/k23/h16/u64/encode,0.1559566063855214,bulk/calico/striped/k23/h0/u64/encode,0.06855237950643017,2.2749991686414437,False
bulk,striped/k26/h16/u64/encode,bulk/series/avx2/striped/k26/h16/u64/encode,0.1336672418232941,bulk/calico/striped/k26/h0/u64/encode,0.08728245664056863,1.5314330848149609,False
bulk,striped/k28/h16/u64/encode,bulk/series/avx512/striped/k28/h16/u64/encode,0.13349865095912558,bulk/calico/striped/k28/h0/u64/encode,0.0852439165573391,1.5660783355646037,False
bulk,striped/k30/h16/u64/encode,bulk/series/avx2/striped/k30/h16/u64/encode,0.1357734912402429,bulk/calico/striped/k30/h0/u64/encode,0.08733020515441287,1.55471398469951,False
bulk,striped/k31/h16/u64/encode,bulk/series/avx2/striped/k31/h16/u64/encode,0.16026602309083818,bulk/calico/striped/k31/h0/u64/encode,0.08938236435569052,1.7930385288653963,False
bulk,striped/k36/h16/u64/encode,bulk/series/avx512/striped/k36/h16/u64/encode,0.13899895661068026,bulk/calico/striped/k36/h0/u64/encode,0.08580119490613303,1.620011898001489,False
large,local/k16/h16/u64/encode,bulk/series/avx512/local/k16/h16/u64/encode,0.13510243219938906,bulk/calico/local/k16/h0/u64/encode,0.08125191350137043,1.662760006225704,False
large,local/k17/h16/u64/encode,bulk/series/avx512/local/k17/h16/u64/encode,0.1968613123893731,bulk/calico/local/k17/h0/u64/encode,0.09431605384900046,2.0872513676679803,False
large,local/k18/h16/u64/encode,bulk/series/avx512/local/k18/h16/u64/encode,0.19396722284997708,bulk/calico/striped/k18/h0/u64/encode,0.09782663068514502,1.9827650353640465,False
large,local/k19/h16/u64/encode,bulk/series/avx512/local/k19/h16/u64/encode,0.20019401487444394,bulk/calico/striped/k19/h0/u64/encode,0.11592839241236802,1.7268764856355059,False
large,local/k20/h16/u64/encode,bulk/series/avx512/local/k20/h16/u64/encode,0.19914027242479637,bulk/calico/striped/k20/h0/u64/encode,0.09773310003234303,2.0375929174342615,False
large,local/k21/h16/u64/encode,bulk/series/avx512/local/k21/h16/u64/encode,0.19609934675927188,bulk/calico/local/k21/h0/u64/encode,0.09856166133174207,1.9896108092094174,False
large,local/k22/h16/u64/encode,bulk/series/avx512/local/k22/h16/u64/encode,0.2015301612335834,bulk/calico/striped/k22/h0/u64/encode,0.09432674889030668,2.1365112611688164,False
