input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:body_bytes_per_block,counter:population_per_block,counter:blocks_per_call
neoverse-v2,codec/population254/prepare_checked,1,5,"[32.19232970675418,32.21869346641244,32.17887083390266,32.24422050023934,32.244218201549984]",32.21869346641244,"[32.19161711013964,32.23267874008102,32.17810077062599,32.310354022723786,32.26418928432418]",32.23267874008102,,,2.0,254.0,1.0
neoverse-v2,codec/population254/spike_decode_padded,1,5,"[84.04723411667467,84.01218538113615,84.0396910714651,84.0176204574991,84.01029961984976]",84.0176204574991,"[84.04539639907135,84.01008942431977,84.0374810078717,84.04692782961801,84.00855799104207]",84.0374810078717,,,2.0,254.0,1.0
neoverse-v2,codec/population254/spike_encode_wide,1,5,"[25.92065249237265,25.932112088943285,25.905115282053718,25.905806937320946,25.91551236264189]",25.91551236264189,"[25.91992375106223,25.94599340616699,25.9045738258494,25.90524508341901,25.92698123117953]",25.91992375106223,,,2.0,254.0,1.0
neoverse-v2,codec/population254/spike_pair_materialized,1,5,"[167.00834207264586,166.89297120791076,166.92891362382755,166.89686814758792,167.0188888359052]",166.92891362382755,"[167.09586233095058,166.88932452967168,166.92430164717595,166.89223233961647,167.08804461854055]",166.92430164717595,,,2.0,254.0,2.0
neoverse-v2,codec/population255/decode_exact,1,5,"[88.06034477331181,88.04748028472187,88.03463467747683,88.07045887957295,88.02554016377357]",88.04748028472187,"[88.09866760651605,88.04540963011655,88.032375209892,88.10669847215142,88.02335622248513]",88.04540963011655,,,1.0,255.0,1.0
neoverse-v2,codec/population255/decode_padded,1,5,"[85.04114854032125,84.98367902073372,85.13136931073312,85.10987516395343,85.08739131489574]",85.08739131489574,"[85.03893840681857,84.98162675523952,85.16915407762349,85.28896876677594,85.08574586011895]",85.08574586011895,,,1.0,255.0,1.0
neoverse-v2,codec/population255/encode_bound_exact,1,5,"[4.4606715844116005,4.4145107119571625,4.430523062091518,4.4822270725655855,4.456145289297699]",4.456145289297699,"[4.463417218405482,4.414402860194962,4.430404773120256,4.482879243670866,4.4560453445706605]",4.4560453445706605,,,1.0,255.0,1.0
neoverse-v2,codec/population255/encode_checked_exact,1,5,"[6.737401198958354,6.7701405036786815,6.753491671494672,6.762528825737189,6.7673419724377855]",6.762528825737189,"[6.742602456296913,6.7699692925202655,6.753307956305792,6.7655000109605705,6.767187593939236]",6.7655000109605705,,,1.0,255.0,1.0
neoverse-v2,codec/population255/encode_staged_exact,1,5,"[21.40225330071312,21.43078787582658,21.43434266248139,21.451387604703264,21.37819965185764]",21.43078787582658,"[21.401706175264938,21.430201014599977,21.44545480956101,21.51084087683859,21.37771671433516]",21.430201014599977,,,1.0,255.0,1.0
neoverse-v2,codec/population255/native_encode_admitted_exact,1,5,"[3.3486517696984093,3.3462151065458765,3.34677610629303,3.3479646407407304,3.3471980527755236]",3.3471980527755236,"[3.3485660880811006,3.3461272708077328,3.346699279981573,3.3492903137151044,3.3471233804505562]",3.3471233804505562,,,1.0,255.0,1.0
neoverse-v2,codec/population255/native_encode_checked_exact,1,5,"[6.2233137818838085,6.229101858861886,6.224849829656494,6.220646705010494,6.220855660859618]",6.2233137818838085,"[6.223172403225302,6.231688909972663,6.224712896750571,6.220488432130149,6.220684494905696]",6.223172403225302,,,1.0,255.0,1.0
neoverse-v2,codec/population255/native_encode_wide,1,5,"[2.682568170053748,2.681101407060359,2.682161204694336,2.682889791594029,2.679404311646101]",2.682161204694336,"[2.68386865646469,2.681041186942462,2.6820837239918034,2.69003719258595,2.680391614974098]",2.6820837239918034,,,1.0,255.0,1.0
neoverse-v2,codec/population255/native_pair_exact_materialized,1,5,"[169.56661972855002,169.51050037631015,169.55786739177003,169.71452329502574,169.57483794214068]",169.56661972855002,"[169.68650610477357,169.50708927414016,169.5539707241033,169.78259972701966,169.57106266202058]",169.57106266202058,,,1.0,255.0,2.0
neoverse-v2,codec/population255/native_pair_materialized,1,5,"[165.84196875851322,165.8050782221688,165.79360248226166,166.17962079134176,166.31404919529336]",165.84196875851322,"[166.0353391230434,165.893035208321,165.7903338535638,166.31815867128103,166.30771325835343]",166.0353391230434,,,1.0,255.0,2.0
neoverse-v2,codec/population255/prepare_checked,1,5,"[10.481400347348288,10.453709239997556,10.474373103367405,10.452172804034658,10.446411169168469]",10.453709239997556,"[10.879004917656028,10.453405403790873,10.486033662253456,10.451922232933034,10.452733213001135]",10.453405403790873,,,1.0,255.0,1.0
neoverse-v2,codec/population255/spike_decode_padded,1,5,"[84.01039934193457,84.04477361017501,84.0033083356734,84.00478537848116,83.99513656641076]",84.00478537848116,"[84.00836390692344,84.08626290165593,84.0014230035991,84.00253378971783,84.03401401222054]",84.00836390692344,,,1.0,255.0,1.0
neoverse-v2,codec/population255/spike_encode_wide,1,5,"[25.915683587196312,25.905802409837147,25.918413522077444,25.903881069794352,25.91671287649742]",25.915683587196312,"[25.914923211610454,25.91302412631533,25.92999534447635,25.903332116090343,25.91600813766873]",25.914923211610454,,,1.0,255.0,1.0
neoverse-v2,codec/population255/spike_pair_materialized,1,5,"[166.9692717096521,166.96627644722776,166.9400112173214,166.91151445723318,166.88518956073875]",166.9400112173214,"[166.9622907206709,167.0789030893726,166.9363476933502,166.9074809963884,166.8807384344558]",166.9363476933502,,,1.0,255.0,2.0
neoverse-v2,codec/population32/decode_exact,1,5,"[88.12725933480444,88.213332829681,88.14453447158552,88.20810118295438,88.13996386324337]",88.14453447158552,"[88.12516919532845,88.25587851862504,88.14252617461875,88.20590401468256,88.13768485497856]",88.14252617461875,,,20.21875,32.0,1.0
neoverse-v2,codec/population32/decode_padded,1,5,"[85.02520023561155,85.01106988662964,85.0574686818752,85.09825055714595,85.1754604356302]",85.0574686818752,"[85.07513313816317,85.0089506383937,85.05525835025496,85.0968053407878,85.22886064567525]",85.07513313816317,,,20.21875,32.0,1.0
neoverse-v2,codec/population32/encode_bound_exact,1,5,"[36.80129862274543,36.8073446609997,36.78820720106767,36.780622697232516,36.75735636385585]",36.78820720106767,"[36.80050440728611,36.824241483750825,36.787368277062725,36.77978114228318,36.75646221323634]",36.787368277062725,,,20.21875,32.0,1.0
neoverse-v2,codec/population32/encode_checked_exact,1,5,"[37.547029663173184,37.54095500950868,37.56519467295732,37.580937324152096,37.57169002385052]",37.56519467295732,"[37.546094481763184,37.53997159668568,37.594005734855386,37.579967309188426,37.57074412534305]",37.57074412534305,,,20.21875,32.0,1.0
neoverse-v2,codec/population32/encode_staged_exact,1,5,"[44.653426383452874,44.411708701075575,44.5780151634882,44.47662480680611,44.41654210264109]",44.47662480680611,"[44.67441978514383,44.41064237046819,44.57671081112719,44.49488256121992,44.41548211857488]",44.49488256121992,,,20.21875,32.0,1.0
neoverse-v2,codec/population32/native_encode_admitted_exact,1,5,"[32.93748085379047,32.943204686520346,32.96027250062157,32.990310251057075,32.9285263192655]",32.943204686520346,"[32.93666551929563,32.95853343647197,33.033268451282815,32.998527214684074,32.92788536324088]",32.95853343647197,,,20.21875,32.0,1.0
neoverse-v2,codec/population32/native_encode_checked_exact,1,5,"[38.248744487494044,38.23505543927734,38.25774483177159,38.24465143475541,38.24037258255916]",38.24465143475541,"[38.247771773085915,38.234161962670704,38.281114578812456,38.25955637649433,38.23961025804547]",38.247771773085915,,,20.21875,32.0,1.0
neoverse-v2,codec/population32/native_encode_wide,1,5,"[24.866363286756286,24.86933833269004,24.867972767022692,24.863854705236573,24.867484937827754]",24.867484937827754,"[24.865692076124976,24.868697388627414,24.880405290191423,24.863313463752576,24.86682440975609]",24.86682440975609,,,20.21875,32.0,1.0
neoverse-v2,codec/population32/native_pair_exact_materialized,1,5,"[169.83075095172993,169.54236075750643,169.61041196866785,169.73014718362407,169.75403118255198]",169.73014718362407,"[170.23177177758103,169.64334036614653,169.71154918837075,170.4726243272569,169.75110932995946]",169.75110932995946,,,20.21875,32.0,2.0
neoverse-v2,codec/population32/native_pair_materialized,1,5,"[165.81001125525265,165.58123333924328,165.80174160297008,166.0095491973067,165.82238019073444]",165.81001125525265,"[165.80631479336128,165.57721698944223,165.79759493141933,166.0676855650155,165.81887328757384]",165.80631479336128,,,20.21875,32.0,2.0
neoverse-v2,codec/population32/prepare_checked,1,5,"[32.1399621829259,32.09569463630632,32.14594223717477,32.100522738430776,32.13164150882782]",32.13164150882782,"[32.15449467860073,32.09493967127131,32.238233796239776,32.0998021939853,32.14637364592168]",32.14637364592168,,,20.21875,32.0,1.0
neoverse-v2,codec/population32/spike_decode_padded,1,5,"[83.99908734470651,83.99595309432203,84.05454916629704,84.01012927281789,84.28961794568656]",84.01012927281789,"[83.99708790725045,83.99414579589283,84.09029282839492,84.00815385298151,84.51336259355192]",84.00815385298151,,,20.21875,32.0,1.0
neoverse-v2,codec/population32/spike_encode_wide,1,5,"[25.903715268324678,25.918521893248897,25.897394441450235,25.89366824641116,25.92508533023811]",25.903715268324678,"[25.903061517318644,25.91791444229478,25.896699946662082,25.89298856717352,25.93845666668223]",25.903061517318644,,,20.21875,32.0,1.0
neoverse-v2,codec/population32/spike_pair_materialized,1,5,"[166.9001567904562,166.94320833982087,166.8495050926882,166.9350935356769,166.90450144222385]",166.90450144222385,"[166.89588394669823,166.9393304675636,166.84555540914712,167.00171153254414,166.90024057011723]",166.90024057011723,,,20.21875,32.0,2.0
neoverse-v2,codec/population4/decode_exact,1,5,"[88.01982760787095,87.99641896815987,88.08470082677849,88.0207637021638,88.00148895534454]",88.01982760787095,"[88.01736486328697,87.99434573991567,88.1224021819523,88.16607820345192,87.99954137667555]",88.01736486328697,,,3.99609375,4.0,1.0
neoverse-v2,codec/population4/decode_padded,1,5,"[85.01278770824263,85.06467395598237,85.07078215312552,85.11144268931096,85.1146882388346]",85.07078215312552,"[85.04791136038662,85.06266220218797,85.06860021870912,85.10933976672487,85.1473807688441]",85.06860021870912,,,3.99609375,4.0,1.0
neoverse-v2,codec/population4/encode_bound_exact,1,5,"[35.69713916036292,35.69930754793151,35.6956790786411,35.71671090381819,35.72887995622336]",35.69930754793151,"[35.69626208767328,35.698320523114525,35.71197778466977,35.77422942995652,35.72806681092233]",35.71197778466977,,,3.99609375,4.0,1.0
neoverse-v2,codec/population4/encode_checked_exact,1,5,"[37.98221413047223,37.75889903975177,37.71275888547397,37.674604057510216,37.687967201283286]",37.71275888547397,"[38.16806357870193,37.758250553501476,37.73356740314435,37.67375207311964,37.694188864572844]",37.73356740314435,,,3.99609375,4.0,1.0
neoverse-v2,codec/population4/encode_staged_exact,1,5,"[44.73824215795053,44.66359261584093,44.62916324658349,44.71007355189515,44.6267233193289]",44.66359261584093,"[44.75907488735365,44.662308273957535,44.627978690674276,44.72903288075503,44.625735116712285]",44.662308273957535,,,3.99609375,4.0,1.0
