case,method,leaf_bits,fanout_bits,partition_bits,updates,batch,queries_per_batch,max_runs,locality,query_shape,seed,mutation_checksum,checksum,correct,foreground_entries,sort_input_entries,base_updates,leaf_base_updates,drain_base_updates,run_entries_written,prefix_entries_written,partition_total_updates,base_query_nodes,partition_consults,partition_total_reads,run_probes,search_comparisons,folds,peak_pending_entries,peak_pending_runs,peak_pending_payload_bytes,largest_scratch_capacity_bytes,base_bytes,partition_metadata_bytes,pending_entries_at_end,cycle_ns_per_mutation,cycle_ratio_to_eager,repetition_spread_pct,base_updates_per_mutation,base_updates_ratio_to_eager,ancestor_updates_per_mutation,ancestor_updates_ratio_to_eager,foreground_entries_per_mutation,run_entries_per_mutation
deep,eager_batch,16,1,4,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,294164,294164,149290,16340,0,0,0,0,1104,0,0,0,0,0,0,0,0,104448,2097136,0,0,663.6822422572544,23.811387121232197,11.105659518346316,9.1119384765625,0.5359963809742647,8.1146240234375,0.5071640014648438,17.954345703125,0.0
deep,ancestor_runs,16,1,4,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,294164,446590,117208,16219,0,152426,0,1024,1104,1351,1101,376,19834,256,7347,49,323544,17808,2097136,640,0,646.5417683919271,23.196426477927126,6.699984244223541,7.15380859375,0.42081227022058826,6.16387939453125,0.3852424621582031,17.954345703125,9.3033447265625
deep,location_runs,16,1,4,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,16384,308447,117208,16219,0,16340,17364,1024,1104,1351,1101,376,3088,256,793,49,32504,33048,2097136,640,0,540.7805786132812,19.40195907790093,1.6378082355048431,7.15380859375,0.42081227022058826,6.16387939453125,0.3852424621582031,1.0,0.997314453125
small_batch,eager,16,4,4,16384,16,4,4,uniform,mixed,17,9707357635842171079,13177215419704455534,1,81920,0,81920,16384,0,0,0,0,56291,0,0,0,0,0,0,0,0,0,1118480,0,0,43.01824417854977,1.0,8.795364573716759,5.0,1.0,4.0,1.0,5.0,0.0
small_batch,eager_batch,16,4,4,16384,16,4,4,uniform,mixed,17,9707357635842171079,13177215419704455534,1,98289,98289,60233,16381,0,0,0,0,56291,0,0,0,0,0,0,0,0,1920,1118480,0,0,101.20454369521723,2.352595872466616,2.0363883642725362,3.67633056640625,0.73526611328125,2.676513671875,0.66912841796875,5.99908447265625,0.0
small_batch,ancestor_runs,16,4,4,16384,16,4,4,uniform,mixed,17,9707357635842171079,13177215419704455534,1,98289,168090,51684,16371,102,69801,0,10592,56291,21326,17359,5859,420672,2655,279,41,8160,1128,1118480,640,0,204.43973693847653,4.752396125000762,2.441164581776333,3.154541015625,0.630908203125,2.15533447265625,0.5388336181640625,5.99908447265625,4.26031494140625
small_batch,location_runs,16,4,4,16384,16,4,4,uniform,mixed,17,9707357635842171079,13177215419704455534,1,16384,114620,51684,16371,102,16381,26973,10592,56291,21326,17359,5859,15166,2655,68,41,3344,1680,1118480,640,0,149.55143150916462,3.4764652617722502,2.6128064731587757,3.154541015625,0.630908203125,2.15533447265625,0.5388336181640625,1.0,0.99981689453125
large_batch,eager,16,4,4,16384,1024,4,4,uniform,mixed,17,9707357635842171079,8099679415521453429,1,81920,0,81920,16384,0,0,0,0,859,0,0,0,0,0,0,0,0,0,1118480,0,0,4.745615326197791,1.0,2.119623513297989,5.0,1.0,4.0,1.0,5.0,0.0
large_batch,eager_batch,16,4,4,16384,1024,4,4,uniform,mixed,17,9707357635842171079,8099679415521453429,1,97479,97479,34949,16219,0,0,0,0,859,0,0,0,0,0,0,0,0,122400,1118480,0,0,168.01874953049884,35.40505034256879,0.032672798832422315,2.13311767578125,0.42662353515625,1.1431884765625,0.285797119140625,5.94964599609375,0.0
large_batch,ancestor_runs,16,4,4,16384,1024,4,4,uniform,mixed,17,9707357635842171079,8099679415521453429,1,97479,132668,27336,15835,0,35189,0,256,859,349,287,92,15548,64,6748,49,373320,24576,1118480,640,0,185.98765762992528,39.19147356996999,1.2087831794209836,1.66845703125,0.33369140625,0.70196533203125,0.1754913330078125,5.94964599609375,2.14776611328125
large_batch,location_runs,16,4,4,16384,1024,4,4,uniform,mixed,17,9707357635842171079,8099679415521453429,1,16384,111778,27336,15835,0,16219,16475,256,859,349,287,92,1108,64,3111,49,125224,33480,1118480,640,0,170.01358154296875,35.825402999780096,1.460869617163388,1.66845703125,0.33369140625,0.70196533203125,0.1754913330078125,1.0,0.98992919921875
long_buffer,eager,16,4,4,16384,256,4,16,uniform,mixed,17,9707357635842171079,5304614386873165295,1,81920,0,81920,16384,0,0,0,0,3524,0,0,0,0,0,0,0,0,0,1118480,0,0,6.201145845301011,1.0,1.0443811207520082,5.0,1.0,4.0,1.0,5.0,0.0
long_buffer,eager_batch,16,4,4,16384,256,4,16,uniform,mixed,17,9707357635842171079,5304614386873165295,1,98084,98084,43679,16340,0,0,0,0,3524,0,0,0,0,0,0,0,0,30720,1118480,0,0,143.45831909179685,23.13416305157603,0.911073622793247,2.66595458984375,0.53319091796875,1.66864013671875,0.4171600341796875,5.986572265625,0.0
long_buffer,ancestor_runs,16,4,4,16384,256,4,16,uniform,mixed,17,9707357635842171079,5304614386873165295,1,98084,142723,27336,15835,0,44639,0,1024,3524,1351,1101,1864,251270,64,10516,241,461640,18456,1118480,640,0,208.7671342329546,33.66589650381312,8.175876218822198,1.66845703125,0.33369140625,0.70196533203125,0.1754913330078125,5.986572265625,2.72454833984375
long_buffer,location_runs,16,4,4,16384,256,4,16,uniform,mixed,17,9707357635842171079,5304614386873165295,1,16384,111899,27336,15835,0,16340,17364,1024,3524,1351,1101,1864,15265,64,3847,241,157736,33480,1118480,640,0,176.29163614908853,28.428880814450693,2.9296245340424742,1.66845703125,0.33369140625,0.70196533203125,0.1754913330078125,1.0,0.997314453125
large_base,eager,20,4,4,16384,256,4,4,uniform,mixed,17,17356629914050678015,16619550868221915293,1,98304,0,98304,16384,0,0,0,0,4480,0,0,0,0,0,0,0,0,0,17895696,0,0,12.536663854907365,1.0,45.17677393948577,6.0,1.0,5.0,1.0,6.0,0.0
large_base,eager_batch,20,4,4,16384,256,4,4,uniform,mixed,17,17356629914050678015,16619550868221915293,1,114688,114688,60022,16384,0,0,0,0,4480,0,0,0,0,0,0,0,0,36864,17895696,0,0,221.66288587782114,17.681170081867766,4.6629757869099535,3.6634521484375,0.6105753580729166,2.6634521484375,0.5326904296875,7.0,0.0
large_base,ancestor_runs,20,4,4,16384,256,4,4,uniform,mixed,17,17356629914050678015,16619550868221915293,1,114688,175670,51734,16377,0,60982,0,1024,4480,1350,1101,378,73896,256,2947,49,113616,7776,17895696,640,0,215.9800066266741,17.227869322039027,5.293485367465045,3.1575927734375,0.5262654622395834,2.15802001953125,0.43160400390625,7.0,3.7220458984375
large_base,location_runs,20,4,4,16384,256,4,4,uniform,mixed,17,17356629914050678015,16619550868221915293,1,16384,131030,51734,16377,0,16384,17408,1024,4480,1350,1101,378,3095,256,789,49,32344,12816,17895696,640,0,211.0764915829613,16.8367353568579,5.602623062168232,3.1575927734375,0.5262654622395834,2.15802001953125,0.43160400390625,1.0,1.0
