dataset,mask,operation,configuration,policy,repetition,pairs,passes,calls,selected_slices,bec_decodes,plain_loads,metadata_frames,left_bytes,right_bytes,output_bytes,checksum,elapsed_ns,ns_per_call,cycles_raw,instructions_raw,enabled_ns,running_ns,pmu_status,major_faults,minor_faults,residence
structural,none,union,local-frame,selected,0,8,262144,2097152,0,0,0,0,65241,65174,65536,1649965372706586624,6559639,3.12788,29465093,139460896,6573883,6573883,available,0,0,unestablished
structural,none,union,local-frame,selected,1,8,262144,2097152,0,0,0,0,65241,65174,65536,1649965372706586624,6585380,3.14015,29485369,139460897,6590922,6590922,available,0,0,unestablished
structural,none,union,local-frame,selected,2,8,262144,2097152,0,0,0,0,65241,65174,65536,1649965372706586624,6578859,3.13704,29477152,139460896,6583983,6583983,available,0,0,unestablished
structural,none,union,local-frame,selected,3,8,262144,2097152,0,0,0,0,65241,65174,65536,1649965372706586624,6587680,3.14125,29473052,139460896,6592972,6592972,available,0,0,unestablished
structural,none,union,local-frame,selected,4,8,262144,2097152,0,0,0,0,65241,65174,65536,1649965372706586624,6598359,3.14634,29478496,139460897,6603493,6603493,available,0,0,unestablished
structural,none,union,local-inline,complete,0,8,16384,131072,0,0,0,0,65241,65174,65536,0,6496100,49.5613,28974155,8945952,6491453,6491453,available,0,0,unestablished
structural,none,union,local-inline,complete,1,8,16384,131072,0,0,0,0,65241,65174,65536,0,6471799,49.3759,28974384,8945953,6476932,6476932,available,0,0,unestablished
structural,none,union,local-inline,complete,2,8,16384,131072,0,0,0,0,65241,65174,65536,0,6479119,49.4318,28973778,8945952,6484933,6484933,available,0,0,unestablished
structural,none,union,local-inline,complete,3,8,16384,131072,0,0,0,0,65241,65174,65536,0,6517679,49.7259,28974789,8945953,6492342,6492342,available,0,0,unestablished
structural,none,union,local-inline,complete,4,8,16384,131072,0,0,0,0,65241,65174,65536,0,6464829,49.3227,28961391,8945952,6470053,6470053,available,0,0,unestablished
structural,none,union,mixed-frame,complete,0,8,16384,131072,0,0,0,0,65241,65174,65536,0,6835572,52.1513,30548478,13795618,6839553,6839553,available,0,0,unestablished
structural,none,union,mixed-frame,complete,1,8,16384,131072,0,0,0,0,65241,65174,65536,0,6827571,52.0902,30548613,13795619,6832843,6832843,available,0,0,unestablished
structural,none,union,mixed-frame,complete,2,8,16384,131072,0,0,0,0,65241,65174,65536,0,6832512,52.1279,30546616,13795616,6837712,6837712,available,0,0,unestablished
structural,none,union,mixed-frame,complete,3,8,16384,131072,0,0,0,0,65241,65174,65536,0,6822082,52.0484,30546092,13795615,6827253,6827253,available,0,0,unestablished
structural,none,union,mixed-frame,complete,4,8,16384,131072,0,0,0,0,65241,65174,65536,0,6821031,52.0403,30547672,13795617,6826192,6826192,available,0,0,unestablished
structural,none,union,mixed-point-frame,complete,0,8,16384,131072,0,0,0,0,65241,65174,65536,0,6818201,52.0187,30547057,13795616,6830413,6830413,available,0,0,unestablished
structural,none,union,mixed-point-frame,complete,1,8,16384,131072,0,0,0,0,65241,65174,65536,0,6844902,52.2225,30548446,13795618,6841982,6841982,available,0,0,unestablished
structural,none,union,mixed-point-frame,complete,2,8,16384,131072,0,0,0,0,65241,65174,65536,0,6833041,52.132,30547652,13795617,6838353,6838353,available,0,0,unestablished
structural,none,union,mixed-point-frame,complete,3,8,16384,131072,0,0,0,0,65241,65174,65536,0,6865422,52.379,30547948,13795617,6849853,6849853,available,0,0,unestablished
structural,none,union,mixed-point-frame,complete,4,8,16384,131072,0,0,0,0,65241,65174,65536,0,6814751,51.9924,30546269,13795615,6819892,6819892,available,0,0,unestablished
structural,none,union,mixed-frame-point,complete,0,8,16384,131072,0,0,0,0,65241,65174,65536,0,6806022,51.9258,30547147,13795617,6818073,6818073,available,0,0,unestablished
structural,none,union,mixed-frame-point,complete,1,8,16384,131072,0,0,0,0,65241,65174,65536,0,6843522,52.2119,30547602,13795617,6840052,6840052,available,0,0,unestablished
structural,none,union,mixed-frame-point,complete,2,8,16384,131072,0,0,0,0,65241,65174,65536,0,6825792,52.0767,30547363,13795617,6831013,6831013,available,0,0,unestablished
structural,none,union,mixed-frame-point,complete,3,8,16384,131072,0,0,0,0,65241,65174,65536,0,6850402,52.2644,30547510,13795617,6846163,6846163,available,0,0,unestablished
structural,none,union,mixed-frame-point,complete,4,8,16384,131072,0,0,0,0,65241,65174,65536,0,6847822,52.2447,30547729,13795617,6845392,6845392,available,0,0,unestablished
structural,none,union,bec-plain-frame,complete,0,8,16384,131072,0,0,0,0,65241,65536,65536,0,6515809,49.7117,29239830,12222752,6528972,6528972,available,0,0,unestablished
structural,none,union,bec-plain-frame,complete,1,8,16384,131072,0,0,0,0,65241,65536,65536,0,6540890,49.903,29235261,12222752,6562173,6562173,available,0,0,unestablished
structural,none,union,bec-plain-frame,complete,2,8,16384,131072,0,0,0,0,65241,65536,65536,0,6528020,49.8048,29229045,12222753,6533552,6533552,available,0,0,unestablished
structural,none,union,bec-plain-frame,complete,3,8,16384,131072,0,0,0,0,65241,65536,65536,0,6531620,49.8323,29229624,12222752,6537613,6537613,available,0,0,unestablished
structural,none,union,bec-plain-frame,complete,4,8,16384,131072,0,0,0,0,65241,65536,65536,0,6539419,49.8918,29239048,12222752,6544593,6544593,available,0,0,unestablished
structural,all,intersection,plain,complete,0,8,4096,32768,8388608,0,16777216,0,65536,65536,65536,10473300187498627658,5850644,178.547,26215382,141533471,5864283,5864283,available,0,0,unestablished
structural,all,intersection,plain,complete,1,8,4096,32768,8388608,0,16777216,0,65536,65536,65536,10473300187498627658,5873425,179.243,26210022,141533471,5878812,5878812,available,0,0,unestablished
structural,all,intersection,plain,complete,2,8,4096,32768,8388608,0,16777216,0,65536,65536,65536,10473300187498627658,5894855,179.897,26217459,141533472,5889102,5889102,available,0,0,unestablished
structural,all,intersection,plain,complete,3,8,4096,32768,8388608,0,16777216,0,65536,65536,65536,10473300187498627658,5850784,178.552,26211459,141533471,5895903,5895903,available,0,0,unestablished
