dataset,mask,operation,configuration,policy,repetitions,median_ns,min_ns,max_ns,cycles_per_call,relative_to_plain
census-income_srt,cluster32,intersection,mixed-frame,complete,5,119.519,118.852,121.409,534.1989288330078,1.8146937982259823
census-income_srt,cluster32,intersection,mixed-frame-point,complete,5,165.567,165.268,166.089,741.6705017089844,2.5138547686215684
census-income_srt,cluster32,intersection,mixed-point-frame,complete,5,172.957,172.548,173.709,773.44677734375,2.6260594153211723
census-income_srt,cluster32,intersection,plain,complete,5,65.8618,65.5869,66.7045,295.427734375,1.0
census-income_srt,cluster32,intersection,plain,selected,5,21.5013,21.488,21.6104,96.1948013305664,1.0
census-income_srt,cluster32,union,bec-plain-frame,complete,5,105.295,104.937,105.732,470.0674285888672,1.6249554389208427
census-income_srt,cluster32,union,local-frame,complete,5,298.205,296.852,299.374,1335.7253112792969,4.602021336847807
census-income_srt,cluster32,union,local-frame,selected,5,251.982,251.892,252.322,1129.2747497558594,11.6655632971459
census-income_srt,cluster32,union,local-inline,complete,5,261.171,259.818,262.297,1167.1007995605469,4.030497525413319
census-income_srt,cluster32,union,local-point,complete,5,416.28,414.337,419.022,1860.5648803710938,6.424202954688906
census-income_srt,cluster32,union,mixed-frame,complete,5,296.47,295.421,296.808,1326.0160522460938,4.575246108332421
census-income_srt,cluster32,union,mixed-frame-point,complete,5,345.227,344.438,347.08,1544.728515625,5.327684043044074
census-income_srt,cluster32,union,mixed-point-frame,complete,5,360.379,357.937,362.011,1610.5986328125,5.5615158946089975
census-income_srt,cluster32,union,plain,complete,5,64.7987,64.4528,65.157,290.75598907470703,1.0
census-income_srt,cluster32,union,plain,selected,5,21.6005,21.4897,21.7942,96.42942428588867,1.0
census-income_srt,dispersed32,intersection,bec-plain-frame,complete,5,511.248,509.762,513.323,2289.8452758789062,6.31234273099252
census-income_srt,dispersed32,intersection,local-frame,complete,5,223.793,223.592,224.88,999.962158203125,2.763156270140928
census-income_srt,dispersed32,intersection,local-frame,selected,5,177.472,177.158,178.791,792.8688049316406,4.685692258543167
census-income_srt,dispersed32,intersection,local-inline,complete,5,169.564,168.268,170.612,757.4310607910156,2.0935946602001683
census-income_srt,dispersed32,intersection,local-point,complete,5,253.459,252.822,255.781,1133.350830078125,3.129440264323055
census-income_srt,dispersed32,intersection,mixed-frame,complete,5,222.85,221.272,223.225,997.3592529296875,2.751513116142622
census-income_srt,dispersed32,intersection,mixed-frame-point,complete,5,248.284,247.953,249.168,1111.2926330566406,3.065544907015278
census-income_srt,dispersed32,intersection,mixed-point-frame,complete,5,259.488,258.325,260.333,1161.1694641113281,3.2038798989527337
census-income_srt,dispersed32,intersection,plain,complete,5,80.9918,80.5995,81.0945,361.7960205078125,1.0
census-income_srt,dispersed32,intersection,plain,selected,5,37.8753,37.2313,38.1717,168.85831451416016,1.0
census-income_srt,dispersed32,union,bec-plain-frame,complete,5,516.052,514.963,516.217,2314.210205078125,6.392169638024128
census-income_srt,dispersed32,union,local-frame,complete,5,784.826,784.238,788.189,3515.9561767578125,9.721386465573088
census-income_srt,dispersed32,union,local-frame,selected,5,736.696,735.552,736.985,3299.90185546875,19.42082550160413
census-income_srt,dispersed32,union,local-inline,complete,5,742.953,739.49,744.562,3327.2530517578125,9.202719123419614
census-income_srt,dispersed32,union,local-point,complete,5,815.097,809.714,816.849,3640.1348876953125,10.096343576702642
census-income_srt,dispersed32,union,mixed-frame,complete,5,785.003,783.326,786.093,3517.6973876953125,9.723578907470282
census-income_srt,dispersed32,union,mixed-frame-point,complete,5,799.803,796.346,808.309,3581.1805419921875,9.9069017327723
census-income_srt,dispersed32,union,mixed-point-frame,complete,5,813.683,811.977,814.527,3646.8104248046875,10.078828814879868
census-income_srt,dispersed32,union,plain,complete,5,80.7319,80.1994,81.0119,360.80804443359375,1.0
census-income_srt,dispersed32,union,plain,selected,5,37.9333,37.2688,38.904,169.73371124267578,1.0
census-income_srt,none,intersection,bec-plain-frame,complete,5,49.787,49.7025,50.0672,223.06452178955078,1.008150330569308
census-income_srt,none,intersection,local-frame,complete,5,52.0396,51.8861,52.2641,233.0610122680664,1.0537638327815406
census-income_srt,none,intersection,local-frame,selected,5,3.13723,3.1292,3.14196,14.049227714538574,2.2482173953548372
census-income_srt,none,intersection,local-inline,complete,5,48.4831,48.451,48.5148,217.0573272705078,0.9817473093784487
census-income_srt,none,intersection,local-point,complete,5,52.0226,51.9701,52.0785,233.05575561523438,1.0534195952171226
census-income_srt,none,intersection,mixed-frame,complete,5,52.0815,52.0193,52.2383,233.05895233154297,1.0546122771314885
census-income_srt,none,intersection,mixed-frame-point,complete,5,52.0612,51.9294,52.2029,233.0586166381836,1.0542012169810364
