profile,target,case,variant,ns_per_value,over_materialized,vs_materialized,samples,materialized_samples
gnr-avx512,avx2,composition/avx2/local/k7/h0/u8/prefilter75,dense32-authored,0.04379909537807486,0.2888425162603946,separated faster,"[0.04381821891563049,0.04378531794752182,0.04379909537807486]","[0.15168585568211615,0.1515958689492909,0.15163659403447902]"
gnr-avx512,avx2,composition/avx2/striped/k12/h0/u16/all,authored,0.1262705036433436,0.7770464760481834,separated faster,"[0.12650470946865655,0.12626890407427427,0.1262705036433436]","[0.16258650608103462,0.16250058077029844,0.16234562211183917]"
gnr-avx512,avx2,composition/avx2/striped/k12/h0/u16/all,authored-u64-carrier,0.09121124312673068,0.5612979516403187,separated faster,"[0.09120435456757822,0.09121124312673068,0.0912297915888432]","[0.16258650608103462,0.16250058077029844,0.16234562211183917]"
gnr-avx512,avx2,composition/avx2/striped/k12/h0/u16/prefilter75,authored,0.13261224688181822,0.7412029383268798,separated faster,"[0.13261224688181822,0.1326568569595206,0.1324770093706466]","[0.178914896345614,0.1790285750427203,0.17887345795331724]"
gnr-avx512,avx2,composition/avx2/striped/k12/h0/u16/prefilter75,authored-u64-carrier,0.09881957398680631,0.5523272572894896,separated faster,"[0.0988173608551852,0.0988958341235886,0.09881957398680631]","[0.178914896345614,0.1790285750427203,0.17887345795331724]"
gnr-avx512,avx512,composition/avx512/local/k12/h0/u16/all,authored,0.35146914325010004,1.7976601241893326,separated slower,"[0.3514496883465407,0.35146914325010004,0.35150495567621326]","[0.19563756070688873,0.19547337949395902,0.1955147908777236]"
gnr-avx512,avx512,composition/avx512/local/k12/h0/u16/all,authored-u64-carrier,0.2588451835215524,1.3239161209211843,separated slower,"[0.2588451835215524,0.2587761143408199,0.258874902629952]","[0.19563756070688873,0.19547337949395902,0.1955147908777236]"
gnr-avx512,avx512,composition/avx512/local/k12/h0/u16/prefilter75,authored,0.3493162232483242,1.6489538639561971,separated slower,"[0.34932489918308185,0.34921115543839204,0.3493162232483242]","[0.2119471498996391,0.21183093545183287,0.21184111386248186]"
gnr-avx512,avx512,composition/avx512/local/k12/h0/u16/prefilter75,authored-u64-carrier,0.25866232064213884,1.221020395550088,separated slower,"[0.25866232064213884,0.25869410317384534,0.25865339047205754]","[0.2119471498996391,0.21183093545183287,0.21184111386248186]"
gnr-avx512,avx512,composition/avx512/local/k31/h0/u32/all,authored,0.34697655360100765,1.2435058549920617,separated slower,"[0.34697655360100765,0.3471527006915089,0.3461886130113062]","[0.27911226793345695,0.2783531222525431,0.2790308965639914]"
