node_a,node_b,host_a,host_b,same_az,az_a,az_b,budget,src,dst,host_src,host_dst,holdout_round,sequential_port_a,sequential_flow,sequential_train_worst_us,sequential_holdout_us,sequential_holdout_lo_us,sequential_holdout_hi_us,scattered_port_a,scattered_flow,scattered_train_worst_us,scattered_holdout_us,scattered_holdout_lo_us,scattered_holdout_hi_us,gain_us,gain_lo_us,gain_hi_us
0,5,az1a,az3b,False,1,3,16,5,0,az3b,az1a,3,53646,0,328.80130625334476,328.6392175204889,0.0,683.1299386569569,54685,40,329.79251346223987,330.1882211307809,0.0,683.1440211591091,-1.5490036102920044,-683.1440211591091,683.1299386569569
0,5,az1a,az3b,False,1,3,32,0,5,az1a,az3b,4,53669,23,342.18223582474513,340.0407009980564,0.0,671.0627972036036,63826,37,342.09417114534074,340.24086162557285,0.0,669.3540922328327,-0.20016062751642494,-669.3540922328327,671.0627972036036
0,5,az1a,az3b,False,1,3,32,5,0,az3b,az1a,3,53646,0,328.80130625334476,328.6392175204889,0.0,683.1299386569569,63368,48,329.6392776507302,328.94462292584404,0.0,680.0043372532032,-0.3054054053551454,-680.0043372532032,683.1299386569569
0,6,az1a,az4a,False,1,4,4,0,6,az1a,az4a,4,55028,2,242.00432489801062,243.78024715790886,188.39716582737725,286.0351563351353,51320,33,222.03876867540737,231.76142632244284,170.86849377027028,260.9722434989498,12.018820835466016,-72.57507767157256,115.16666256486502
0,6,az1a,az4a,False,1,4,4,6,0,az4a,az1a,3,55026,0,203.92179999174851,231.02027996903703,157.3502449632636,274.8645994649646,60366,34,216.0107726237469,224.2817721724971,189.5175636839345,261.7863782543046,6.7385077965399205,-104.43613329104102,85.34703578103012
0,6,az1a,az4a,False,1,4,16,0,6,az1a,az4a,4,55040,14,220.18793813256582,229.1506626124779,155.86168116616562,271.271070529831,51320,33,222.03876867540737,231.76142632244284,170.86849377027028,260.9722434989498,-2.6107637099649423,-105.11056233278418,100.4025767595607
0,6,az1a,az4a,False,1,4,16,6,0,az4a,az1a,3,55026,0,203.92179999174851,231.02027996903703,157.3502449632636,274.8645994649646,62012,41,207.44900524808236,230.33768555940176,167.92890301186173,263.2004795524026,0.6825944096352714,-105.850234589139,106.93569645310288
0,6,az1a,az4a,False,1,4,32,0,6,az1a,az4a,4,55040,14,220.18793813256582,229.1506626124779,155.86168116616562,271.271070529831,57071,56,219.4751589059218,233.93753112365096,158.4598226758768,269.4646991549049,-4.786868511173054,-113.60301798873928,112.81124785395417
0,6,az1a,az4a,False,1,4,32,6,0,az4a,az1a,3,55056,30,202.38291666093141,207.256501201069,153.97376406421373,271.49860918498456,62012,41,207.44900524808236,230.33768555940176,167.92890301186173,263.2004795524026,-23.081184358332763,-109.22671548818889,103.56970617312282
0,7,az1a,az4b,False,1,4,4,0,7,az1a,az4b,4,58148,2,178.33557636117015,168.65341729396653,120.09773294849856,227.09003339669644,52879,32,179.49889907492056,171.32622023638697,132.20373252657686,218.49397405295332,-2.6728029424204465,-98.39624110445476,94.88630087011958
0,7,az1a,az4b,False,1,4,4,7,0,az4b,az1a,3,58147,1,166.15056058587064,172.7710567010273,118.55693506921943,223.6692022822823,59729,33,166.98220244971523,175.6820454350405,127.0941545245247,220.29950912047062,-2.9109887340131877,-101.74257405125118,96.5750477577576
0,7,az1a,az4b,False,1,4,16,0,7,az1a,az4b,4,58156,10,177.72625354999826,166.60311308428086,119.25068393258226,227.37697543253273,51642,47,178.3738572890705,169.62987653455372,118.45958428448462,228.11243579059038,-3.0267634502728527,-108.86175185800812,108.91739114804811
0,7,az1a,az4b,False,1,4,16,7,0,az4b,az1a,3,58147,1,166.15056058587064,172.7710567010273,118.55693506921943,223.6692022822823,49498,39,165.19312634653934,179.445777651313,120.09113831066061,236.33762751081122,-6.674720950285689,-117.78069244159178,103.57806397162169
0,7,az1a,az4b,False,1,4,32,0,7,az1a,az4b,4,58156,10,177.72625354999826,166.60311308428086,119.25068393258226,227.37697543253273,52826,55,177.17595835901926,167.1014102132878,136.90730689374368,210.2860552751748,-0.4982971290069429,-91.03537134259253,90.46966853878905
0,7,az1a,az4b,False,1,4,32,7,0,az4b,az1a,3,58177,31,165.632647922726,175.7604103169583,134.22020054894895,211.036920817618,49498,39,165.19312634653934,179.445777651313,120.09113831066061,236.33762751081122,-3.6853673343546802,-102.11742696186226,90.9457825069574
0,8,az1a,az5a,False,1,5,4,0,8,az1a,az5a,4,61440,1,123.3124107014109,121.50505013507174,72.74301202942942,170.26050430705715,57655,33,116.13536532118835,113.29419591491646,58.58022279994958,168.79956884374377,8.210854220155284,-96.05655681431435,111.68028150710757
