node_a,node_b,host_a,host_b,same_az,az_a,az_b,flow,canonical_flow,arm,index,port_a,port_b,rtt_train_worst_us,rtt_train_median_us,rtt_round_0_us,rtt_round_1_us,rtt_round_2_us,rtt_round_3_us,rtt_round_4_us,rtt_holdout_worst_us,ab_train_worst_us,ab_train_median_us,ab_request_holdout_round,ab_request_holdout_us,ab_request_holdout_lo_us,ab_request_holdout_hi_us,ba_train_worst_us,ba_train_median_us,ba_request_holdout_round,ba_request_holdout_us,ba_request_holdout_lo_us,ba_request_holdout_hi_us
0,1,az1a,az1b,True,1,1,31,31,sequential,31,52881,48100,40.15175,39.92875,39.514250000000004,40.15175,39.92875,38.9165,39.68325,39.68325,17.216908155397277,16.25302986636519,4,29.26888412274851,0.0,39.81187162402402,26.93766328829783,26.93766328829783,3,17.62114102044492,0.0,39.066951844844844
0,1,az1a,az1b,True,1,1,32,32,scattered,0,64482,48100,41.667,41.37575,41.667,41.37575,40.69525,40.644999999999996,40.25025,40.644999999999996,19.720157834834595,17.02453569525489,4,29.453743613123663,0.0,40.3755399928929,27.610536926994914,27.610536926994914,3,18.839841622935143,0.0,40.79331670955956
0,1,az1a,az1b,True,1,1,33,33,scattered,1,53163,48100,40.21275,38.943749999999994,40.21275,38.943749999999994,38.488749999999996,38.5185,37.93275,38.5185,18.811643834484656,17.27116324666208,4,27.203292861030437,0.0,38.08823781386386,24.01786574568169,24.01786574568169,3,22.26698543188232,0.0,38.66780985755756
0,1,az1a,az1b,True,1,1,34,34,scattered,2,60918,48100,47.31575,38.9955,38.5325,38.9955,47.31575,38.16675,39.447500000000005,39.447500000000005,18.813371978796788,16.635401687904086,4,28.679172013993025,0.0,39.614784872872875,26.532338216514212,26.532338216514212,3,15.242654260022565,0.0,38.28814467947948
0,1,az1a,az1b,True,1,1,35,35,scattered,3,54103,48100,40.223749999999995,39.3665,38.936499999999995,39.3665,40.223749999999995,39.78725,38.820750000000004,39.78725,18.632721925765715,16.305352501834555,4,26.583813113105137,0.0,38.97696787007007,26.480082097162956,26.480082097162956,3,22.211874682644847,0.0,39.90715697857858
0,1,az1a,az1b,True,1,1,36,36,scattered,4,52897,48100,39.519000000000005,39.160250000000005,39.04225,39.160250000000005,39.519000000000005,39.363,39.984750000000005,39.984750000000005,17.659992076176977,15.63588291879979,4,26.192207725549583,0.0,40.15574605730731,24.83595568932791,24.83595568932791,3,22.55725326225441,0.0,39.50325788328328
0,1,az1a,az1b,True,1,1,37,37,scattered,5,62387,48100,39.139,38.545,38.545,39.139,38.53725,37.75075,37.917,37.917,18.175217574384355,17.17904131371432,4,29.57396654288273,0.0,38.037001303803805,25.58456762302923,25.58456762302923,3,16.716291745821714,0.0,37.896919294944944
0,1,az1a,az1b,True,1,1,38,38,scattered,6,63537,48100,39.906,39.6515,39.6515,38.54675,39.906,38.31975,39.1575,39.1575,18.17640612425984,16.883866042076278,4,25.0794214491538,0.0,39.27862098913914,24.875828903727932,24.875828903727932,3,24.10300145754637,0.0,38.4428043476977
0,1,az1a,az1b,True,1,1,39,39,scattered,7,63664,48100,39.6845,39.3835,38.53725,39.6845,39.3835,39.591,39.8705,39.8705,17.946022744582443,16.130165076396924,4,30.576872923729592,0.0,40.00020619514515,23.652126767715615,23.652126767715615,3,22.899565686685616,0.0,39.71125291676677
0,1,az1a,az1b,True,1,1,40,40,scattered,8,64070,48100,38.03975,37.9795,37.919,37.9795,38.03975,38.127250000000004,38.152,38.152,18.658599300737144,16.811354821075277,4,29.70116895491595,0.0,38.288478284084086,25.821583046933636,25.821583046933636,3,21.079633079097373,0.0,38.27926913883884
0,1,az1a,az1b,True,1,1,41,41,scattered,9,57668,48100,39.966750000000005,39.167,38.35725,39.167,39.966750000000005,39.3315,39.172,39.3315,16.836739285960675,16.58478556753433,4,29.992827181164756,0.0,39.314314307657654,26.421162409488225,26.421162409488225,3,23.905521890218836,0.0,39.463606155055054
0,1,az1a,az1b,True,1,1,42,42,scattered,10,58594,48100,40.882999999999996,40.62475,39.0475,40.62475,40.882999999999996,38.622,40.38475,40.38475,19.69823711895285,17.2257978006239,4,27.81920669860032,0.0,40.54403901451451,27.374678820345785,27.374678820345785,3,23.660060951215915,0.0,38.74037907127127
