mtu,bytes,azs,leader,followers,healthy_p50_lower_us,healthy_p50_independent_us,healthy_p50_upper_us,one_follower_down_worst_p50_us,healthy_p99_lower_us,healthy_p99_independent_us,healthy_p99_upper_us,one_follower_down_worst_p99_us,healthy_p999_lower_us,healthy_p999_independent_us,healthy_p999_upper_us,one_follower_down_worst_p999_us
1500,512,"use1-az2,use1-az3,use1-az5",use1-az3,"use1-az2,use1-az5",598.313,598.313,598.313,847.028,628.441,628.441,628.441,882.842,651.072,651.072,651.072,905.706
1500,512,"use1-az2,use1-az3,use1-az5",use1-az5,"use1-az2,use1-az3",318.107,318.107,318.107,604.238,422.585,422.585,422.585,640.424,450.632,450.632,450.632,657.665
1500,512,"use1-az2,use1-az3,use1-az6",use1-az2,"use1-az3,use1-az6",768.931,771.543,777.865,852.999,780.564,807.451,812.652,984.071,780.715,823.555,825.355,1009.162
1500,512,"use1-az2,use1-az3,use1-az6",use1-az3,"use1-az2,use1-az6",478.755,478.755,478.755,847.028,505.481,505.481,505.481,882.842,527.313,527.313,527.313,905.706
1500,512,"use1-az2,use1-az3,use1-az6",use1-az6,"use1-az2,use1-az3",478.017,478.017,478.017,739.715,499.626,499.626,499.626,1277.18,529.089,529.089,529.089,1306.593
1500,512,"use1-az2,use1-az4,use1-az5",use1-az2,"use1-az4,use1-az5",214.623,214.623,214.623,315.712,248.529,248.529,248.529,358.584,272.224,272.224,272.224,377.672
1500,512,"use1-az2,use1-az4,use1-az5",use1-az4,"use1-az2,use1-az5",217.444,217.444,217.444,321.245,254.986,254.986,254.986,358.865,274.831,292.465,300.784,384.534
1500,512,"use1-az2,use1-az4,use1-az5",use1-az5,"use1-az2,use1-az4",281.877,286.971,318.107,333.529,327.568,370.647,380.039,422.585,327.938,396.315,407.833,450.632
1500,512,"use1-az2,use1-az4,use1-az6",use1-az2,"use1-az4,use1-az6",214.623,214.623,214.623,852.999,248.529,248.529,248.529,984.071,272.224,272.224,272.224,1009.162
1500,512,"use1-az2,use1-az4,use1-az6",use1-az4,"use1-az2,use1-az6",217.444,217.444,217.444,806.324,254.986,254.986,254.986,870.411,300.784,300.784,300.784,935.425
1500,512,"use1-az2,use1-az4,use1-az6",use1-az6,"use1-az2,use1-az4",739.715,739.715,739.715,813.703,810.375,845.072,853.849,1277.18,810.557,869.195,889.79,1306.593
1500,512,"use1-az2,use1-az5,use1-az6",use1-az2,"use1-az5,use1-az6",315.712,315.712,315.712,852.999,358.584,358.584,358.584,984.071,377.672,377.672,377.672,1009.162
1500,512,"use1-az2,use1-az5,use1-az6",use1-az5,"use1-az2,use1-az6",318.107,318.107,318.107,655.505,422.585,422.585,422.585,692.116,450.632,450.632,450.632,709.942
1500,512,"use1-az2,use1-az5,use1-az6",use1-az6,"use1-az2,use1-az5",655.262,655.262,655.262,739.715,694.489,694.489,694.489,1277.18,714.541,714.541,714.541,1306.593
1500,512,"use1-az3,use1-az4,use1-az5",use1-az3,"use1-az4,use1-az5",598.313,598.313,598.313,727.169,628.441,628.441,628.441,794.235,651.072,651.072,651.072,811.748
1500,512,"use1-az3,use1-az4,use1-az5",use1-az4,"use1-az3,use1-az5",321.245,321.245,321.245,643.984,358.865,358.865,358.865,736.678,384.534,384.534,384.534,760.355
1500,512,"use1-az3,use1-az4,use1-az5",use1-az5,"use1-az3,use1-az4",333.529,333.529,333.529,604.238,380.039,380.039,380.039,640.424,407.833,407.833,407.833,657.665
1500,512,"use1-az3,use1-az4,use1-az6",use1-az3,"use1-az4,use1-az6",478.755,478.755,478.755,727.169,505.481,505.481,505.481,794.235,527.313,527.313,527.313,811.748
1500,512,"use1-az3,use1-az4,use1-az6",use1-az4,"use1-az3,use1-az6",643.984,643.984,643.984,806.324,736.678,736.678,736.678,870.411,760.355,760.355,760.355,935.425
1500,512,"use1-az3,use1-az4,use1-az6",use1-az6,"use1-az3,use1-az4",478.017,478.017,478.017,813.703,499.626,499.626,499.626,853.849,529.089,529.089,529.089,889.79
1500,512,"use1-az3,use1-az5,use1-az6",use1-az3,"use1-az5,use1-az6",478.755,478.755,478.755,598.313,496.258,503.685,505.481,628.441,497.522,524.022,527.313,651.072
1500,512,"use1-az3,use1-az5,use1-az6",use1-az5,"use1-az3,use1-az6",604.238,604.238,604.238,655.505,636.79,640.419,640.424,692.116,639.796,654.238,657.665,709.942
1500,512,"use1-az3,use1-az5,use1-az6",use1-az6,"use1-az3,use1-az5",478.017,478.017,478.017,655.262,499.626,499.626,499.626,694.489,529.089,529.089,529.089,714.541
1500,512,"use1-az4,use1-az5,use1-az6",use1-az4,"use1-az5,use1-az6",321.245,321.245,321.245,806.324,358.865,358.865,358.865,870.411,384.534,384.534,384.534,935.425
1500,512,"use1-az4,use1-az5,use1-az6",use1-az5,"use1-az4,use1-az6",333.529,333.529,333.529,655.505,380.039,380.039,380.039,692.116,407.833,407.833,407.833,709.942
1500,512,"use1-az4,use1-az5,use1-az6",use1-az6,"use1-az4,use1-az5",655.262,655.262,655.262,813.703,694.489,694.489,694.489,853.849,714.541,714.541,714.541,889.79
1500,1400,"use1-az1,use1-az2,use1-az3",use1-az1,"use1-az2,use1-az3",419.007,419.007,419.007,738.2,474.259,474.259,474.259,771.83,493.956,493.956,493.956,801.588
1500,1400,"use1-az1,use1-az2,use1-az3",use1-az2,"use1-az1,use1-az3",384.982,384.982,384.982,844.171,424.891,424.891,424.891,866.201,449.289,449.289,449.289,907.744
1500,1400,"use1-az1,use1-az2,use1-az3",use1-az3,"use1-az1,use1-az2",742.627,742.627,742.627,832.775,776.207,776.207,776.207,870.363,794.187,794.187,794.187,1012.278
1500,1400,"use1-az1,use1-az2,use1-az4",use1-az1,"use1-az2,use1-az4",324.619,324.619,324.619,419.007,352.63,358.836,359.815,474.259,353.372,375.744,382.209,493.956
1500,1400,"use1-az1,use1-az2,use1-az4",use1-az2,"use1-az1,use1-az4",220.725,220.725,220.725,384.982,257.076,257.076,257.076,424.891,292.179,292.179,292.179,449.289
1500,1400,"use1-az1,use1-az2,use1-az4",use1-az4,"use1-az1,use1-az2",217.638,217.638,217.638,324.452,250.939,250.939,250.939,360.323,275.626,275.626,275.626,376.86
