case,control,control_case,before_ordinary,before_control,before_over_control,after_ordinary,after_control,after_over_control,after_ranges_ordinary_slower,after_ranges_ordinary_faster
resident/series/neon/local/k54/h0/u64/get16,calico,resident/calico/local/k54/h0/u64/get16,9.193291996578292,24.413959918926665,0.3765588223748696,9.135868248704586,24.41154261570206,0.3742437908380353,False,True
resident/series/neon/local/k55/h0/u64/get16,calico,resident/calico/local/k55/h0/u64/get16,9.184278474846804,24.275708047303098,0.3783320534647445,9.152081703223836,24.245313077848813,0.3774783882492089,False,True
resident/series/neon/local/k56/h0/u64/get16,predecessor,resident/predecessor/local/k56/h0/u64/get16,4.812917294444823,4.016026614050068,1.198427639300704,4.449036282683594,4.025821999530764,1.1051249367712133,True,False
resident/series/neon/local/k56/h0/u64/get16,calico,resident/calico/local/k56/h0/u64/get16,4.812917294444823,16.360012389200975,0.29418787589805034,4.449036282683594,16.418365616521378,0.2709792427942184,False,True
resident/series/neon/local/k56/h0/u64/get16,admitted,resident/series/neon/local/k56/h0/u64/admitted-region/get16,4.812917294444823,4.08521423853248,1.1781309408570342,4.449036282683594,4.070309021525954,1.0930463164233304,True,False
resident/series/neon/local/k56/h0/u64/get16,raw,resident/series/neon/local/k56/h0/u64/raw-dense/get16,4.812917294444823,3.9111972565157007,1.2305483407738993,4.449036282683594,3.9228952015583403,1.1341206058515783,True,False
resident/series/neon/local/k57/h0/u64/get16,calico,resident/calico/local/k57/h0/u64/get16,8.022754286246727,22.138200751012363,0.3623941428880508,8.018173796940944,22.14295518736482,0.3621094713462755,False,True
resident/series/neon/local/k58/h0/u64/get16,calico,resident/calico/local/k58/h0/u64/get16,7.9081323111529604,23.19544983773703,0.34093463875346364,7.9977072757005025,23.04595873403717,0.3470329600082327,False,True
resident/series/neon/local/k59/h0/u64/get16,calico,resident/calico/local/k59/h0/u64/get16,9.132772988917525,23.756301061971467,0.38443581621118006,9.033984375000301,23.754985764640274,0.3802984545857969,False,True
resident/series/neon/local/k60/h0/u64/get16,calico,resident/calico/local/k60/h0/u64/get16,8.284941750374202,29.086210859808574,0.2848408749529614,8.20737030459438,29.059881836564273,0.28242958284391745,False,True
resident/series/neon/local/k61/h0/u64/get16,calico,resident/calico/local/k61/h0/u64/get16,9.33539938846743,28.93908365787987,0.3225879401998784,9.306584043473682,28.90828306813994,0.32193485934592037,False,True
resident/series/neon/local/k62/h0/u64/get16,calico,resident/calico/local/k62/h0/u64/get16,9.317802044526456,27.691254352873862,0.33648898405930944,9.290540642901362,27.684709462290108,0.33558382310481505,False,True
resident/series/neon/local/k63/h0/u64/get16,calico,resident/calico/local/k63/h0/u64/get16,9.288129469343009,28.922861077282814,0.3211345324559983,9.201121078568384,29.036378191570904,0.31688253327818333,False,True
resident/series/neon/local/k64/h0/u64/get16,calico,resident/calico/local/k64/h0/u64/get16,4.062386365461789,17.47038679375354,0.2325298468442769,3.7031988762538033,17.510792837998004,0.21148093695780296,False,True
