dataset,first,count,layout,execution,repetitions,median_ns,min_ns,max_ns,cycles_per_call,ratio_to_direct_inline,split_over_inline
dimension_033,0,256,direct32,split,5,7678.7,7660.09,7911.9,34240.73974609375,0.878885748889786,1.1378043178686266
dimension_033,0,256,local16,inline,5,7380.51,7370.03,7411.01,32932.13427734375,0.9143948046950684,1.0
dimension_033,0,256,local16,split,5,7772.31,7763.11,7883.03,34705.51806640625,0.8683004151918798,1.0530857623660155
dimension_033,0,256,scan128,inline,5,7342.23,7322.14,7361.45,32727.640625,0.9191621619044895,1.0
dimension_033,0,256,scan128,split,5,7752.33,7748.73,7767.25,34582.28369140625,0.8705382768793382,1.05585496504468
dimension_033,3,37,direct32,inline,5,1023.21,1022.16,1027.82,4561.0791015625,1.0,1.0
dimension_033,3,37,direct32,split,5,1137.54,1134.66,1138.32,5076.135986328125,0.8994936441795454,1.1117365936611252
dimension_033,3,37,local16,inline,5,1091.49,1089.87,1093.45,4876.694030761719,0.93744331143666,1.0
dimension_033,3,37,local16,split,5,1151.6,1150.91,1152.67,5146.765075683594,0.888511635984717,1.0550715077554536
dimension_033,3,37,scan128,inline,5,1083.34,1082.97,1084.5,4842.2298583984375,0.9444957261801467,1.0
dimension_033,3,37,scan128,split,5,1149.77,1148.15,1152.17,5132.0166015625,0.8899258112492064,1.061319622648476
dimension_033,15,18,direct32,inline,5,490.405,489.263,491.625,2192.023223876953,1.0,1.0
dimension_033,15,18,direct32,split,5,539.609,538.39,540.87,2408.1663513183594,0.9088154571180243,1.1003333979058127
dimension_033,15,18,local16,inline,5,529.602,529.225,530.2,2367.283905029297,0.9259878172665511,1.0
dimension_033,15,18,local16,split,5,554.81,554.685,556.543,2479.637481689453,0.8839152142174799,1.0475980075603943
dimension_033,15,18,scan128,inline,5,524.672,524.217,526.726,2347.208953857422,0.9346887198097096,1.0
dimension_033,15,18,scan128,split,5,552.287,550.491,554.317,2462.9551391601562,0.8879531837613414,1.052632883020249
dimension_033,255,1,direct32,inline,5,43.4294,43.2139,43.5428,193.76422119140625,1.0,1.0
dimension_033,255,1,direct32,split,5,43.0903,43.0631,43.2581,192.63594436645508,1.007869520518539,0.9921919252856359
dimension_033,255,1,local16,inline,5,58.6694,58.5979,58.7944,262.1602973937988,0.7402393752109276,1.0
dimension_033,255,1,local16,split,5,59.2927,59.1602,101.319,264.7959518432617,0.7324577899134295,1.0106239368393064
dimension_033,255,1,scan128,inline,5,58.4506,57.8629,109.245,259.0266647338867,0.7430103369340948,1.0
dimension_033,255,1,scan128,split,5,58.5266,58.3542,58.9761,261.4994659423828,0.7420454972610745,1.0013002432823614
random_half,0,256,direct32,inline,5,6763.57,6739.86,6776.66,30155.2783203125,1.0,1.0
random_half,0,256,direct32,split,5,7690.02,7655.4,7717.48,34245.05908203125,0.8795256709345358,1.1369764783982426
random_half,0,256,local16,inline,5,7395.19,7382.55,7424.99,32981.7841796875,0.9145904297252674,1.0
random_half,0,256,local16,split,5,7772.43,7770.24,7774.83,34714.70654296875,0.8702001819250864,1.0510115358766983
random_half,0,256,scan128,inline,5,7339.89,7331.01,7365.96,32762.71630859375,0.9214811121147591,1.0
random_half,0,256,scan128,split,5,7742.22,7734.1,7757.7,34563.2412109375,0.8735956870251684,1.054814172964445
random_half,3,37,direct32,inline,5,1023.27,1020.76,1027.09,4562.256774902344,1.0,1.0
random_half,3,37,direct32,split,5,1136.68,1135.64,1137.61,5078.1964111328125,0.9002269768096561,1.1108309634798246
random_half,3,37,local16,inline,5,1098.4,1096.32,1099.94,4901.95751953125,0.9316005098324835,1.0
random_half,3,37,local16,split,5,1154.02,1151.99,1157.16,5151.192321777344,0.8867004038058266,1.0506372906045156
random_half,3,37,scan128,inline,5,1091.16,1090.44,1091.63,4867.841552734375,0.9377818101836577,1.0
random_half,3,37,scan128,split,5,1151.63,1150.38,1154.01,5137.6971435546875,0.8885405902937574,1.0554180871732834
random_half,15,18,direct32,inline,5,491.252,490.792,493.199,2192.460693359375,1.0,1.0
random_half,15,18,direct32,split,5,540.03,538.788,540.475,2408.3071899414062,0.9096753884043479,1.0992932344295798
random_half,15,18,local16,inline,5,531.223,530.726,532.12,2374.719482421875,0.9247566464554435,1.0
random_half,15,18,local16,split,5,555.28,554.716,557.102,2479.8675537109375,0.8846924074340874,1.0452860663036052
random_half,15,18,scan128,inline,5,527.598,526.783,528.426,2356.1148986816406,0.9311104287734223,1.0
random_half,15,18,scan128,split,5,552.523,551.06,553.595,2463.0585327148438,0.8891068788086649,1.0472424080455196
random_half,255,1,direct32,inline,5,43.4092,43.3486,43.4732,193.6358184814453,1.0,1.0
random_half,255,1,direct32,split,5,43.3764,43.1681,43.435,193.52152633666992,1.0007561715587279,0.9992443998046496
random_half,255,1,local16,inline,5,58.8418,58.7835,59.0101,262.2196922302246,0.73772726191245,1.0
random_half,255,1,local16,split,5,58.9991,58.9188,59.0963,263.1854934692383,0.7357603760057356,1.0026732696824365
random_half,255,1,scan128,inline,5,58.0469,57.9519,58.2669,258.96472930908203,0.7478297721325342,1.0
