case,control,control_case,before_over_control,after_over_control,before_control,after_control
bulk/series/avx2/striped/k6/h0/u8/decode,calico,bulk/calico/striped/k6/h0/u8/decode,0.9751368534981582,0.9388292611780976,0.005648258548279186,0.005638842174900071
bulk/series/avx512/striped/k6/h0/u64/encode,calico,bulk/calico/striped/k6/h0/u64/encode,0.7980494284574559,0.8088729775468175,0.061479453146353405,0.0611711883546462
bulk/series/avx512/striped/k6/h0/u64/decode,calico,bulk/calico/striped/k6/h0/u64/decode,0.9437053472873598,0.9150622174189881,0.06546450894288605,0.06564312439508697
bulk/series/avx512/striped/k6/h0/u8/encode,predecessor,bulk/predecessor/striped/k6/h0/u8/encode,1.2187800456944835,1.2040902470259676,0.004589050886277066,0.004583065844448326
bulk/series/avx512/striped/k6/h0/u8/encode,calico,bulk/calico/striped/k6/h0/u8/encode,1.2459754525473103,1.2267703394689702,0.0044888875117374775,0.004498335757911143
bulk/series/avx512/striped/k6/h0/u8/decode,predecessor,bulk/predecessor/striped/k6/h0/u8/decode,1.0330178928054075,0.994248069437732,0.0053531985762456415,0.0053352310671738075
bulk/series/avx512/striped/k6/h0/u8/decode,calico,bulk/calico/striped/k6/h0/u8/decode,0.9790539625150393,0.9407149595627358,0.005648258548279186,0.005638842174900071
bulk/series/avx2/local/k8/h0/u64/encode,calico,bulk/calico/local/k8/h0/u64/encode,0.9974070863109232,0.9992623282831333,0.04581436079639892,0.045907609726628634
bulk/series/avx2/local/k8/h0/u64/decode,calico,bulk/calico/local/k8/h0/u64/decode,0.7175624624470882,0.7141876218212322,0.0624438322808092,0.061729648055281874
bulk/series/avx512/local/k8/h0/u64/encode,calico,bulk/calico/local/k8/h0/u64/encode,1.0121384057256269,1.0107679830717546,0.04581436079639892,0.045907609726628634
bulk/series/avx512/local/k8/h0/u64/decode,calico,bulk/calico/local/k8/h0/u64/decode,0.7346782979781727,0.7446187647467202,0.0624438322808092,0.061729648055281874
bulk/series/avx2/local/k16/h0/u64/encode,calico,bulk/calico/local/k16/h0/u64/encode,0.7272932893620198,0.7383217849830999,0.06911648440285117,0.0692434289514281
bulk/series/avx2/local/k16/h0/u64/decode,calico,bulk/calico/local/k16/h0/u64/decode,0.5391249062091974,0.5358420080728459,0.09410396501187356,0.09292114436500451
bulk/series/avx512/local/k16/h0/u64/encode,calico,bulk/calico/local/k16/h0/u64/encode,0.7228485033417429,0.7244844666877713,0.06911648440285117,0.0692434289514281
bulk/series/avx512/local/k16/h0/u64/decode,calico,bulk/calico/local/k16/h0/u64/decode,0.5370552420177618,0.5359891329444508,0.09410396501187356,0.09292114436500451
bulk/series/avx2/local/k17/h0/u64/encode,calico,bulk/calico/local/k17/h0/u64/encode,1.4664039544985539,1.4482541607612995,0.06880915032055063,0.06937377848725038
bulk/series/avx2/local/k17/h0/u64/decode,calico,bulk/calico/local/k17/h0/u64/decode,0.6918455397427156,0.6898665796012495,0.13262036514016529,0.13344537797583939
bulk/series/avx512/local/k17/h0/u64/encode,calico,bulk/calico/local/k17/h0/u64/encode,1.043011721268369,1.0372875921839784,0.06880915032055063,0.06937377848725038
bulk/series/avx512/local/k17/h0/u64/decode,calico,bulk/calico/local/k17/h0/u64/decode,0.444041321186847,0.4388243663254466,0.13262036514016529,0.13344537797583939
bulk/series/avx2/local/k23/h0/u64/encode,calico,bulk/calico/local/k23/h0/u64/encode,1.2494499894322142,1.240751008412488,0.07010337300252995,0.06996943038596218
bulk/series/avx2/local/k23/h0/u64/decode,calico,bulk/calico/local/k23/h0/u64/decode,0.7262639537350898,0.7247436573571365,0.1339016688204248,0.1342320068808382
bulk/series/avx512/local/k23/h0/u64/encode,calico,bulk/calico/local/k23/h0/u64/encode,0.9124478795023906,0.9064875972992884,0.07010337300252995,0.06996943038596218
bulk/series/avx512/local/k23/h0/u64/decode,calico,bulk/calico/local/k23/h0/u64/decode,0.5116634080207173,0.505610096943807,0.1339016688204248,0.1342320068808382
bulk/series/avx2/local/k56/h0/u64/encode,predecessor,bulk/predecessor/local/k56/h0/u64/encode,1.9813277725301133,1.9743088144147576,0.07262528748185312,0.07270322336406687
bulk/series/avx2/local/k56/h0/u64/encode,calico,bulk/calico/local/k56/h0/u64/encode,1.7561031671898044,1.789944080353262,0.08193966149838773,0.08019167542692926
bulk/series/avx2/local/k56/h0/u64/decode,predecessor,bulk/predecessor/local/k56/h0/u64/decode,1.2368813335045659,1.220516179959293,0.07367354051314425,0.07371759290045307
bulk/series/avx2/local/k56/h0/u64/decode,calico,bulk/calico/local/k56/h0/u64/decode,0.5947714626084728,0.590509052036129,0.15321082594355526,0.15236602143933
bulk/series/avx512/local/k56/h0/u64/encode,predecessor,bulk/predecessor/local/k56/h0/u64/encode,1.0345778565040948,1.0395961146333341,0.07262528748185312,0.07270322336406687
bulk/series/avx512/local/k56/h0/u64/encode,calico,bulk/calico/local/k56/h0/u64/encode,0.9169736959731971,0.9425166406390117,0.08193966149838773,0.08019167542692926
bulk/series/avx512/local/k56/h0/u64/decode,predecessor,bulk/predecessor/local/k56/h0/u64/decode,1.0074678825976366,1.0020130752582697,0.07367354051314425,0.07371759290045307
bulk/series/avx512/local/k56/h0/u64/decode,calico,bulk/calico/local/k56/h0/u64/decode,0.4844548380125146,0.48479307436817576,0.15321082594355526,0.15236602143933
bulk/series/avx2/local/k64/h0/u64/encode,calico,bulk/calico/local/k64/h0/u64/encode,0.8774444032303689,0.930335047809734,0.08752716660571475,0.08445964285284296
bulk/series/avx2/local/k64/h0/u64/decode,calico,bulk/calico/local/k64/h0/u64/decode,0.5069947561643933,0.5042372480550602,0.16174414192829561,0.15685843288770526
bulk/series/avx512/local/k64/h0/u64/encode,calico,bulk/calico/local/k64/h0/u64/encode,0.6856841827466387,0.7143450996463742,0.08752716660571475,0.08445964285284296
bulk/series/avx512/local/k64/h0/u64/decode,calico,bulk/calico/local/k64/h0/u64/decode,0.37789947865664236,0.3791239132414713,0.16174414192829561,0.15685843288770526
