name,family_index,per_family_instance_index,run_name,run_type,repetitions,repetition_index,threads,iterations,real_time,cpu_time,time_unit,items_per_iteration,items_per_second,unit_bytes,fraction_R_0,fraction_R_1,fraction_R_AC,fraction_W_A,fraction_W_AB,fraction_W_AC,fraction_W_all,binding_bytes
mixture/b2-A0s0-B0s1-C1s5-D1s0/50/word,16,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/50/word,iteration,3,1,1,21854,1283.7131417570722,1272.21785485494,ns,256.0,201223398.1963643,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s0-B0s1-C1s5-D1s0/50/word,16,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/50/word,iteration,3,2,1,21854,1312.5987462243372,1291.9925414111876,ns,256.0,198143558.72393987,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s0-B0s1-C1s5-D1s0/90/bytes,17,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/90/bytes,iteration,3,0,1,23531,1184.9203178776181,1184.4591815052445,ns,256.0,216132395.27145877,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,
mixture/b2-A0s0-B0s1-C1s5-D1s0/90/bytes,17,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/90/bytes,iteration,3,1,1,23531,1160.8970294506016,1159.302154604565,ns,256.0,220822499.96966577,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,
mixture/b2-A0s0-B0s1-C1s5-D1s0/90/bytes,17,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/90/bytes,iteration,3,2,1,23531,1145.0837618449555,1144.5849730143289,ns,256.0,223661856.51189324,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,
mixture/b2-A0s0-B0s1-C1s5-D1s0/90/word,18,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/90/word,iteration,3,0,1,23558,1177.0196960684143,1176.5124373885697,ns,256.0,217592259.85594085,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,
mixture/b2-A0s0-B0s1-C1s5-D1s0/90/word,18,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/90/word,iteration,3,1,1,23558,1156.259444773116,1156.287036250954,ns,256.0,221398313.71804744,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,
mixture/b2-A0s0-B0s1-C1s5-D1s0/90/word,18,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/90/word,iteration,3,2,1,23558,1165.4879446482169,1165.1562102046023,ns,256.0,219713028.82644913,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,
mixture/b2-A0s7-B0s0-C1s0-D1s3/5/bytes,19,0,mixture/b2-A0s7-B0s0-C1s0-D1s3/5/bytes,iteration,3,0,1,39602,659.6160042418401,659.6329225796715,ns,256.0,388094637.5430191,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s7-B0s0-C1s0-D1s3/5/bytes,19,0,mixture/b2-A0s7-B0s0-C1s0-D1s3/5/bytes,iteration,3,1,1,39602,710.216958738773,693.0827988485445,ns,256.0,369364238.1910307,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s7-B0s0-C1s0-D1s3/5/bytes,19,0,mixture/b2-A0s7-B0s0-C1s0-D1s3/5/bytes,iteration,3,2,1,39602,647.9953285184093,647.1610019695981,ns,256.0,395573897.71769065,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s7-B0s0-C1s0-D1s3/5/word,20,0,mixture/b2-A0s7-B0s0-C1s0-D1s3/5/word,iteration,3,0,1,20503,1365.8286104460562,1365.591815831835,ns,256.0,187464509.5497006,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s7-B0s0-C1s0-D1s3/5/word,20,0,mixture/b2-A0s7-B0s0-C1s0-D1s3/5/word,iteration,3,1,1,20503,1366.1292493775604,1365.9145978637225,ns,256.0,187420209.43357775,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s7-B0s0-C1s0-D1s3/5/word,20,0,mixture/b2-A0s7-B0s0-C1s0-D1s3/5/word,iteration,3,2,1,20503,1371.8039311345117,1371.8795785982556,ns,256.0,186605299.7607654,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s7-B0s0-C1s0-D1s3/50/bytes,21,0,mixture/b2-A0s7-B0s0-C1s0-D1s3/50/bytes,iteration,3,0,1,28941,942.6858436144872,938.2378977920616,ns,256.0,272851907.39197403,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
