input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:metadata_bytes,counter:selected_blocks,counter:original_blocks,counter:body_bytes
neoverse-v2,count/census-income/series_local/cp16/native16/shared/masked25,1,5,"[3607.8064516129966,3606.9687741935522,3608.3827096772875,3606.9997419355286,3607.813677419358]",3607.8064516129966,"[3607.686967752083,3606.8593548289723,3610.5538064505035,3606.9003870931824,3609.5976774078968]",3607.686967752083,,,544.0,62.0,256.0,377.0
neoverse-v2,count/census-income/series_local/cp16/native16/shared/scan,1,5,"[14175.291330645323,14164.650201612734,14165.550403225809,14181.082661290206,14169.504032257943]",14169.504032257943,"[14178.461693488991,14164.197580730652,14165.082661298627,14218.278225839751,14169.134072605424]",14169.134072605424,,,544.0,256.0,256.0,377.0
neoverse-v2,count/census-income/series_local/cp16/native16/shared/sparse17,1,5,"[1027.1343908349604,1028.296687963576,1027.8780201219017,1028.3937724902805,1027.7291620768221]",1027.8780201219017,"[1027.1022251568445,1028.9662921387728,1027.8495997647306,1028.3615333733046,1028.2557832160178]",1028.2557832160178,,,544.0,16.0,256.0,377.0
neoverse-v2,count/random256/direct4/cp16/point/cps/masked25,1,5,"[5168.568671121003,5168.223830734986,5171.12509279883,5173.456941351116,5165.950631031944]",5168.568671121003,"[5168.45694136131,5168.083147732084,5175.170007421124,5184.658871566757,5165.812546396492]",5168.45694136131,,,1024.0,62.0,256.0,10031.0
neoverse-v2,count/random256/direct4/cp16/point/cps/scan,1,5,"[20770.860740740736,20785.392592592627,20757.688888888868,20773.189629629716,20781.99999999993]",20773.189629629716,"[20782.962962955397,20784.854814674298,20757.028148047404,20781.76148154819,20832.48888892639]",20782.962962955397,,,1024.0,256.0,256.0,10031.0
neoverse-v2,count/random256/direct4/cp16/point/cps/sparse17,1,5,"[1313.5448723985296,1315.0596101327742,1315.714097372633,1314.2333553065205,1313.2481401261946]",1314.2333553065205,"[1313.507392406457,1315.9841793024057,1315.6768057227193,1314.443356249702,1313.7085412937936]",1314.443356249702,,,1024.0,16.0,256.0,10031.0
neoverse-v2,count/random256/direct4/cp16/point/cps_fused/masked25,1,5,"[5138.301213681507,5139.685178374344,5141.038984920921,5141.56381022432,5139.486943729348]",5139.685178374344,"[5138.12835603994,5139.536226535046,5143.137182819948,5141.423685185046,5139.339463051112]",5139.536226535046,,,1024.0,62.0,256.0,10031.0
neoverse-v2,count/random256/direct4/cp16/point/cps_fused/scan,1,5,"[20748.04896142431,20740.188427299614,20734.379821958417,20739.07566765554,20760.18991097928]",20740.188427299614,"[20771.445103919472,20739.63204746918,20733.80712168776,20748.3486645946,20816.755192804427]",20748.3486645946,,,1024.0,256.0,256.0,10031.0
neoverse-v2,count/random256/direct4/cp16/point/cps_fused/sparse17,1,5,"[1307.0609699339223,1308.1788141115244,1307.4188774085314,1307.2660336963497,1308.214651400911]",1307.4188774085314,"[1307.02299171348,1309.0240156392258,1307.3833193677558,1307.4090105189284,1308.174159911738]",1307.4090105189284,,,1024.0,16.0,256.0,10031.0
neoverse-v2,count/random256/direct4/cp16/point/inline/masked25,1,5,"[5241.28501872659,5244.237453183524,5240.704119850179,5236.59250936329,5238.813483146057]",5240.704119850179,"[5241.1415730490635,5247.489138569124,5240.551310859874,5236.438202269907,5238.658052442584]",5240.551310859874,,,1024.0,62.0,256.0,10031.0
neoverse-v2,count/random256/direct4/cp16/point/inline/scan,1,5,"[21182.32121212121,21201.189393939385,21184.130303030313,21176.640909090907,21186.22575757576]",21184.130303030313,"[21181.678787894325,21247.86212134771,21223.093939466486,21176.081818132596,21185.63636365638]",21185.63636365638,,,1024.0,256.0,256.0,10031.0
neoverse-v2,count/random256/direct4/cp16/point/inline/sparse17,1,5,"[1339.3582146611884,1339.5340724457603,1337.2451495746911,1339.3413934817927,1337.471375322565]",1339.3413934817927,"[1340.453598395332,1339.4979451424094,1337.2061550202836,1339.3127210223192,1337.4317117490573]",1339.3127210223192,,,1024.0,16.0,256.0,10031.0
neoverse-v2,count/random256/direct4/cp16/point/materialized/masked25,1,5,"[5310.982569154984,5301.5301250473885,5303.682076544139,5300.063660477426,5301.003789314107]",5301.5301250473885,"[5313.198181142995,5301.36983705984,5307.041682483549,5299.92838200011,5301.805608186321]",5301.805608186321,,,1024.0,62.0,256.0,10031.0
neoverse-v2,count/random256/direct4/cp16/point/materialized/scan,1,5,"[21423.207373272013,21404.324116743515,21408.244239631364,21438.15975422428,21408.14746543782]",21408.244239631364,"[21422.69278037189,21403.74500761471,21423.110599059542,21447.992319529163,21407.551459313356]",21422.69278037189,,,1024.0,256.0,256.0,10031.0
neoverse-v2,count/random256/direct4/cp16/point/materialized/sparse17,1,5,"[1354.6229840656717,1356.5408015451515,1354.6059874456796,1353.3885079671616,1356.350072428773]",1354.6229840656717,"[1354.580685658843,1357.363302748281,1354.5669724791017,1353.3485272798243,1356.8486721429044]",1354.580685658843,,,1024.0,16.0,256.0,10031.0
neoverse-v2,count/random256/direct4/cp16/point/shared/masked25,1,5,"[4895.612631578941,4896.711228070185,4901.290526315794,4896.471228070175,4896.125964912306]",4896.471228070175,"[4895.486315809537,4898.675438597454,4918.052280700386,4896.357894754226,4895.995438577653]",4896.357894754226,,,1024.0,62.0,256.0,10031.0
neoverse-v2,count/random256/direct4/cp16/point/shared/scan,1,5,"[19888.10780141844,19913.147517730504,19904.110638297876,19919.68936170216,19889.858156028313]",19904.110638297876,"[19887.521985855794,19912.55602828821,19903.526241083095,19919.121985799557,19889.26950348899]",19903.526241083095,,,1024.0,256.0,256.0,10031.0
neoverse-v2,count/random256/direct4/cp16/point/shared/sparse17,1,5,"[1256.6534795900022,1255.5639273511956,1257.428609962236,1259.0480129473092,1256.871875561947]",1256.871875561947,"[1257.3682790822363,1255.52877181104,1257.7771983406976,1262.790235569808,1257.257597555354]",1257.3682790822363,,,1024.0,16.0,256.0,10031.0
neoverse-v2,count/random256/series_local/cp16/native16/cps/masked25,1,5,"[5787.126550868487,5785.073200992547,5784.55252274614,5786.932175351611,5786.205128205293]",5786.205128205293,"[5786.978908195654,5784.931761815294,5784.377998353592,5789.519437538292,5786.043837857796]",5786.043837857796,,,544.0,62.0,256.0,10031.0
neoverse-v2,count/random256/series_local/cp16/native16/cps/scan,1,5,"[22543.045016077416,22546.844051446664,22531.0482315113,22534.681672025108,22539.733118970733]",22539.733118970733,"[22542.393890546646,22562.564308725505,22530.437299054123,22534.032154360015,22549.74919609027]",22542.393890546646,,,544.0,256.0,256.0,10031.0
neoverse-v2,count/random256/series_local/cp16/native16/cps/sparse17,1,5,"[1592.8473804099756,1592.5551252847374,1592.0736902049828,1592.094077448736,1590.730296127555]",1592.094077448736,"[1592.7979498885431,1593.4850797264617,1593.0239179906825,1592.051480635947,1590.6913439600196]",1592.7979498885431,,,544.0,16.0,256.0,10031.0
neoverse-v2,count/random256/series_local/cp16/native16/cps_fused/masked25,1,5,"[5750.258634868546,5752.243009868392,5754.813733552573,5754.520559210497,5751.086348684345]",5752.243009868392,"[5752.36225329091,5754.238075642161,5754.671052664818,5756.56866778249,5750.941200635246]",5754.238075642161,,,544.0,62.0,256.0,10031.0
neoverse-v2,count/random256/series_local/cp16/native16/cps_fused/scan,1,5,"[22347.16905901099,22508.690590111353,22346.580542264757,22364.515151515232,22359.727272727127]",22359.727272727127,"[22346.537480043946,23189.074960119557,22346.370015886925,22363.899521576568,22378.090909007347]",22363.899521576568,,,544.0,256.0,256.0,10031.0
neoverse-v2,count/random256/series_local/cp16/native16/cps_fused/sparse17,1,5,"[1576.4691622505306,1577.3816664787335,1579.2191904386123,1578.0068778892703,1579.3319427218617]",1578.0068778892703,"[1576.4215807893781,1577.3343105219658,1580.4202277627537,1577.965610545135,1582.5171947259882]",1577.965610545135,,,544.0,16.0,256.0,10031.0
neoverse-v2,count/random256/series_local/cp16/native16/inline/masked25,1,5,"[5862.155071248942,5859.483235540688,5857.3030176027705,5860.247694886843,5858.617770326897]",5859.483235540688,"[5864.393964792911,5859.336546543425,5859.500419115825,5872.868818103793,5858.4731768692645]",5859.500419115825,,,544.0,62.0,256.0,10031.0
neoverse-v2,count/random256/series_local/cp16/native16/inline/scan,1,5,"[23715.818644067836,23709.12033898285,23711.823728813866,23705.10169491524,23718.188135593235]",23711.823728813866,"[23731.400000026228,23708.493220210123,23711.07627129539,23704.391525509473,23728.554237349876]",23711.07627129539,,,544.0,256.0,256.0,10031.0
neoverse-v2,count/random256/series_local/cp16/native16/inline/sparse17,1,5,"[1610.064768929364,1609.9550535899418,1611.541200875883,1611.4776996657793,1613.091736775371]",1611.4776996657793,"[1610.0193615293977,1609.9057277944482,1612.5392416732138,1611.8379624297613,1617.6657831058042]",1611.8379624297613,,,544.0,16.0,256.0,10031.0
neoverse-v2,count/random256/series_local/cp16/native16/materialized/masked25,1,5,"[5874.325630252098,5872.401260504233,5870.3819327731535,5876.5176470587285,5873.335294117617]",5873.335294117617,"[5874.175630227559,5872.217226893752,5870.194117645371,5889.913025178529,5873.179411766706]",5873.179411766706,,,544.0,62.0,256.0,10031.0
neoverse-v2,count/random256/series_local/cp16/native16/materialized/scan,1,5,"[23735.842372881114,23741.266101694826,23744.4440677964,23733.503389830556,23764.852542372984]",23741.266101694826,"[23735.125423665864,23740.610169617434,23743.711864488247,23732.79999986507,23822.92881351131]",23740.610169617434,,,544.0,256.0,256.0,10031.0
neoverse-v2,count/random256/series_local/cp16/native16/materialized/sparse17,1,5,"[1610.000921128368,1607.871157167528,1610.1182498560775,1608.4919976971826,1608.312607944747]",1608.4919976971826,"[1610.3000575705632,1607.820610249428,1611.1349453145338,1608.4461715700254,1608.5900978630289]",1608.5900978630289,,,544.0,16.0,256.0,10031.0
neoverse-v2,count/random256/series_local/cp16/native16/shared/masked25,1,5,"[5414.936507936531,5412.339527680962,5412.647309330228,5417.272551296917,5412.919473480438]",5412.919473480438,"[5414.7928765116285,5412.193186257362,5412.503290764497,5419.391405357678,5412.786294979131]",5412.786294979131,,,544.0,62.0,256.0,10031.0
neoverse-v2,count/random256/series_local/cp16/native16/shared/scan,1,5,"[21753.939440993727,21755.627329192503,21743.543478260894,21740.580745341646,21751.53881987569]",21751.53881987569,"[21769.391304395704,21755.102484518226,21742.892857265582,21739.919254805387,21760.746894432155]",21755.102484518226,,,544.0,256.0,256.0,10031.0
neoverse-v2,count/random256/series_local/cp16/native16/shared/sparse17,1,5,"[1501.337923614844,1499.8727272727283,1502.3745024206362,1501.2446476600517,1503.753200645518]",1501.337923614844,"[1501.6406670164306,1499.8248520625068,1503.2148466939143,1501.2062399127087,1504.2280796138225]",1501.6406670164306,,,544.0,16.0,256.0,10031.0
neoverse-v2,count/wikileaks-noquotes/direct4/cp16/point/cps/masked25,1,5,"[923.4021513997524,908.6795617023881,900.4082314425065,907.71844725059,916.8219416048881]",908.6795617023881,"[1381.8876194329232,1008.312821540539,900.3884545934394,910.4419723389623,916.8039019137098]",916.8039019137098,,,1024.0,62.0,256.0,14.0
neoverse-v2,count/wikileaks-noquotes/direct4/cp16/point/cps/scan,1,5,"[2957.7226926331973,2955.4644369179273,2956.5956816257703,2952.9542760371933,2954.3751058424946]",2955.4644369179273,"[2957.6316680893824,2955.3732006757327,2956.498306532365,2952.873835738308,2954.2804826445167]",2955.3732006757327,,,1024.0,256.0,256.0,14.0
neoverse-v2,count/wikileaks-noquotes/direct4/cp16/point/cps/sparse17,1,5,"[185.46617998407297,185.06191929917435,185.1154632333371,185.27576320680328,185.66199893814016]",185.27576320680328,"[185.5612689146025,185.05671622023092,185.11018051437964,185.34307141024672,202.93153703257218]",185.34307141024672,,,1024.0,16.0,256.0,14.0
neoverse-v2,count/wikileaks-noquotes/direct4/cp16/point/cps_fused/masked25,1,5,"[893.5719764765865,895.1822423932732,894.8727946816351,893.9122986448283,893.8622475070151]",893.9122986448283,"[893.5445538206624,895.631615959104,897.7124776302064,893.8872411151528,894.0359882425554]",894.0359882425554,,,1024.0,62.0,256.0,14.0
neoverse-v2,count/wikileaks-noquotes/direct4/cp16/point/cps_fused/scan,1,5,"[2921.4415394269818,2918.9859861953164,2921.2024681029025,2919.7264170674775,2916.072369797132]",2919.7264170674775,"[2921.3568291192832,2918.898138456333,2932.407027811634,2919.6605312833963,2915.9874503275955]",2919.6605312833963,,,1024.0,256.0,256.0,14.0
neoverse-v2,count/wikileaks-noquotes/direct4/cp16/point/cps_fused/sparse17,1,5,"[184.17306325515946,184.11369080523704,184.1975308642063,184.2357392929554,184.15799310326562]",184.17306325515946,"[184.36343415105617,184.10843928443862,184.21708915841853,184.23002711348292,184.23114585702578]",184.23002711348292,,,1024.0,16.0,256.0,14.0
neoverse-v2,count/wikileaks-noquotes/direct4/cp16/point/inline/masked25,1,5,"[906.6471160077867,907.220349967604,906.4597537265557,906.25651328579,906.7536616980092]",906.6471160077867,"[906.6197666884915,907.8705768036132,906.43337654335,906.2302657168269,907.0763447805965]",906.6197666884915,,,1024.0,62.0,256.0,14.0
neoverse-v2,count/wikileaks-noquotes/direct4/cp16/point/inline/scan,1,5,"[2984.6774813232823,2982.1850586979203,2980.8083244396744,2980.3039487726273,2983.2633938100994]",2982.1850586979203,"[2985.3071504837326,2984.3985058731655,2980.7314834641616,2980.211739613121,2984.3705442981677]",2984.3705442981677,,,1024.0,256.0,256.0,14.0
neoverse-v2,count/wikileaks-noquotes/direct4/cp16/point/inline/sparse17,1,5,"[188.97450371371315,188.45985145172529,188.38803511142174,188.63142471303,188.45027683997588]",188.45985145172529,"[189.90848075541066,188.45513841922818,188.38212018825874,189.21457123612626,188.4458879139193]",188.45513841922818,,,1024.0,16.0,256.0,14.0
neoverse-v2,count/wikileaks-noquotes/direct4/cp16/point/materialized/masked25,1,5,"[915.5751685319332,914.2445186202908,913.8401727861668,914.2576084822296,914.327115648925]",914.2576084822296,"[918.3098370296922,914.2176189541818,913.8134694710255,914.7234112189989,914.302310357929]",914.302310357929,,,1024.0,62.0,256.0,14.0
neoverse-v2,count/wikileaks-noquotes/direct4/cp16/point/materialized/scan,1,5,"[3028.4077922079036,3020.6415584415763,3019.3207792207113,3022.0012987013574,3022.26277056274]",3022.0012987013574,"[3030.122727286889,3020.5606060610385,3019.229220784073,3021.9138528247477,3024.482467545957]",3021.9138528247477,,,1024.0,256.0,256.0,14.0
neoverse-v2,count/wikileaks-noquotes/direct4/cp16/point/materialized/sparse17,1,5,"[189.9492998682619,190.13505548086155,189.79240516644415,189.90543128386173,189.72349210230212]",189.90543128386173,"[189.94332396213798,190.61959282381622,189.89535373232832,190.00158904780503,189.71808662309567]",189.94332396213798,,,1024.0,16.0,256.0,14.0
neoverse-v2,count/wikileaks-noquotes/direct4/cp16/point/shared/masked25,1,5,"[854.1925989252245,853.9824132877253,855.3111260380923,854.2031021006044,854.1160234489818]",854.1925989252245,"[854.3299951151827,853.956033217421,855.8400097690186,854.1833170458287,854.0899487035141]",854.1833170458287,,,1024.0,62.0,256.0,14.0
neoverse-v2,count/wikileaks-noquotes/direct4/cp16/point/shared/scan,1,5,"[2772.250198570289,2770.6010722794636,2771.123709293176,2770.81036536925,2770.3341938046233]",2770.81036536925,"[2772.1576648238483,2770.5277998409542,2772.595313751096,2770.732128679685,2770.2529785709858]",2770.732128679685,,,1024.0,256.0,256.0,14.0
